type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29118_ses-1_connectome.csv,733,15580,0.058,1.914,1578,1578,1578,910,910,910,4.417,4.731,8.797,4.402,4.59,8.461
Undirected,N/A,sub-29121_ses-1_connectome.csv,704,14579,0.059,1.883,1440,1440,1440,845,845,845,3.892,4.125,7.408,3.675,3.963,7.475
Undirected,N/A,sub-29119_ses-1_connectome.csv,686,11404,0.049,1.877,1367,1367,1367,851,851,851,2.888,3.12,5.561,2.785,2.987,5.462
Undirected,N/A,sub-29124_ses-1_connectome.csv,661,12562,0.058,1.896,1385,1385,1385,816,816,816,3.015,3.32,5.929,2.756,3.072,5.64
Undirected,N/A,sub-29125_ses-1_connectome.csv,711,16783,0.066,1.92,1510,1510,1510,907,907,907,4.412,4.971,8.813,4.295,4.784,8.862
Undirected,N/A,sub-29123_ses-1_connectome.csv,711,14180,0.056,1.769,1542,1542,1542,873,873,873,3.738,4.125,7.295,3.538,3.97,7.316
Undirected,N/A,sub-29126_ses-1_connectome.csv,701,13821,0.056,1.922,1460,1460,1460,900,900,900,3.63,3.99,6.953,3.462,3.799,6.833
Undirected,N/A,sub-29120_ses-1_connectome.csv,714,12493,0.049,1.953,1430,1430,1430,895,895,895,3.222,3.549,6.315,3.058,3.411,6.304
Undirected,N/A,sub-29135_ses-1_connectome.csv,694,15650,0.065,1.796,1411,1411,1411,820,820,820,3.963,4.338,7.849,3.856,4.167,7.926
Undirected,N/A,sub-29128_ses-1_connectome.csv,668,10535,0.047,1.839,1263,1263,1263,804,804,804,2.462,2.705,4.71,2.631,2.616,4.736
Undirected,N/A,sub-29133_ses-1_connectome.csv,679,16152,0.07,1.892,1403,1403,1403,861,861,861,4.0,4.45,7.691,3.857,4.289,7.846
Undirected,N/A,sub-29136_ses-1_connectome.csv,717,14576,0.057,1.9,1549,1549,1549,968,968,968,3.801,4.211,7.619,3.615,3.996,7.585
Undirected,N/A,sub-29127_ses-1_connectome.csv,719,16290,0.063,1.885,1436,1436,1436,862,862,862,4.26,4.575,8.845,3.986,4.398,8.595
Undirected,N/A,sub-29134_ses-1_connectome.csv,744,19977,0.072,1.811,1496,1496,1496,885,885,885,5.585,6.127,11.338,5.379,5.913,11.19
Undirected,N/A,sub-29131_ses-1_connectome.csv,741,17485,0.064,1.799,1558,1558,1558,898,898,898,4.824,5.369,9.853,4.847,5.208,9.791
Undirected,N/A,sub-29129_ses-1_connectome.csv,675,15345,0.067,1.893,1363,1363,1363,830,830,830,3.892,4.25,7.482,3.843,4.173,7.506
Undirected,N/A,sub-29130_ses-1_connectome.csv,680,12880,0.056,1.923,1412,1412,1412,900,900,900,3.192,3.612,5.908,2.989,3.309,5.923
Undirected,N/A,sub-29137_ses-1_connectome.csv,682,13554,0.058,1.87,1403,1403,1403,830,830,830,3.262,3.578,6.529,3.173,3.51,6.563
Undirected,N/A,sub-29117_ses-1_connectome.csv,692,13239,0.055,1.948,1392,1392,1392,850,850,850,3.161,3.546,6.513,3.066,3.424,6.632
