type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29125_ses-1_connectome.csv,592,28381,0.162,2.333,1650,1650,1650,970,970,970,5.828,6.792,13.313,6.347,6.817,13.453
Undirected,N/A,sub-29119_ses-1_connectome.csv,612,28878,0.154,2.316,1850,1850,1850,1083,1083,1083,7.196,7.893,14.579,6.861,7.642,14.201
Undirected,N/A,sub-29118_ses-1_connectome.csv,595,28510,0.161,2.297,1731,1731,1731,1021,1021,1021,6.685,7.198,13.713,6.63,7.044,13.551
Undirected,N/A,sub-29121_ses-1_connectome.csv,630,32289,0.163,2.221,1726,1726,1726,1015,1015,1015,8.483,8.826,16.477,7.766,8.719,16.148
Undirected,N/A,sub-29124_ses-1_connectome.csv,594,26240,0.149,2.293,1728,1728,1728,1044,1044,1044,5.988,6.453,11.999,5.619,6.274,11.887
Undirected,N/A,sub-29131_ses-1_connectome.csv,634,38414,0.191,2.219,1720,1720,1720,981,981,981,10.341,11.393,21.101,10.443,11.389,20.491
Undirected,N/A,sub-29133_ses-1_connectome.csv,568,26510,0.165,2.215,1630,1630,1630,949,949,949,5.972,6.436,12.211,5.565,6.246,11.828
Undirected,N/A,sub-29127_ses-1_connectome.csv,603,26767,0.147,2.268,1832,1832,1832,1111,1111,1111,6.104,6.728,12.948,5.921,6.514,12.71
Undirected,N/A,sub-29130_ses-1_connectome.csv,595,25454,0.144,2.269,1802,1802,1802,1118,1118,1118,5.796,6.37,12.144,5.794,6.193,11.911
Undirected,N/A,sub-29129_ses-1_connectome.csv,570,28067,0.173,2.217,1624,1624,1624,1026,1026,1026,6.74,6.647,12.819,6.115,6.756,12.587
Undirected,N/A,sub-29137_ses-1_connectome.csv,607,33308,0.181,2.222,1725,1725,1725,974,974,974,7.94,8.893,16.404,7.608,8.561,16.113
Undirected,N/A,sub-29136_ses-1_connectome.csv,592,27100,0.155,2.26,1777,1777,1777,1075,1075,1075,5.746,6.58,12.768,6.55,6.456,12.326
Undirected,N/A,sub-29117_ses-1_connectome.csv,588,25753,0.149,2.225,1533,1533,1533,960,960,960,5.49,6.294,12.241,5.58,6.239,12.063
Undirected,N/A,sub-29123_ses-1_connectome.csv,629,34035,0.172,2.164,1780,1780,1780,1043,1043,1043,9.037,9.971,18.058,8.724,9.776,18.149
Undirected,N/A,sub-29128_ses-1_connectome.csv,585,26663,0.156,2.225,1666,1666,1666,998,998,998,6.17,6.634,12.365,5.931,6.418,12.265
Undirected,N/A,sub-29120_ses-1_connectome.csv,600,24392,0.136,2.296,1752,1752,1752,1082,1082,1082,5.477,6.059,11.572,5.38,5.929,11.433
Undirected,N/A,sub-29126_ses-1_connectome.csv,641,33315,0.162,2.282,1847,1847,1847,1065,1065,1065,8.734,9.488,17.633,8.637,9.268,17.243
Undirected,N/A,sub-29135_ses-1_connectome.csv,643,38035,0.184,2.202,1687,1687,1687,1024,1024,1024,9.85,10.818,19.815,9.615,10.529,19.679
Undirected,N/A,sub-29134_ses-1_connectome.csv,662,46890,0.214,2.249,1604,1604,1604,943,943,943,12.091,13.394,25.647,11.794,13.165,25.168
