type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29117_ses-1_connectome.csv,17,135,0.993,11.576,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29121_ses-1_connectome.csv,17,134,0.985,8.124,35,35,35,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29118_ses-1_connectome.csv,17,135,0.993,11.576,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29126_ses-1_connectome.csv,17,136,1.0,11.619,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29120_ses-1_connectome.csv,17,134,0.985,11.533,26,26,26,16,16,16,0.001,0.002,0.002,0.001,0.001,0.318
Undirected,N/A,sub-29128_ses-1_connectome.csv,17,134,0.985,11.533,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29125_ses-1_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29124_ses-1_connectome.csv,17,133,0.978,11.489,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29130_ses-1_connectome.csv,17,133,0.978,6.583,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29127_ses-1_connectome.csv,17,135,0.993,6.633,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29135_ses-1_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29129_ses-1_connectome.csv,17,134,0.985,11.533,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29131_ses-1_connectome.csv,17,135,0.993,11.576,33,33,33,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29136_ses-1_connectome.csv,17,134,0.985,8.124,32,32,32,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29123_ses-1_connectome.csv,17,135,0.993,11.576,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29133_ses-1_connectome.csv,17,133,0.978,11.489,32,32,32,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29119_ses-1_connectome.csv,17,132,0.971,6.557,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29137_ses-1_connectome.csv,17,135,0.993,11.576,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29134_ses-1_connectome.csv,17,136,1.0,11.619,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
