type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-29119_ses-1_connectome.csv,17,129,0.949,11.314,24,24,24,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29121_ses-1_connectome.csv,17,135,0.993,4.637,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29125_ses-1_connectome.csv,17,135,0.993,11.576,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29123_ses-1_connectome.csv,17,133,0.978,11.489,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29129_ses-1_connectome.csv,17,130,0.956,6.506,23,23,23,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29117_ses-1_connectome.csv,17,130,0.956,11.358,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29130_ses-1_connectome.csv,17,134,0.985,5.701,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29135_ses-1_connectome.csv,17,134,0.985,8.124,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29133_ses-1_connectome.csv,17,133,0.978,11.489,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29118_ses-1_connectome.csv,17,134,0.985,11.533,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29136_ses-1_connectome.csv,17,131,0.963,11.402,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29124_ses-1_connectome.csv,17,131,0.963,11.402,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29120_ses-1_connectome.csv,17,131,0.963,11.402,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29134_ses-1_connectome.csv,17,136,1.0,11.619,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29127_ses-1_connectome.csv,17,135,0.993,11.576,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29126_ses-1_connectome.csv,17,134,0.985,11.533,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29137_ses-1_connectome.csv,17,135,0.993,11.576,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29128_ses-1_connectome.csv,17,134,0.985,11.533,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-29131_ses-1_connectome.csv,17,135,0.993,11.576,24,24,24,16,16,16,0.001,0.001,0.003,0.001,0.001,0.002
