type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025865_ses-1_connectome.csv,371,15149,0.221,2.554,1015,1015,1015,413,413,413,1.461,1.57,3.448,1.425,1.576,3.617
Undirected,N/A,sub-0025866_ses-1_connectome.csv,378,14546,0.204,2.541,1116,1116,1116,429,429,429,1.533,1.676,3.512,1.509,1.607,3.575
Undirected,N/A,sub-0025868_ses-1_connectome.csv,373,13464,0.194,2.578,1011,1011,1011,410,410,410,1.287,1.387,3.175,1.29,1.361,3.275
Undirected,N/A,sub-0025864_ses-1_connectome.csv,376,14872,0.211,2.612,985,985,985,427,427,427,1.462,1.635,3.573,1.576,1.641,3.73
Undirected,N/A,sub-0025864_ses-2_connectome.csv,374,14976,0.215,2.452,1075,1075,1075,411,411,411,1.48,1.626,3.611,1.472,1.618,3.788
Undirected,N/A,sub-0025865_ses-2_connectome.csv,375,15062,0.215,2.466,1043,1043,1043,417,417,417,1.486,1.652,3.732,1.489,1.641,3.831
Undirected,N/A,sub-0025871_ses-1_connectome.csv,379,14671,0.205,2.561,1107,1107,1107,432,432,432,1.531,1.681,3.638,1.791,1.642,3.619
Undirected,N/A,sub-0025866_ses-2_connectome.csv,378,13452,0.189,2.48,1058,1058,1058,405,405,405,1.331,1.469,3.104,1.318,1.438,3.267
Undirected,N/A,sub-0025868_ses-2_connectome.csv,378,14125,0.198,2.45,1017,1017,1017,433,433,433,1.443,1.583,3.39,1.438,1.556,3.502
Undirected,N/A,sub-0025870_ses-1_connectome.csv,382,21584,0.297,2.428,1056,1056,1056,400,400,400,2.381,2.588,5.904,2.408,2.588,6.151
Undirected,N/A,sub-0025867_ses-2_connectome.csv,378,14340,0.201,2.563,987,987,987,392,392,392,1.466,1.559,3.554,1.385,1.529,3.593
Undirected,N/A,sub-0025867_ses-1_connectome.csv,378,14587,0.205,2.534,954,954,954,417,417,417,1.436,1.582,3.539,1.448,1.605,3.615
Undirected,N/A,sub-0025874_ses-1_connectome.csv,382,14380,0.198,2.474,1071,1071,1071,463,463,463,1.612,1.674,3.541,1.532,1.638,3.481
