type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025865_ses-1_connectome.csv,41,687,0.838,4.851,62,62,62,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025864_ses-1_connectome.csv,41,710,0.866,4.529,73,73,73,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-0025864_ses-2_connectome.csv,41,676,0.824,5.328,64,64,64,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025866_ses-1_connectome.csv,41,690,0.841,4.862,69,69,69,40,40,40,0.006,0.006,0.015,0.007,0.006,0.015
Undirected,N/A,sub-0025867_ses-2_connectome.csv,41,665,0.811,5.995,51,51,51,41,41,41,0.006,0.006,0.013,0.006,0.006,0.014
Undirected,N/A,sub-0025868_ses-1_connectome.csv,41,725,0.884,4.194,66,66,66,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0025869_ses-1_connectome.csv,41,652,0.795,4.811,68,68,68,40,40,40,0.006,0.006,0.013,0.006,0.006,0.015
Undirected,N/A,sub-0025867_ses-1_connectome.csv,41,653,0.796,4.14,62,62,62,41,41,41,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025870_ses-1_connectome.csv,41,748,0.912,5.884,69,69,69,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0025871_ses-1_connectome.csv,41,689,0.84,4.952,66,66,66,41,41,41,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025869_ses-2_connectome.csv,41,675,0.823,5.099,69,69,69,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025865_ses-2_connectome.csv,41,658,0.802,3.83,66,66,66,40,40,40,0.006,0.006,0.013,0.005,0.006,0.014
Undirected,N/A,sub-0025872_ses-1_connectome.csv,41,622,0.759,4.522,67,67,67,40,40,40,0.006,0.006,0.013,0.006,0.006,0.013
Undirected,N/A,sub-0025872_ses-2_connectome.csv,41,661,0.806,3.94,75,75,75,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-0025871_ses-2_connectome.csv,41,703,0.857,5.699,69,69,69,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-0025866_ses-2_connectome.csv,41,654,0.798,5.238,70,70,70,41,41,41,0.006,0.006,0.013,0.006,0.231,0.014
Undirected,N/A,sub-0025868_ses-2_connectome.csv,41,690,0.841,4.862,57,57,57,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025875_ses-1_connectome.csv,41,768,0.937,7.085,55,55,55,40,40,40,0.006,0.006,0.015,0.006,0.007,0.016
Undirected,N/A,sub-0025870_ses-2_connectome.csv,41,724,0.883,5.288,58,58,58,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0025877_ses-2_connectome.csv,41,724,0.883,5.081,63,63,63,40,40,40,0.006,0.007,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0025875_ses-2_connectome.csv,41,723,0.882,4.806,65,65,65,40,40,40,0.006,0.007,0.014,0.006,0.006,0.015
Undirected,N/A,sub-0025873_ses-2_connectome.csv,41,694,0.846,5.173,63,63,63,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025877_ses-1_connectome.csv,41,716,0.873,4.479,65,65,65,40,40,40,0.006,0.006,0.014,0.006,0.007,0.015
Undirected,N/A,sub-0025873_ses-1_connectome.csv,41,677,0.826,5.332,69,69,69,40,40,40,0.006,0.006,0.013,0.006,0.006,0.014
Undirected,N/A,sub-0025878_ses-1_connectome.csv,41,692,0.844,4.399,64,64,64,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025876_ses-1_connectome.csv,41,667,0.813,4.249,65,65,65,40,40,40,0.006,0.006,0.013,0.005,0.006,0.014
Undirected,N/A,sub-0025874_ses-1_connectome.csv,41,691,0.843,4.538,62,62,62,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025876_ses-2_connectome.csv,41,703,0.857,4.656,66,66,66,40,40,40,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025879_ses-1_connectome.csv,41,649,0.791,4.624,66,66,66,40,40,40,0.005,0.006,0.013,0.005,0.006,0.014
Undirected,N/A,sub-0025881_ses-2_connectome.csv,41,692,0.844,4.333,69,69,69,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-0025874_ses-2_connectome.csv,41,680,0.829,4.054,57,57,57,40,40,40,0.005,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025879_ses-2_connectome.csv,41,661,0.806,4.668,66,66,66,40,40,40,0.005,0.006,0.013,0.005,0.006,0.014
Undirected,N/A,sub-0025882_ses-1_connectome.csv,41,649,0.791,4.542,53,53,53,40,40,40,0.005,0.006,0.013,0.006,0.006,0.014
Undirected,N/A,sub-0025880_ses-2_connectome.csv,41,692,0.844,5.797,62,62,62,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0025885_ses-2_connectome.csv,41,682,0.832,4.3,65,65,65,40,40,40,0.006,0.006,0.013,0.006,0.006,0.014
