type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025866_ses-1_connectome.csv,76,1097,0.385,3.267,143,143,143,84,84,84,0.02,0.021,0.042,0.02,0.021,0.042
Undirected,N/A,sub-0025864_ses-1_connectome.csv,80,1127,0.357,3.222,133,133,133,97,97,97,0.021,0.022,0.045,0.021,0.022,0.047
Undirected,N/A,sub-0025865_ses-1_connectome.csv,76,1223,0.429,3.659,121,121,121,76,76,76,0.02,0.021,0.045,0.02,0.021,0.047
Undirected,N/A,sub-0025868_ses-2_connectome.csv,76,1021,0.358,3.43,126,126,126,79,79,79,0.02,0.02,0.039,0.018,0.019,0.04
Undirected,N/A,sub-0025867_ses-2_connectome.csv,81,1116,0.344,3.418,134,134,134,93,93,93,0.022,0.024,0.046,0.022,0.023,0.046
Undirected,N/A,sub-0025864_ses-2_connectome.csv,78,1047,0.349,3.736,138,138,138,86,86,86,0.019,0.02,0.041,0.02,0.02,0.042
Undirected,N/A,sub-0025868_ses-1_connectome.csv,76,1085,0.381,3.305,130,130,130,83,83,83,0.02,0.021,0.041,0.019,0.02,0.043
Undirected,N/A,sub-0025866_ses-2_connectome.csv,77,1102,0.377,3.599,126,126,126,84,84,84,0.02,0.021,0.045,0.02,0.02,0.043
Undirected,N/A,sub-0025869_ses-2_connectome.csv,75,1060,0.382,3.098,121,121,121,81,81,81,0.019,0.02,0.04,0.018,0.019,0.041
Undirected,N/A,sub-0025865_ses-2_connectome.csv,79,1183,0.384,3.309,129,129,129,82,82,82,0.022,0.024,0.047,0.022,0.023,0.047
Undirected,N/A,sub-0025873_ses-2_connectome.csv,77,1043,0.356,3.47,140,140,140,88,88,88,0.019,0.02,0.04,0.02,0.02,0.042
Undirected,N/A,sub-0025873_ses-1_connectome.csv,79,1099,0.357,3.476,144,144,144,87,87,87,0.022,0.022,0.043,0.021,0.022,0.045
Undirected,N/A,sub-0025869_ses-1_connectome.csv,75,1041,0.375,3.332,112,112,112,78,78,78,0.019,0.019,0.039,0.018,0.019,0.04
Undirected,N/A,sub-0025872_ses-2_connectome.csv,77,1075,0.367,3.349,143,143,143,94,94,94,0.021,0.021,0.041,0.02,0.021,0.042
Undirected,N/A,sub-0025871_ses-2_connectome.csv,76,1111,0.39,3.827,133,133,133,80,80,80,0.019,0.021,0.042,0.019,0.02,0.043
Undirected,N/A,sub-0025870_ses-1_connectome.csv,82,1502,0.452,3.409,120,120,120,84,84,84,0.026,0.027,0.06,0.026,0.027,0.06
Undirected,N/A,sub-0025874_ses-2_connectome.csv,79,1126,0.365,3.333,136,136,136,88,88,88,0.021,0.024,0.046,0.021,0.022,0.045
Undirected,N/A,sub-0025872_ses-1_connectome.csv,77,1062,0.363,3.602,123,123,123,84,84,84,0.019,0.02,0.041,0.02,0.02,0.042
Undirected,N/A,sub-0025867_ses-1_connectome.csv,79,1119,0.363,3.402,126,126,126,83,83,83,0.02,0.022,0.046,0.02,0.022,0.046
Undirected,N/A,sub-0025871_ses-1_connectome.csv,79,1088,0.353,3.48,133,133,133,87,87,87,0.021,0.022,0.043,0.02,0.021,0.045
Undirected,N/A,sub-0025876_ses-2_connectome.csv,80,1196,0.378,3.444,130,130,130,84,84,84,0.023,0.024,0.047,0.022,0.023,0.048
Undirected,N/A,sub-0025875_ses-1_connectome.csv,78,1510,0.503,3.696,124,124,124,80,80,80,0.025,0.026,0.057,0.024,0.025,0.057
Undirected,N/A,sub-0025870_ses-2_connectome.csv,79,1293,0.42,3.678,133,133,133,92,92,92,0.025,0.026,0.049,0.023,0.024,0.05
Undirected,N/A,sub-0025877_ses-1_connectome.csv,79,1084,0.352,3.407,123,123,123,88,88,88,0.021,0.024,0.044,0.021,0.022,0.043
Undirected,N/A,sub-0025879_ses-2_connectome.csv,79,1118,0.363,3.812,120,120,120,87,87,87,0.021,0.022,0.044,0.021,0.022,0.045
Undirected,N/A,sub-0025877_ses-2_connectome.csv,80,1140,0.361,3.395,145,145,145,95,95,95,0.021,0.021,0.044,0.02,0.021,0.047
Undirected,N/A,sub-0025876_ses-1_connectome.csv,78,1142,0.38,3.668,117,117,117,80,80,80,0.02,0.021,0.044,0.019,0.021,0.045
Undirected,N/A,sub-0025880_ses-1_connectome.csv,77,1094,0.374,3.445,125,125,125,80,80,80,0.02,0.02,0.042,0.019,0.02,0.043
Undirected,N/A,sub-0025879_ses-1_connectome.csv,78,1112,0.37,4.342,128,128,128,86,86,86,0.019,0.021,0.045,0.019,0.02,0.044
Undirected,N/A,sub-0025880_ses-2_connectome.csv,78,1076,0.358,3.762,137,137,137,86,86,86,0.021,0.022,0.042,0.021,0.021,0.043
Undirected,N/A,sub-0025882_ses-1_connectome.csv,73,1056,0.402,4.004,133,133,133,80,80,80,0.018,0.018,0.038,0.017,0.018,0.04
Undirected,N/A,sub-0025881_ses-1_connectome.csv,81,1080,0.333,3.466,134,134,134,92,92,92,0.022,0.022,0.044,0.021,0.022,0.044
Undirected,N/A,sub-0025878_ses-1_connectome.csv,82,1170,0.352,3.573,135,135,135,86,86,86,0.023,0.025,0.047,0.022,0.023,0.048
Undirected,N/A,sub-0025881_ses-2_connectome.csv,77,1150,0.393,3.332,127,127,127,83,83,83,0.021,0.022,0.045,0.021,0.021,0.044
Undirected,N/A,sub-0025882_ses-2_connectome.csv,76,1176,0.413,3.393,129,129,129,76,76,76,0.021,0.022,0.044,0.021,0.022,0.045
Undirected,N/A,sub-0025874_ses-1_connectome.csv,76,1104,0.387,3.134,125,125,125,83,83,83,0.019,0.02,0.042,0.019,0.02,0.045
Undirected,N/A,sub-0025883_ses-1_connectome.csv,76,1068,0.375,3.719,128,128,128,80,80,80,0.019,0.02,0.04,0.019,0.019,0.042
Undirected,N/A,sub-0025884_ses-1_connectome.csv,83,1251,0.368,3.43,138,138,138,87,87,87,0.024,0.025,0.05,0.023,0.024,0.052
Undirected,N/A,sub-0025886_ses-1_connectome.csv,79,1070,0.347,3.642,131,131,131,84,84,84,0.022,0.022,0.043,0.021,0.021,0.043
Undirected,N/A,sub-0025884_ses-2_connectome.csv,80,1094,0.346,3.584,123,123,123,89,89,89,0.02,0.022,0.043,0.02,0.021,0.044
Undirected,N/A,sub-0025886_ses-2_connectome.csv,76,1191,0.418,3.34,142,142,142,83,83,83,0.02,0.021,0.045,0.021,0.021,0.045
Undirected,N/A,sub-0025885_ses-1_connectome.csv,76,1033,0.362,4.138,123,123,123,82,82,82,0.018,0.019,0.04,0.018,0.019,0.041
Undirected,N/A,sub-0025888_ses-2_connectome.csv,77,1075,0.367,4.435,127,127,127,85,85,85,0.019,0.021,0.041,0.019,0.02,0.042
Undirected,N/A,sub-0025878_ses-2_connectome.csv,82,1161,0.35,3.778,125,125,125,89,89,89,0.023,0.024,0.047,0.022,0.023,0.048
Undirected,N/A,sub-0025885_ses-2_connectome.csv,76,1002,0.352,3.491,125,125,125,87,87,87,0.018,0.019,0.038,0.119,0.019,0.039
Undirected,N/A,sub-0025890_ses-1_connectome.csv,76,1131,0.397,3.094,115,115,115,90,90,90,0.02,0.02,0.042,0.019,0.027,0.044
Undirected,N/A,sub-0025889_ses-2_connectome.csv,73,940,0.358,3.257,135,135,135,81,81,81,0.017,0.018,0.035,0.016,0.017,0.035
Undirected,N/A,sub-0025890_ses-2_connectome.csv,75,1205,0.434,3.361,108,108,108,78,78,78,0.02,0.021,0.044,0.021,0.022,0.046
Undirected,N/A,sub-0025875_ses-2_connectome.csv,81,1301,0.402,3.375,134,134,134,86,86,86,0.023,0.024,0.051,0.023,0.025,0.052
Undirected,N/A,sub-0025888_ses-1_connectome.csv,81,1177,0.363,3.754,137,137,137,96,96,96,0.022,0.023,0.047,0.021,0.023,0.048
Undirected,N/A,sub-0025883_ses-2_connectome.csv,84,1316,0.378,3.172,150,150,150,99,99,99,0.025,0.028,0.055,0.025,0.026,0.056
Undirected,N/A,sub-0025891_ses-1_connectome.csv,81,1160,0.358,3.31,141,141,141,91,91,91,0.022,0.023,0.046,0.021,0.023,0.049
Undirected,N/A,sub-0025887_ses-2_connectome.csv,76,1072,0.376,3.545,135,135,135,81,81,81,0.02,0.021,0.04,0.02,0.021,0.041
Undirected,N/A,sub-0025891_ses-2_connectome.csv,81,1081,0.334,3.115,140,140,140,97,97,97,0.021,0.023,0.044,0.02,0.021,0.044
Undirected,N/A,sub-0025893_ses-1_connectome.csv,76,1169,0.41,3.594,121,121,121,76,76,76,0.019,0.02,0.045,0.02,0.02,0.045
Undirected,N/A,sub-0025895_ses-2_connectome.csv,77,1117,0.382,3.399,124,124,124,85,85,85,0.02,0.02,0.043,0.019,0.021,0.045
Undirected,N/A,sub-0025889_ses-1_connectome.csv,74,1029,0.381,3.311,133,133,133,85,85,85,0.018,0.019,0.038,0.018,0.018,0.039
Undirected,N/A,sub-0025894_ses-2_connectome.csv,76,1094,0.384,3.32,133,133,133,80,80,80,0.021,0.021,0.042,0.019,0.02,0.042
Undirected,N/A,sub-0025894_ses-1_connectome.csv,77,1027,0.351,3.267,140,140,140,87,87,87,0.019,0.021,0.042,0.019,0.02,0.041
Undirected,N/A,sub-0025892_ses-2_connectome.csv,80,1251,0.396,3.469,131,131,131,85,85,85,0.023,0.024,0.049,0.024,0.024,0.05
Undirected,N/A,sub-0025899_ses-1_connectome.csv,71,985,0.396,3.386,118,118,118,75,75,75,0.016,0.017,0.035,0.016,0.017,0.038
Undirected,N/A,sub-0025895_ses-1_connectome.csv,80,1358,0.43,3.491,114,114,114,85,85,85,0.023,0.024,0.053,0.022,0.023,0.054
Undirected,N/A,sub-0025893_ses-2_connectome.csv,81,1288,0.398,3.485,129,129,129,89,89,89,0.024,0.025,0.05,0.023,0.024,0.052
Undirected,N/A,sub-0025898_ses-1_connectome.csv,77,1138,0.389,3.352,135,135,135,84,84,84,0.021,0.021,0.043,0.02,0.021,0.045
Undirected,N/A,sub-0025896_ses-1_connectome.csv,75,1137,0.41,3.39,121,121,121,81,81,81,0.02,0.022,0.042,0.019,0.02,0.043
Undirected,N/A,sub-0025897_ses-1_connectome.csv,79,1050,0.341,2.909,149,149,149,90,90,90,0.021,0.022,0.043,0.022,0.022,0.043
Undirected,N/A,sub-0025899_ses-2_connectome.csv,78,1170,0.39,3.326,127,127,127,90,90,90,0.021,0.022,0.045,0.021,0.022,0.047
Undirected,N/A,sub-0025896_ses-2_connectome.csv,81,1353,0.418,3.029,133,133,133,92,92,92,0.024,0.026,0.053,0.024,0.025,0.055
Undirected,N/A,sub-0025892_ses-1_connectome.csv,81,1216,0.375,3.236,132,132,132,91,91,91,0.022,0.023,0.048,0.022,0.023,0.05
Undirected,N/A,sub-0025898_ses-2_connectome.csv,76,1003,0.352,3.468,140,140,140,88,88,88,0.019,0.02,0.038,0.018,0.019,0.039
Undirected,N/A,sub-0025901_ses-2_connectome.csv,80,1505,0.476,3.186,129,129,129,84,84,84,0.026,0.027,0.06,0.026,0.026,0.058
Undirected,N/A,sub-0025900_ses-1_connectome.csv,78,1027,0.342,3.615,127,127,127,90,90,90,0.019,0.02,0.043,0.019,0.02,0.041
Undirected,N/A,sub-0025887_ses-1_connectome.csv,78,1064,0.354,3.658,134,134,134,91,91,91,0.02,0.021,0.041,0.021,0.021,0.042
Undirected,N/A,sub-0025903_ses-1_connectome.csv,80,1169,0.37,3.819,141,141,141,93,93,93,0.022,0.024,0.046,0.022,0.025,0.048
Undirected,N/A,sub-0025904_ses-1_connectome.csv,77,1127,0.385,3.436,124,124,124,83,83,83,0.021,0.022,0.043,0.02,0.021,0.045
