type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025864_ses-1_connectome.csv,83,2080,0.611,3.452,181,181,181,82,82,82,0.034,0.035,0.082,0.033,0.034,0.084
Undirected,N/A,sub-0025864_ses-2_connectome.csv,83,2051,0.603,3.653,164,164,164,82,82,82,0.032,0.033,0.079,0.033,0.033,0.079
Undirected,N/A,sub-0025868_ses-1_connectome.csv,83,1740,0.511,3.09,162,162,162,82,82,82,0.029,0.03,0.069,0.029,0.03,0.069
Undirected,N/A,sub-0025867_ses-1_connectome.csv,83,1841,0.541,3.42,177,177,177,83,83,83,0.032,0.034,0.069,0.03,0.031,0.072
Undirected,N/A,sub-0025866_ses-2_connectome.csv,83,1671,0.491,3.307,158,158,158,82,82,82,0.031,0.031,0.064,0.028,0.029,0.067
Undirected,N/A,sub-0025867_ses-2_connectome.csv,83,1759,0.517,3.585,159,159,159,82,82,82,0.029,0.03,0.066,0.029,0.03,0.071
Undirected,N/A,sub-0025870_ses-2_connectome.csv,83,2356,0.692,4.009,171,171,171,83,83,83,0.035,0.036,0.086,0.034,0.037,0.09
Undirected,N/A,sub-0025869_ses-1_connectome.csv,83,1875,0.551,3.297,165,165,165,82,82,82,0.031,0.032,0.074,0.032,0.031,0.074
Undirected,N/A,sub-0025865_ses-1_connectome.csv,83,1798,0.528,3.482,149,149,149,82,82,82,0.029,0.03,0.072,0.029,0.029,0.07
Undirected,N/A,sub-0025869_ses-2_connectome.csv,83,1962,0.577,3.311,167,167,167,82,82,82,0.032,0.033,0.075,0.032,0.032,0.077
Undirected,N/A,sub-0025865_ses-2_connectome.csv,83,1974,0.58,3.268,160,160,160,83,83,83,0.031,0.034,0.075,0.03,0.031,0.076
Undirected,N/A,sub-0025870_ses-1_connectome.csv,83,2535,0.745,4.03,188,188,188,82,82,82,0.036,0.038,0.092,0.036,0.038,0.095
Undirected,N/A,sub-0025868_ses-2_connectome.csv,83,1929,0.567,3.407,164,164,164,82,82,82,0.03,0.031,0.075,0.031,0.031,0.076
Undirected,N/A,sub-0025872_ses-2_connectome.csv,83,2018,0.593,3.555,173,173,173,82,82,82,0.032,0.033,0.077,0.031,0.032,0.079
Undirected,N/A,sub-0025866_ses-1_connectome.csv,83,1866,0.548,3.311,176,176,176,82,82,82,0.03,0.031,0.069,0.029,0.03,0.074
Undirected,N/A,sub-0025872_ses-1_connectome.csv,83,1814,0.533,3.295,171,171,171,82,82,82,0.031,0.032,0.068,0.03,0.031,0.073
Undirected,N/A,sub-0025871_ses-1_connectome.csv,83,1792,0.527,3.205,167,167,167,82,82,82,0.03,0.031,0.068,0.03,0.031,0.07
Undirected,N/A,sub-0025871_ses-2_connectome.csv,83,1884,0.554,3.228,161,161,161,82,82,82,0.03,0.032,0.24,0.031,0.031,0.074
Undirected,N/A,sub-0025874_ses-2_connectome.csv,83,1927,0.566,3.174,156,156,156,82,82,82,0.03,0.033,0.073,0.03,0.031,0.075
Undirected,N/A,sub-0025874_ses-1_connectome.csv,83,1943,0.571,3.674,176,176,176,83,83,83,0.031,0.032,0.073,0.031,0.032,0.077
Undirected,N/A,sub-0025873_ses-1_connectome.csv,83,1863,0.547,3.417,169,169,169,82,82,82,0.03,0.031,0.072,0.031,0.031,0.073
Undirected,N/A,sub-0025875_ses-1_connectome.csv,83,2656,0.78,3.731,173,173,173,82,82,82,0.037,0.039,0.099,0.037,0.038,0.101
Undirected,N/A,sub-0025873_ses-2_connectome.csv,83,2156,0.634,3.407,161,161,161,82,82,82,0.031,0.032,0.08,0.03,0.032,0.085
Undirected,N/A,sub-0025876_ses-1_connectome.csv,83,1695,0.498,3.514,160,160,160,82,82,82,0.028,0.029,0.066,0.028,0.028,0.067
Undirected,N/A,sub-0025875_ses-2_connectome.csv,83,2262,0.665,3.486,158,158,158,82,82,82,0.034,0.035,0.085,0.035,0.035,0.086
Undirected,N/A,sub-0025877_ses-1_connectome.csv,83,1885,0.554,3.207,156,156,156,82,82,82,0.03,0.032,0.072,0.03,0.031,0.073
Undirected,N/A,sub-0025876_ses-2_connectome.csv,83,1955,0.574,3.305,152,152,152,82,82,82,0.031,0.031,0.074,0.03,0.031,0.082
Undirected,N/A,sub-0025878_ses-2_connectome.csv,83,2014,0.592,3.089,161,161,161,82,82,82,0.033,0.034,0.078,0.033,0.033,0.079
Undirected,N/A,sub-0025878_ses-1_connectome.csv,83,1875,0.551,3.241,166,166,166,82,82,82,0.031,0.033,0.073,0.03,0.031,0.073
Undirected,N/A,sub-0025877_ses-2_connectome.csv,83,1866,0.548,3.553,158,158,158,82,82,82,0.032,0.032,0.071,0.03,0.032,0.075
Undirected,N/A,sub-0025881_ses-1_connectome.csv,83,1937,0.569,3.611,155,155,155,82,82,82,0.031,0.032,0.074,0.032,0.032,0.075
Undirected,N/A,sub-0025880_ses-1_connectome.csv,83,2064,0.607,3.438,188,188,188,84,84,84,0.032,0.033,0.078,0.032,0.034,0.08
Undirected,N/A,sub-0025880_ses-2_connectome.csv,83,1968,0.578,3.546,173,173,173,83,83,83,0.031,0.032,0.074,0.031,0.032,0.079
Undirected,N/A,sub-0025879_ses-2_connectome.csv,83,1897,0.557,3.341,158,158,158,82,82,82,0.031,0.033,0.075,0.032,0.032,0.074
Undirected,N/A,sub-0025881_ses-2_connectome.csv,83,2080,0.611,3.363,157,157,157,82,82,82,0.032,0.034,0.079,0.032,0.033,0.081
Undirected,N/A,sub-0025882_ses-1_connectome.csv,83,1715,0.504,3.421,175,175,175,84,84,84,0.029,0.031,0.066,0.028,0.029,0.071
