type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025864_ses-1_connectome.csv,21,210,1.0,8.307,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025864_ses-2_connectome.csv,21,207,0.986,10.124,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025866_ses-2_connectome.csv,21,202,0.962,7.036,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025865_ses-1_connectome.csv,21,204,0.971,14.248,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025866_ses-1_connectome.csv,21,204,0.971,7.071,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025867_ses-2_connectome.csv,21,205,0.976,7.089,31,31,31,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025865_ses-2_connectome.csv,21,205,0.976,7.089,26,26,26,20,20,20,0.001,0.001,0.003,0.002,0.001,0.003
Undirected,N/A,sub-0025868_ses-1_connectome.csv,21,175,0.833,3.049,29,29,29,20,20,20,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025869_ses-1_connectome.csv,21,202,0.962,8.145,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025868_ses-2_connectome.csv,21,195,0.929,6.91,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025870_ses-2_connectome.csv,21,208,0.99,8.266,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025867_ses-1_connectome.csv,21,200,0.952,9.95,30,30,30,20,20,20,0.001,0.001,0.003,0.002,0.001,0.003
Undirected,N/A,sub-0025869_ses-2_connectome.csv,21,208,0.99,5.802,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025871_ses-2_connectome.csv,21,192,0.914,13.82,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025871_ses-1_connectome.csv,21,200,0.952,7.0,32,32,32,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025872_ses-1_connectome.csv,21,200,0.952,14.107,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025873_ses-2_connectome.csv,21,207,0.986,10.124,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025873_ses-1_connectome.csv,21,202,0.962,14.177,31,31,31,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025875_ses-2_connectome.csv,21,207,0.986,14.353,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025875_ses-1_connectome.csv,21,210,1.0,14.457,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025872_ses-2_connectome.csv,21,197,0.938,9.874,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025877_ses-1_connectome.csv,21,203,0.967,4.937,26,26,26,20,20,20,0.002,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025876_ses-2_connectome.csv,21,205,0.976,7.089,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025878_ses-1_connectome.csv,21,199,0.948,5.672,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025874_ses-2_connectome.csv,21,201,0.957,9.975,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025870_ses-1_connectome.csv,21,207,0.986,14.353,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025876_ses-1_connectome.csv,21,193,0.919,9.772,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025874_ses-1_connectome.csv,21,206,0.981,7.106,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025881_ses-2_connectome.csv,21,205,0.976,7.089,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025881_ses-1_connectome.csv,21,194,0.924,9.798,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025879_ses-2_connectome.csv,21,205,0.976,7.089,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025878_ses-2_connectome.csv,21,192,0.914,5.141,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025879_ses-1_connectome.csv,21,208,0.99,6.372,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025877_ses-2_connectome.csv,21,194,0.924,9.798,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025883_ses-1_connectome.csv,21,191,0.91,4.497,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025884_ses-1_connectome.csv,21,209,0.995,10.173,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025883_ses-2_connectome.csv,21,200,0.952,6.245,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025880_ses-1_connectome.csv,21,206,0.981,14.318,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025882_ses-2_connectome.csv,21,202,0.962,8.145,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
