type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025864_ses-1_connectome.csv,627,32261,0.164,2.368,1706,1706,1706,1023,1023,1023,7.712,8.231,14.895,7.531,7.968,15.02
Undirected,N/A,sub-0025867_ses-1_connectome.csv,609,27919,0.151,2.26,1827,1827,1827,1143,1143,1143,6.593,6.958,12.73,6.012,6.769,12.265
Undirected,N/A,sub-0025865_ses-2_connectome.csv,622,30196,0.156,2.307,1658,1658,1658,1004,1004,1004,7.339,8.042,14.245,6.754,7.88,12.561
Undirected,N/A,sub-0025864_ses-2_connectome.csv,623,29520,0.152,2.304,1775,1775,1775,1071,1071,1071,7.001,7.509,14.148,6.781,7.335,13.915
Undirected,N/A,sub-0025865_ses-1_connectome.csv,612,30151,0.161,2.416,1727,1727,1727,994,994,994,6.793,7.472,14.064,6.824,7.336,14.249
Undirected,N/A,sub-0025866_ses-2_connectome.csv,579,25766,0.154,2.279,1591,1591,1591,941,941,941,5.734,6.121,11.043,5.269,5.605,11.278
Undirected,N/A,sub-0025867_ses-2_connectome.csv,597,25027,0.141,2.314,1658,1658,1658,1059,1059,1059,5.52,6.163,11.453,5.359,5.999,11.225
Undirected,N/A,sub-0025866_ses-1_connectome.csv,594,27290,0.155,2.295,1655,1655,1655,1018,1018,1018,6.014,6.14,12.502,5.922,6.717,12.45
Undirected,N/A,sub-0025870_ses-2_connectome.csv,674,51619,0.228,2.315,1764,1764,1764,997,997,997,12.262,14.004,27.403,13.764,14.269,26.877
Undirected,N/A,sub-0025869_ses-2_connectome.csv,621,30927,0.161,2.241,1628,1628,1628,1029,1029,1029,8.151,8.859,16.245,7.951,8.757,16.155
Undirected,N/A,sub-0025868_ses-2_connectome.csv,610,29387,0.158,2.315,1753,1753,1753,1073,1073,1073,6.602,7.793,14.396,6.971,7.555,14.136
Undirected,N/A,sub-0025870_ses-1_connectome.csv,665,50248,0.228,2.279,1778,1778,1778,991,991,991,13.873,14.034,27.515,12.624,14.44,26.874
Undirected,N/A,sub-0025869_ses-1_connectome.csv,617,28183,0.148,2.275,1808,1808,1808,1190,1190,1190,6.736,7.527,13.709,6.859,6.948,13.71
Undirected,N/A,sub-0025872_ses-1_connectome.csv,597,27408,0.154,2.326,1761,1761,1761,1135,1135,1135,6.484,7.202,13.09,6.198,7.008,12.853
Undirected,N/A,sub-0025868_ses-1_connectome.csv,630,30590,0.154,2.269,1850,1850,1850,1063,1063,1063,7.171,8.323,15.386,7.308,8.181,15.235
Undirected,N/A,sub-0025871_ses-2_connectome.csv,602,27655,0.153,2.35,1691,1691,1691,1053,1053,1053,6.196,6.988,12.94,5.984,7.04,12.382
Undirected,N/A,sub-0025872_ses-2_connectome.csv,595,27479,0.155,2.306,1747,1747,1747,1165,1165,1165,7.112,6.531,13.426,6.597,7.389,13.241
Undirected,N/A,sub-0025874_ses-2_connectome.csv,611,31858,0.171,2.262,1678,1678,1678,1044,1044,1044,7.722,8.451,16.104,7.324,8.229,15.554
Undirected,N/A,sub-0025873_ses-2_connectome.csv,621,30560,0.159,2.343,1856,1856,1856,1119,1119,1119,7.886,8.61,15.167,7.575,8.276,15.089
Undirected,N/A,sub-0025875_ses-1_connectome.csv,667,49922,0.225,2.325,1752,1752,1752,978,978,978,13.91,14.656,27.191,13.65,14.436,27.304
Undirected,N/A,sub-0025874_ses-1_connectome.csv,626,30245,0.155,2.305,1764,1764,1764,1046,1046,1046,7.803,8.02,15.538,7.663,8.194,15.3
Undirected,N/A,sub-0025875_ses-2_connectome.csv,660,37085,0.171,2.308,1802,1802,1802,1107,1107,1107,10.025,10.959,20.224,9.468,10.47,17.698
Undirected,N/A,sub-0025873_ses-1_connectome.csv,605,27584,0.151,2.249,1802,1802,1802,1143,1143,1143,6.423,7.24,13.146,6.222,7.022,13.124
Undirected,N/A,sub-0025876_ses-1_connectome.csv,653,32661,0.153,2.318,1754,1754,1754,1031,1031,1031,8.727,9.733,18.149,8.499,9.433,17.452
Undirected,N/A,sub-0025876_ses-2_connectome.csv,651,31991,0.151,2.272,1918,1918,1918,1129,1129,1129,8.715,9.49,16.273,8.427,9.121,16.761
Undirected,N/A,sub-0025877_ses-1_connectome.csv,628,29157,0.148,2.339,1631,1631,1631,984,984,984,7.243,7.931,14.466,6.743,7.645,14.674
Undirected,N/A,sub-0025877_ses-2_connectome.csv,642,32402,0.157,2.35,1863,1863,1863,1135,1135,1135,8.582,9.037,17.049,7.567,8.679,16.88
Undirected,N/A,sub-0025878_ses-1_connectome.csv,625,29545,0.152,2.288,1591,1591,1591,981,981,981,7.13,7.77,14.811,6.797,7.489,14.666
Undirected,N/A,sub-0025879_ses-1_connectome.csv,607,28198,0.153,2.312,1541,1541,1541,988,988,988,7.025,7.546,12.867,6.886,7.334,13.625
Undirected,N/A,sub-0025878_ses-2_connectome.csv,658,34836,0.161,2.266,1748,1748,1748,1100,1100,1100,9.312,10.05,18.82,8.584,9.758,18.305
Undirected,N/A,sub-0025871_ses-1_connectome.csv,585,23944,0.14,2.281,1678,1678,1678,1076,1076,1076,5.578,5.967,10.67,5.049,5.724,10.223
Undirected,N/A,sub-0025880_ses-2_connectome.csv,604,27995,0.154,2.292,1692,1692,1692,1069,1069,1069,6.97,7.807,14.508,6.919,7.651,14.097
Undirected,N/A,sub-0025879_ses-2_connectome.csv,606,26978,0.147,2.277,1637,1637,1637,988,988,988,6.455,6.995,13.102,6.093,6.776,12.426
Undirected,N/A,sub-0025881_ses-1_connectome.csv,620,33526,0.175,2.367,1714,1714,1714,1002,1002,1002,8.258,8.924,16.811,8.377,8.772,16.624
Undirected,N/A,sub-0025881_ses-2_connectome.csv,605,30308,0.166,2.346,1739,1739,1739,1016,1016,1016,7.445,8.002,14.857,6.701,7.739,14.388
Undirected,N/A,sub-0025882_ses-2_connectome.csv,580,28317,0.169,2.205,1537,1537,1537,991,991,991,6.488,7.079,13.353,6.4,6.863,13.063
Undirected,N/A,sub-0025884_ses-2_connectome.csv,589,25602,0.148,2.355,1657,1657,1657,1138,1138,1138,6.22,6.523,12.035,5.94,6.358,11.573
Undirected,N/A,sub-0025880_ses-1_connectome.csv,644,32793,0.158,2.258,1947,1947,1947,1223,1223,1223,8.367,9.693,17.341,8.324,9.687,16.961
Undirected,N/A,sub-0025883_ses-2_connectome.csv,682,43860,0.189,2.345,1740,1740,1740,994,994,994,13.262,14.277,26.028,12.819,13.923,25.751
Undirected,N/A,sub-0025883_ses-1_connectome.csv,613,26573,0.142,2.285,1758,1758,1758,1077,1077,1077,6.154,6.87,13.333,6.189,6.71,12.836
Undirected,N/A,sub-0025882_ses-1_connectome.csv,575,26127,0.158,2.297,1760,1760,1760,1050,1050,1050,5.696,6.322,11.914,5.474,6.135,11.875
Undirected,N/A,sub-0025886_ses-1_connectome.csv,583,25734,0.152,2.368,1598,1598,1598,975,975,975,5.816,6.363,11.911,5.63,6.167,11.159
Undirected,N/A,sub-0025885_ses-2_connectome.csv,615,24891,0.132,2.314,1706,1706,1706,1084,1084,1084,6.078,6.607,12.203,5.91,6.36,11.964
Undirected,N/A,sub-0025885_ses-1_connectome.csv,582,24223,0.143,2.361,1585,1585,1585,956,956,956,5.14,5.683,11.221,5.267,5.59,10.952
Undirected,N/A,sub-0025884_ses-1_connectome.csv,624,29807,0.153,2.208,1811,1811,1811,1130,1130,1130,7.146,7.992,14.828,6.893,7.489,14.56
