type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025864_ses-1_connectome.csv,17,136,1.0,6.658,34,34,34,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025864_ses-2_connectome.csv,17,134,0.985,8.124,24,24,24,16,16,16,0.001,0.002,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025865_ses-1_connectome.csv,17,132,0.971,11.446,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025866_ses-1_connectome.csv,17,129,0.949,11.314,23,23,23,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025866_ses-2_connectome.csv,17,126,0.926,11.18,23,23,23,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025867_ses-2_connectome.csv,17,133,0.978,8.093,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025865_ses-2_connectome.csv,17,131,0.963,8.031,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025867_ses-1_connectome.csv,17,132,0.971,11.446,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025868_ses-1_connectome.csv,17,133,0.978,8.093,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025870_ses-1_connectome.csv,17,136,1.0,11.619,21,21,21,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025869_ses-2_connectome.csv,17,131,0.963,11.402,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025869_ses-1_connectome.csv,17,129,0.949,7.969,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025872_ses-1_connectome.csv,17,130,0.956,8.0,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025871_ses-2_connectome.csv,17,131,0.963,6.532,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025870_ses-2_connectome.csv,17,134,0.985,11.533,29,29,29,16,16,16,0.001,0.002,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025868_ses-2_connectome.csv,17,133,0.978,8.093,32,32,32,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025873_ses-2_connectome.csv,17,130,0.956,8.0,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025873_ses-1_connectome.csv,17,130,0.956,11.358,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025872_ses-2_connectome.csv,17,132,0.971,11.446,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025874_ses-1_connectome.csv,17,130,0.956,8.0,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025871_ses-1_connectome.csv,17,131,0.963,11.402,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025875_ses-1_connectome.csv,17,136,1.0,11.619,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025874_ses-2_connectome.csv,17,130,0.956,11.358,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025877_ses-2_connectome.csv,17,133,0.978,11.489,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025875_ses-2_connectome.csv,17,132,0.971,11.446,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025878_ses-1_connectome.csv,17,132,0.971,11.446,23,23,23,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025876_ses-1_connectome.csv,17,129,0.949,7.969,22,22,22,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025876_ses-2_connectome.csv,17,132,0.971,11.446,27,27,27,16,16,16,0.001,0.002,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025879_ses-2_connectome.csv,17,129,0.949,11.314,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025881_ses-1_connectome.csv,17,127,0.934,7.906,35,35,35,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025879_ses-1_connectome.csv,17,130,0.956,11.358,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025878_ses-2_connectome.csv,17,135,0.993,5.723,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025877_ses-1_connectome.csv,17,134,0.985,11.533,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025880_ses-1_connectome.csv,17,133,0.978,11.489,25,25,25,16,16,16,0.001,0.002,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025881_ses-2_connectome.csv,17,132,0.971,6.557,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025880_ses-2_connectome.csv,17,129,0.949,7.969,20,20,20,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025882_ses-2_connectome.csv,17,130,0.956,5.612,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025883_ses-1_connectome.csv,17,131,0.963,8.031,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025882_ses-1_connectome.csv,17,130,0.956,11.358,22,22,22,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025886_ses-2_connectome.csv,17,132,0.971,8.062,29,29,29,17,17,17,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025886_ses-1_connectome.csv,17,133,0.978,5.679,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025883_ses-2_connectome.csv,17,135,0.993,11.576,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025884_ses-1_connectome.csv,17,133,0.978,11.489,23,23,23,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025885_ses-1_connectome.csv,17,131,0.963,8.031,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025885_ses-2_connectome.csv,17,132,0.971,8.062,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025887_ses-1_connectome.csv,17,133,0.978,8.093,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.003
