type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027055_ses-1_connectome.csv,116,4305,0.645,2.964,256,256,256,115,115,115,0.085,0.087,0.224,0.086,0.089,0.234
Undirected,N/A,sub-0027057_ses-1_connectome.csv,116,3822,0.573,2.835,269,269,269,115,115,115,0.079,0.082,0.198,0.079,0.082,0.208
Undirected,N/A,sub-0027059_ses-1_connectome.csv,116,4716,0.707,3.013,280,280,280,115,115,115,0.087,0.09,0.245,0.088,0.09,0.254
Undirected,N/A,sub-0027056_ses-1_connectome.csv,116,4329,0.649,2.936,285,285,285,115,115,115,0.087,0.091,0.224,0.09,0.092,0.236
Undirected,N/A,sub-0027058_ses-1_connectome.csv,116,3342,0.501,2.847,252,252,252,115,115,115,0.075,0.078,0.176,0.076,0.078,0.186
Undirected,N/A,sub-0027065_ses-1_connectome.csv,116,3782,0.567,2.725,252,252,252,115,115,115,0.082,0.085,0.197,0.086,0.084,0.204
Undirected,N/A,sub-0027066_ses-1_connectome.csv,116,4393,0.659,2.946,259,259,259,115,115,115,0.086,0.089,0.226,0.087,0.088,0.233
Undirected,N/A,sub-0027060_ses-1_connectome.csv,116,3402,0.51,2.902,246,246,246,116,116,116,0.076,0.079,0.182,0.076,0.078,0.187
Undirected,N/A,sub-0027061_ses-1_connectome.csv,103,3033,0.577,2.708,211,211,211,105,105,105,0.058,0.06,0.139,0.059,0.06,0.146
Undirected,N/A,sub-0027067_ses-1_connectome.csv,116,4339,0.651,2.774,249,249,249,115,115,115,0.08,0.083,0.225,0.082,0.083,0.23
Undirected,N/A,sub-0027062_ses-1_connectome.csv,116,3665,0.549,2.993,231,231,231,115,115,115,0.077,0.079,0.191,0.079,0.078,0.198
Undirected,N/A,sub-0027064_ses-1_connectome.csv,116,4078,0.611,2.995,244,244,244,115,115,115,0.083,0.087,0.207,0.083,0.084,0.22
Undirected,N/A,sub-0027063_ses-1_connectome.csv,115,3987,0.608,2.95,265,265,265,114,114,114,0.082,0.084,0.21,0.082,0.083,0.214
Undirected,N/A,sub-0027071_ses-1_connectome.csv,116,3836,0.575,2.856,258,258,258,115,115,115,0.082,0.085,0.197,0.083,0.085,0.206
Undirected,N/A,sub-0027069_ses-1_connectome.csv,116,3900,0.585,2.906,250,250,250,115,115,115,0.082,0.086,0.205,0.082,0.084,0.219
Undirected,N/A,sub-0027072_ses-1_connectome.csv,116,3348,0.502,3.229,267,267,267,116,116,116,0.074,0.077,0.173,0.074,0.076,0.182
Undirected,N/A,sub-0027074_ses-1_connectome.csv,116,3779,0.567,2.886,256,256,256,118,118,118,0.081,0.085,0.197,0.081,0.083,0.208
