type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027058_ses-1_connectome.csv,330,10370,0.191,2.049,614,614,614,340,340,340,0.857,0.92,1.846,0.85,0.911,2.04
Undirected,N/A,sub-0027056_ses-1_connectome.csv,330,10698,0.197,2.031,646,646,646,345,345,345,0.875,0.96,2.101,0.884,0.961,2.156
Undirected,N/A,sub-0027059_ses-1_connectome.csv,329,12086,0.224,1.881,638,638,638,333,333,333,1.047,1.106,2.274,1.042,1.138,2.518
Undirected,N/A,sub-0027066_ses-1_connectome.csv,331,10043,0.184,1.984,634,634,634,346,346,346,0.869,0.95,1.928,0.875,0.92,1.962
Undirected,N/A,sub-0027060_ses-1_connectome.csv,330,8200,0.151,1.991,661,661,661,339,339,339,0.724,0.779,1.562,0.71,0.762,1.602
Undirected,N/A,sub-0027055_ses-1_connectome.csv,330,11888,0.219,2.026,583,583,583,330,330,330,0.97,1.056,2.377,0.97,1.054,2.452
Undirected,N/A,sub-0027057_ses-1_connectome.csv,327,8366,0.157,2.11,623,623,623,345,345,345,0.699,0.748,1.516,0.697,0.737,1.558
Undirected,N/A,sub-0027065_ses-1_connectome.csv,326,9135,0.172,2.167,637,637,637,334,334,334,0.713,0.77,1.658,0.7,0.755,1.701
Undirected,N/A,sub-0027068_ses-1_connectome.csv,331,10655,0.195,1.948,663,663,663,349,349,349,0.898,0.967,2.058,0.892,0.969,2.14
Undirected,N/A,sub-0027064_ses-1_connectome.csv,327,10202,0.191,2.024,596,596,596,342,342,342,0.935,0.964,1.963,0.887,0.962,2.001
Undirected,N/A,sub-0027063_ses-1_connectome.csv,333,11578,0.209,2.182,638,638,638,337,337,337,0.97,1.039,2.34,0.937,0.881,2.43
Undirected,N/A,sub-0027067_ses-1_connectome.csv,329,11907,0.221,2.031,633,633,633,347,347,347,1.016,1.12,2.333,1.016,1.138,2.439
Undirected,N/A,sub-0027069_ses-1_connectome.csv,333,11135,0.201,2.191,634,634,634,335,335,335,0.917,0.962,2.244,0.873,0.941,2.295
Undirected,N/A,sub-0027070_ses-1_connectome.csv,330,9297,0.171,2.319,644,644,644,333,333,333,0.728,0.786,1.729,0.723,0.777,1.767
Undirected,N/A,sub-0027062_ses-1_connectome.csv,330,11343,0.209,2.039,674,674,674,336,336,336,0.941,1.026,2.195,0.978,1.027,2.277
Undirected,N/A,sub-0027072_ses-1_connectome.csv,326,9004,0.17,2.115,605,605,605,339,339,339,0.762,0.801,1.674,0.736,0.79,1.708
Undirected,N/A,sub-0027074_ses-1_connectome.csv,331,10750,0.197,2.088,689,689,689,348,348,348,0.887,0.945,2.074,0.846,0.922,2.142
Undirected,N/A,sub-0027071_ses-1_connectome.csv,329,9293,0.172,2.067,617,617,617,341,341,341,0.773,0.825,1.761,0.762,0.825,1.839
Undirected,N/A,sub-0027073_ses-1_connectome.csv,333,12064,0.218,2.062,659,659,659,346,346,346,0.992,1.076,2.473,1.047,1.085,2.546
Undirected,N/A,sub-0027078_ses-1_connectome.csv,330,10096,0.186,2.104,635,635,635,346,346,346,0.922,0.955,1.968,0.93,0.953,1.915
Undirected,N/A,sub-0027061_ses-1_connectome.csv,329,10598,0.196,2.233,600,600,600,344,344,344,0.799,0.94,2.072,0.865,0.922,2.092
Undirected,N/A,sub-0027075_ses-1_connectome.csv,330,9885,0.182,2.013,603,603,603,345,345,345,0.831,0.9,1.874,0.88,0.902,1.932
Undirected,N/A,sub-0027076_ses-1_connectome.csv,331,9796,0.179,2.098,619,619,619,351,351,351,0.821,0.874,1.865,0.815,0.878,2.204
Undirected,N/A,sub-0027079_ses-1_connectome.csv,332,11125,0.202,2.067,630,630,630,347,347,347,1.033,1.08,2.3,0.962,1.044,2.299
Undirected,N/A,sub-0027081_ses-1_connectome.csv,333,9860,0.178,1.948,625,625,625,341,341,341,0.836,0.904,1.914,0.842,0.902,1.952
Undirected,N/A,sub-0027085_ses-1_connectome.csv,330,9387,0.173,2.016,570,570,570,350,350,350,0.772,0.828,1.84,0.782,0.829,1.86
Undirected,N/A,sub-0027082_ses-1_connectome.csv,333,9410,0.17,2.082,587,587,587,341,341,341,0.768,0.83,1.774,0.769,0.821,1.842
