type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027056_ses-1_connectome.csv,200,9046,0.455,2.84,427,427,427,199,199,199,0.336,0.355,0.917,0.347,0.366,0.992
Undirected,N/A,sub-0027058_ses-1_connectome.csv,200,8482,0.426,2.757,449,449,449,199,199,199,0.327,0.346,0.871,0.335,0.346,0.878
Undirected,N/A,sub-0027060_ses-1_connectome.csv,200,7402,0.372,2.764,429,429,429,199,199,199,0.307,0.323,0.717,0.313,0.325,0.752
Undirected,N/A,sub-0027061_ses-1_connectome.csv,196,8554,0.448,2.853,413,413,413,197,197,197,0.318,0.334,0.813,0.336,0.346,0.874
Undirected,N/A,sub-0027063_ses-1_connectome.csv,199,8962,0.455,2.823,425,425,425,205,205,205,0.34,0.36,0.899,0.357,0.381,0.946
Undirected,N/A,sub-0027064_ses-1_connectome.csv,200,8730,0.439,2.696,428,428,428,200,200,200,0.338,0.356,0.878,0.349,0.361,0.926
Undirected,N/A,sub-0027057_ses-1_connectome.csv,200,8459,0.425,2.769,449,449,449,201,201,201,0.336,0.358,0.848,0.339,0.359,0.872
Undirected,N/A,sub-0027059_ses-1_connectome.csv,200,10376,0.521,2.635,444,444,444,199,199,199,0.39,0.408,1.1,0.414,0.43,1.133
Undirected,N/A,sub-0027055_ses-1_connectome.csv,200,9644,0.485,2.581,440,440,440,199,199,199,0.358,0.379,1.002,0.38,0.389,1.051
Undirected,N/A,sub-0027062_ses-1_connectome.csv,200,8472,0.426,2.672,431,431,431,202,202,202,0.336,0.351,0.845,0.333,0.351,0.868
Undirected,N/A,sub-0027070_ses-1_connectome.csv,200,7267,0.365,2.959,433,433,433,200,200,200,0.292,0.307,0.708,0.297,0.304,0.741
Undirected,N/A,sub-0027065_ses-1_connectome.csv,200,8763,0.44,2.772,450,450,450,199,199,199,0.349,0.367,0.791,0.356,0.366,0.931
Undirected,N/A,sub-0027068_ses-1_connectome.csv,200,8773,0.441,2.481,418,418,418,199,199,199,0.342,0.359,0.862,0.348,0.361,0.908
Undirected,N/A,sub-0027069_ses-1_connectome.csv,200,8858,0.445,2.712,456,456,456,200,200,200,0.346,0.364,0.903,0.357,0.373,0.957
Undirected,N/A,sub-0027066_ses-1_connectome.csv,200,9228,0.464,2.623,422,422,422,199,199,199,0.371,0.381,0.934,0.378,0.387,0.977
Undirected,N/A,sub-0027071_ses-1_connectome.csv,200,8163,0.41,2.698,434,434,434,199,199,199,0.327,0.327,0.781,0.31,0.322,0.847
