type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027059_ses-1_connectome.csv,83,2557,0.751,3.54,179,179,179,82,82,82,0.036,0.037,0.097,0.036,0.038,0.101
Undirected,N/A,sub-0027057_ses-1_connectome.csv,83,2045,0.601,3.19,151,151,151,82,82,82,0.031,0.032,0.079,0.032,0.033,0.082
Undirected,N/A,sub-0027056_ses-1_connectome.csv,83,2291,0.673,3.51,153,153,153,83,83,83,0.033,0.034,0.085,0.034,0.035,0.09
Undirected,N/A,sub-0027061_ses-1_connectome.csv,83,2000,0.588,3.27,147,147,147,82,82,82,0.031,0.033,0.076,0.033,0.033,0.079
Undirected,N/A,sub-0027058_ses-1_connectome.csv,83,2193,0.644,3.148,157,157,157,82,82,82,0.033,0.035,0.084,0.033,0.035,0.087
Undirected,N/A,sub-0027055_ses-1_connectome.csv,83,2479,0.728,3.413,160,160,160,82,82,82,0.035,0.036,0.092,0.036,0.037,0.096
Undirected,N/A,sub-0027062_ses-1_connectome.csv,83,2280,0.67,3.355,157,157,157,83,83,83,0.032,0.034,0.086,0.033,0.034,0.089
Undirected,N/A,sub-0027060_ses-1_connectome.csv,83,1985,0.583,3.299,158,158,158,83,83,83,0.031,0.033,0.074,0.032,0.033,0.082
Undirected,N/A,sub-0027063_ses-1_connectome.csv,83,2117,0.622,3.096,166,166,166,82,82,82,0.033,0.034,0.081,0.034,0.034,0.084
Undirected,N/A,sub-0027064_ses-1_connectome.csv,83,2389,0.702,3.188,144,144,144,82,82,82,0.033,0.035,0.088,0.035,0.036,0.092
Undirected,N/A,sub-0027065_ses-1_connectome.csv,83,2046,0.601,3.03,151,151,151,82,82,82,0.033,0.034,0.077,0.032,0.034,0.081
Undirected,N/A,sub-0027067_ses-1_connectome.csv,83,2589,0.761,3.605,167,167,167,82,82,82,0.035,0.037,0.097,0.037,0.037,0.1
Undirected,N/A,sub-0027066_ses-1_connectome.csv,83,2289,0.673,3.402,167,167,167,82,82,82,0.033,0.035,0.086,0.033,0.034,0.091
Undirected,N/A,sub-0027068_ses-1_connectome.csv,83,2167,0.637,3.069,144,144,144,82,82,82,0.032,0.033,0.08,0.032,0.034,0.086
Undirected,N/A,sub-0027072_ses-1_connectome.csv,83,2085,0.613,3.122,163,163,163,82,82,82,0.033,0.035,0.079,0.034,0.035,0.081
Undirected,N/A,sub-0027069_ses-1_connectome.csv,83,1976,0.581,3.168,163,163,163,82,82,82,0.032,0.034,0.076,0.032,0.033,0.079
Undirected,N/A,sub-0027071_ses-1_connectome.csv,83,2088,0.614,3.064,161,161,161,83,83,83,0.034,0.035,0.078,0.033,0.035,0.083
Undirected,N/A,sub-0027075_ses-1_connectome.csv,83,2406,0.707,3.65,174,174,174,82,82,82,0.034,0.036,0.089,0.036,0.035,0.094
Undirected,N/A,sub-0027073_ses-1_connectome.csv,83,2211,0.65,3.137,153,153,153,82,82,82,0.033,0.036,0.083,0.033,0.035,0.088
Undirected,N/A,sub-0027070_ses-1_connectome.csv,83,1849,0.543,3.238,165,165,165,82,82,82,0.032,0.034,0.071,0.032,0.033,0.075
Undirected,N/A,sub-0027074_ses-1_connectome.csv,83,2232,0.656,3.346,158,158,158,82,82,82,0.033,0.035,0.084,0.034,0.035,0.087
Undirected,N/A,sub-0027080_ses-1_connectome.csv,83,2425,0.713,3.223,161,161,161,82,82,82,0.034,0.037,0.09,0.035,0.036,0.096
