type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027056_ses-1_connectome.csv,30,416,0.956,4.702,49,49,49,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027055_ses-1_connectome.csv,30,383,0.88,4.789,56,56,56,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027057_ses-1_connectome.csv,30,393,0.903,5.893,46,46,46,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027058_ses-1_connectome.csv,31,412,0.886,4.315,52,52,52,30,30,30,0.003,0.003,0.007,0.003,0.004,0.007
Undirected,N/A,sub-0027060_ses-1_connectome.csv,30,389,0.894,3.816,45,45,45,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027059_ses-1_connectome.csv,30,406,0.933,7.053,59,59,59,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027061_ses-1_connectome.csv,30,392,0.901,6.928,44,44,44,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027062_ses-1_connectome.csv,29,373,0.919,5.064,54,54,54,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0027063_ses-1_connectome.csv,31,419,0.901,5.019,50,50,50,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0027064_ses-1_connectome.csv,31,436,0.938,6.888,55,55,55,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0027065_ses-1_connectome.csv,30,382,0.878,6.837,49,49,49,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027067_ses-1_connectome.csv,31,432,0.929,5.677,46,46,46,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0027070_ses-1_connectome.csv,30,363,0.834,4.141,45,45,45,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027075_ses-1_connectome.csv,30,396,0.91,5.916,46,46,46,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027068_ses-1_connectome.csv,30,397,0.913,4.589,45,45,45,29,29,29,0.003,0.003,0.007,0.003,0.004,0.007
Undirected,N/A,sub-0027074_ses-1_connectome.csv,31,392,0.843,5.196,57,57,57,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027073_ses-1_connectome.csv,31,418,0.899,5.817,50,50,50,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0027072_ses-1_connectome.csv,30,350,0.805,5.831,55,55,55,29,29,29,0.003,0.003,0.007,0.002,0.003,0.006
Undirected,N/A,sub-0027069_ses-1_connectome.csv,30,416,0.956,6.372,50,50,50,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027071_ses-1_connectome.csv,30,405,0.931,5.491,49,49,49,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027078_ses-1_connectome.csv,31,343,0.738,4.129,45,45,45,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0027076_ses-1_connectome.csv,31,365,0.785,4.83,58,58,58,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027066_ses-1_connectome.csv,29,388,0.956,5.598,41,41,41,28,28,28,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0027080_ses-1_connectome.csv,31,411,0.884,7.098,47,47,47,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0027079_ses-1_connectome.csv,30,379,0.871,6.075,50,50,50,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027084_ses-1_connectome.csv,30,398,0.915,4.237,44,44,44,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027081_ses-1_connectome.csv,31,403,0.867,4.162,54,54,54,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027082_ses-1_connectome.csv,31,367,0.789,4.28,53,53,53,30,30,30,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0027085_ses-1_connectome.csv,29,394,0.97,8.82,58,58,58,28,28,28,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0027086_ses-1_connectome.csv,30,394,0.906,4.57,47,47,47,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027088_ses-1_connectome.csv,30,406,0.933,3.99,46,46,46,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027091_ses-1_connectome.csv,30,409,0.94,5.752,45,45,45,29,29,29,0.003,0.004,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027090_ses-1_connectome.csv,29,347,0.855,4.406,58,58,58,29,29,29,0.003,0.003,0.006,0.002,0.003,0.006
