type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027055_ses-1_connectome.csv,70,2060,0.853,4.427,154,154,154,69,69,69,0.025,0.025,0.064,0.026,0.025,0.066
Undirected,N/A,sub-0027056_ses-1_connectome.csv,70,1915,0.793,3.92,144,144,144,69,69,69,0.024,0.024,0.059,0.024,0.024,0.061
Undirected,N/A,sub-0027058_ses-1_connectome.csv,70,1852,0.767,3.297,137,137,137,69,69,69,0.023,0.024,0.057,0.024,0.024,0.06
Undirected,N/A,sub-0027062_ses-1_connectome.csv,70,1897,0.786,4.262,134,134,134,69,69,69,0.022,0.023,0.058,0.024,0.024,0.06
Undirected,N/A,sub-0027057_ses-1_connectome.csv,70,1793,0.742,3.346,151,151,151,69,69,69,0.022,0.023,0.055,0.023,0.023,0.058
Undirected,N/A,sub-0027064_ses-1_connectome.csv,70,2058,0.852,4.129,125,125,125,69,69,69,0.023,0.024,0.062,0.025,0.025,0.065
Undirected,N/A,sub-0027059_ses-1_connectome.csv,70,2019,0.836,4.381,132,132,132,69,69,69,0.023,0.024,0.062,0.024,0.024,0.064
Undirected,N/A,sub-0027067_ses-1_connectome.csv,70,2074,0.859,4.225,144,144,144,69,69,69,0.024,0.025,0.063,0.025,0.025,0.066
Undirected,N/A,sub-0027063_ses-1_connectome.csv,70,1871,0.775,3.675,133,133,133,69,69,69,0.022,0.023,0.061,0.028,0.024,0.059
Undirected,N/A,sub-0027066_ses-1_connectome.csv,70,2003,0.829,4.052,144,144,144,69,69,69,0.024,0.025,0.062,0.024,0.025,0.064
Undirected,N/A,sub-0027068_ses-1_connectome.csv,70,1917,0.794,3.708,134,134,134,69,69,69,0.023,0.024,0.058,0.026,0.024,0.061
Undirected,N/A,sub-0027060_ses-1_connectome.csv,70,1713,0.709,3.836,141,141,141,69,69,69,0.021,0.022,0.054,0.022,0.022,0.055
Undirected,N/A,sub-0027065_ses-1_connectome.csv,70,1869,0.774,3.514,122,122,122,69,69,69,0.022,0.023,0.057,0.023,0.024,0.059
Undirected,N/A,sub-0027069_ses-1_connectome.csv,70,1715,0.71,3.713,148,148,148,69,69,69,0.021,0.022,0.053,0.022,0.022,0.055
Undirected,N/A,sub-0027072_ses-1_connectome.csv,70,1730,0.716,3.294,141,141,141,69,69,69,0.022,0.023,0.053,0.023,0.023,0.055
Undirected,N/A,sub-0027071_ses-1_connectome.csv,70,1896,0.785,3.597,136,136,136,69,69,69,0.022,0.024,0.057,0.025,0.025,0.06
Undirected,N/A,sub-0027061_ses-1_connectome.csv,70,1834,0.759,3.533,145,145,145,69,69,69,0.024,0.024,0.056,0.024,0.024,0.059
Undirected,N/A,sub-0027070_ses-1_connectome.csv,70,1588,0.658,3.308,160,160,160,69,69,69,0.022,0.023,0.05,0.022,0.023,0.052
Undirected,N/A,sub-0027073_ses-1_connectome.csv,70,1805,0.747,4.107,134,134,134,69,69,69,0.022,0.023,0.055,0.023,0.024,0.059
Undirected,N/A,sub-0027074_ses-1_connectome.csv,70,1863,0.771,3.331,147,147,147,69,69,69,0.023,0.024,0.056,0.023,0.025,0.06
Undirected,N/A,sub-0027076_ses-1_connectome.csv,70,1968,0.815,4.44,135,135,135,69,69,69,0.023,0.023,0.059,0.023,0.025,0.062
Undirected,N/A,sub-0027078_ses-1_connectome.csv,70,1911,0.791,3.717,137,137,137,69,69,69,0.023,0.024,0.058,0.024,0.025,0.061
Undirected,N/A,sub-0027075_ses-1_connectome.csv,70,1960,0.812,3.933,130,130,130,69,69,69,0.023,0.024,0.06,0.024,0.025,0.062
