type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027055_ses-1_connectome.csv,74,2277,0.843,3.393,165,165,165,73,73,73,0.028,0.029,0.074,0.029,0.03,0.08
Undirected,N/A,sub-0027059_ses-1_connectome.csv,74,2163,0.801,3.69,133,133,133,73,73,73,0.027,0.028,0.074,0.028,0.029,0.077
Undirected,N/A,sub-0027057_ses-1_connectome.csv,74,1936,0.717,3.582,168,168,168,73,73,73,0.027,0.028,0.067,0.027,0.027,0.069
Undirected,N/A,sub-0027056_ses-1_connectome.csv,74,2114,0.783,3.755,149,149,149,73,73,73,0.027,0.028,0.072,0.028,0.029,0.075
Undirected,N/A,sub-0027063_ses-1_connectome.csv,74,2162,0.8,4.054,146,146,146,73,73,73,0.027,0.028,0.074,0.028,0.029,0.077
Undirected,N/A,sub-0027060_ses-1_connectome.csv,74,1772,0.656,3.51,163,163,163,73,73,73,0.025,0.026,0.061,0.026,0.026,0.065
Undirected,N/A,sub-0027058_ses-1_connectome.csv,74,2186,0.809,4.186,140,140,140,73,73,73,0.027,0.029,0.073,0.029,0.029,0.078
Undirected,N/A,sub-0027061_ses-1_connectome.csv,74,2096,0.776,3.905,151,151,151,73,73,73,0.026,0.028,0.072,0.032,0.028,0.074
Undirected,N/A,sub-0027062_ses-1_connectome.csv,74,2238,0.829,3.772,171,171,171,73,73,73,0.029,0.029,0.076,0.028,0.029,0.079
Undirected,N/A,sub-0027064_ses-1_connectome.csv,74,2047,0.758,4.217,144,144,144,73,73,73,0.027,0.028,0.069,0.027,0.028,0.072
Undirected,N/A,sub-0027065_ses-1_connectome.csv,74,2038,0.755,3.561,150,150,150,73,73,73,0.026,0.027,0.069,0.026,0.027,0.073
Undirected,N/A,sub-0027066_ses-1_connectome.csv,74,2023,0.749,4.253,148,148,148,73,73,73,0.026,0.028,0.07,0.027,0.028,0.073
