type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027056_ses-1_connectome.csv,180,10033,0.623,2.847,409,409,409,179,179,179,0.288,0.306,0.875,0.301,0.311,0.952
Undirected,N/A,sub-0027064_ses-1_connectome.csv,180,9009,0.559,2.914,419,419,419,181,181,181,0.272,0.286,0.81,0.284,0.292,0.853
Undirected,N/A,sub-0027063_ses-1_connectome.csv,180,10154,0.63,2.815,390,390,390,179,179,179,0.304,0.323,0.936,0.32,0.333,1.007
Undirected,N/A,sub-0027057_ses-1_connectome.csv,180,8758,0.544,2.863,462,462,462,187,187,187,0.278,0.288,0.784,0.287,0.294,0.841
Undirected,N/A,sub-0027061_ses-1_connectome.csv,180,9154,0.568,2.68,381,381,381,180,180,180,0.294,0.31,0.819,0.31,0.322,0.885
Undirected,N/A,sub-0027060_ses-1_connectome.csv,180,7913,0.491,2.701,471,471,471,182,182,182,0.262,0.276,0.686,0.271,0.281,0.737
Undirected,N/A,sub-0027062_ses-1_connectome.csv,180,10669,0.662,2.81,453,453,453,179,179,179,0.318,0.33,0.988,0.332,0.342,1.051
Undirected,N/A,sub-0027058_ses-1_connectome.csv,180,10059,0.624,2.74,451,451,451,179,179,179,0.3,0.313,0.915,0.313,0.325,0.98
Undirected,N/A,sub-0027067_ses-1_connectome.csv,180,9998,0.621,2.827,439,439,439,180,180,180,0.301,0.324,0.914,0.314,0.322,0.975
Undirected,N/A,sub-0027065_ses-1_connectome.csv,180,8855,0.55,2.666,429,429,429,180,180,180,0.292,0.297,0.801,0.286,0.3,0.849
Undirected,N/A,sub-0027055_ses-1_connectome.csv,180,10236,0.635,2.801,492,492,492,181,181,181,0.328,0.347,0.955,0.335,0.346,1.022
Undirected,N/A,sub-0027066_ses-1_connectome.csv,180,9111,0.566,2.682,378,378,378,179,179,179,0.283,0.296,0.806,0.294,0.304,0.885
Undirected,N/A,sub-0027059_ses-1_connectome.csv,180,10935,0.679,2.803,418,418,418,179,179,179,0.331,0.589,1.023,0.341,0.35,1.116
Undirected,N/A,sub-0027068_ses-1_connectome.csv,180,8735,0.542,2.52,376,376,376,179,179,179,0.286,0.298,0.836,0.29,0.302,0.857
Undirected,N/A,sub-0027070_ses-1_connectome.csv,180,8642,0.536,2.88,399,399,399,182,182,182,0.268,0.284,0.776,0.274,0.29,0.815
Undirected,N/A,sub-0027069_ses-1_connectome.csv,180,9790,0.608,2.805,442,442,442,180,180,180,0.31,0.323,0.91,0.314,0.328,0.96
Undirected,N/A,sub-0027071_ses-1_connectome.csv,180,9017,0.56,2.668,418,418,418,179,179,179,0.29,0.304,0.824,0.301,0.314,0.871
Undirected,N/A,sub-0027074_ses-1_connectome.csv,180,10124,0.628,2.817,427,427,427,179,179,179,0.301,0.322,0.93,0.309,0.293,0.96
Undirected,N/A,sub-0027072_ses-1_connectome.csv,180,8498,0.527,2.804,426,426,426,181,181,181,0.283,0.297,0.75,0.289,0.303,0.793
Undirected,N/A,sub-0027073_ses-1_connectome.csv,180,10759,0.668,2.899,435,435,435,179,179,179,0.306,0.324,1.005,0.322,0.34,1.085
Undirected,N/A,sub-0027075_ses-1_connectome.csv,180,9539,0.592,2.646,368,368,368,179,179,179,0.305,0.319,0.868,0.309,0.323,0.909
Undirected,N/A,sub-0027080_ses-1_connectome.csv,180,9762,0.606,2.849,416,416,416,182,182,182,0.3,0.316,0.874,0.312,0.322,0.95
Undirected,N/A,sub-0027076_ses-1_connectome.csv,180,9142,0.567,2.764,430,430,430,185,185,185,0.289,0.307,0.809,0.298,0.311,0.863
Undirected,N/A,sub-0027079_ses-1_connectome.csv,180,9010,0.559,2.634,428,428,428,179,179,179,0.285,0.299,0.792,0.293,0.304,0.839
Undirected,N/A,sub-0027078_ses-1_connectome.csv,180,9470,0.588,2.783,426,426,426,181,181,181,0.287,0.298,0.836,0.289,0.305,0.895
Undirected,N/A,sub-0027081_ses-1_connectome.csv,180,9547,0.593,2.742,433,433,433,180,180,180,0.299,0.315,0.867,0.314,0.323,0.919
Undirected,N/A,sub-0027084_ses-1_connectome.csv,180,9383,0.582,2.696,432,432,432,186,186,186,0.297,0.309,0.844,0.297,0.312,0.885
Undirected,N/A,sub-0027085_ses-1_connectome.csv,180,9152,0.568,2.588,434,434,434,181,181,181,0.291,0.305,0.815,0.296,0.308,0.886
Undirected,N/A,sub-0027082_ses-1_connectome.csv,180,9003,0.559,2.754,420,420,420,183,183,183,0.283,0.297,0.803,0.288,0.298,0.847
Undirected,N/A,sub-0027087_ses-1_connectome.csv,180,8270,0.513,2.59,456,456,456,180,180,180,0.276,0.29,0.723,0.279,0.286,0.759
Undirected,N/A,sub-0027091_ses-1_connectome.csv,180,9436,0.586,2.743,454,454,454,180,180,180,0.292,0.303,0.855,0.295,0.306,0.904
Undirected,N/A,sub-0027086_ses-1_connectome.csv,180,8674,0.538,2.693,409,409,409,179,179,179,0.288,0.301,0.776,0.293,0.299,0.815
Undirected,N/A,sub-0027088_ses-1_connectome.csv,180,9956,0.618,2.73,428,428,428,181,181,181,0.302,0.31,0.904,0.312,0.321,0.978
Undirected,N/A,sub-0027089_ses-1_connectome.csv,180,8742,0.543,2.705,405,405,405,180,180,180,0.283,0.294,0.775,0.289,0.308,0.821
Undirected,N/A,sub-0027093_ses-1_connectome.csv,180,8372,0.52,2.777,388,388,388,181,181,181,0.282,0.295,0.743,0.286,0.298,0.776
Undirected,N/A,sub-0027092_ses-1_connectome.csv,180,10127,0.629,2.661,470,470,470,179,179,179,0.315,0.326,0.927,0.314,0.328,0.962
Undirected,N/A,sub-0027094_ses-1_connectome.csv,180,9774,0.607,2.783,454,454,454,191,191,191,0.3,0.316,0.876,0.307,0.32,0.931
Undirected,N/A,sub-0027096_ses-1_connectome.csv,180,9786,0.607,2.905,434,434,434,180,180,180,0.302,0.32,0.876,0.309,0.325,0.936
Undirected,N/A,sub-0027090_ses-1_connectome.csv,180,8818,0.547,2.688,442,442,442,184,184,184,0.281,0.297,0.78,0.287,0.298,0.808
Undirected,N/A,sub-0027100_ses-1_connectome.csv,180,9397,0.583,2.775,456,456,456,179,179,179,0.292,0.306,0.842,0.296,0.312,0.892
Undirected,N/A,sub-0027097_ses-1_connectome.csv,180,9737,0.604,2.815,394,394,394,179,179,179,0.297,0.311,0.875,0.305,0.319,0.939
Undirected,N/A,sub-0027095_ses-1_connectome.csv,180,9653,0.599,2.898,416,416,416,179,179,179,0.297,0.314,0.872,0.306,0.32,0.934
Undirected,N/A,sub-0027101_ses-1_connectome.csv,180,10227,0.635,2.835,414,414,414,180,180,180,0.307,0.324,0.93,0.314,0.33,0.981
