type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027057_ses-1_connectome.csv,48,906,0.803,4.374,93,93,93,47,47,47,0.009,0.009,0.021,0.008,0.009,0.022
Undirected,N/A,sub-0027056_ses-1_connectome.csv,48,922,0.817,3.724,92,92,92,47,47,47,0.009,0.009,0.021,0.009,0.009,0.022
Undirected,N/A,sub-0027064_ses-1_connectome.csv,48,895,0.793,4.451,70,70,70,47,47,47,0.008,0.009,0.021,0.008,0.009,0.021
Undirected,N/A,sub-0027060_ses-1_connectome.csv,48,810,0.718,3.504,77,77,77,47,47,47,0.008,0.009,0.02,0.008,0.009,0.02
Undirected,N/A,sub-0027066_ses-1_connectome.csv,48,924,0.819,4.701,74,74,74,47,47,47,0.009,0.009,0.022,0.009,0.009,0.022
Undirected,N/A,sub-0027065_ses-1_connectome.csv,48,897,0.795,3.67,81,81,81,47,47,47,0.009,0.009,0.021,0.009,0.009,0.022
Undirected,N/A,sub-0027063_ses-1_connectome.csv,48,961,0.852,4.314,80,80,80,47,47,47,0.009,0.01,0.022,0.009,0.009,0.023
Undirected,N/A,sub-0027058_ses-1_connectome.csv,48,974,0.863,4.544,77,77,77,47,47,47,0.009,0.009,0.023,0.009,0.009,0.023
Undirected,N/A,sub-0027061_ses-1_connectome.csv,48,902,0.8,4.364,83,83,83,47,47,47,0.009,0.009,0.022,0.009,0.009,0.022
Undirected,N/A,sub-0027067_ses-1_connectome.csv,48,983,0.871,3.789,83,83,83,47,47,47,0.009,0.009,0.022,0.009,0.009,0.024
Undirected,N/A,sub-0027055_ses-1_connectome.csv,48,977,0.866,4.306,84,84,84,47,47,47,0.01,0.01,0.022,0.009,0.01,0.024
Undirected,N/A,sub-0027059_ses-1_connectome.csv,48,1012,0.897,4.254,89,89,89,47,47,47,0.009,0.01,0.023,0.009,0.01,0.025
Undirected,N/A,sub-0027074_ses-1_connectome.csv,48,999,0.886,4.604,92,92,92,47,47,47,0.009,0.01,0.023,0.009,0.01,0.024
Undirected,N/A,sub-0027073_ses-1_connectome.csv,48,1006,0.892,4.791,93,93,93,47,47,47,0.009,0.01,0.023,0.009,0.009,0.024
Undirected,N/A,sub-0027075_ses-1_connectome.csv,48,952,0.844,4.119,82,82,82,47,47,47,0.009,0.009,0.022,0.009,0.009,0.023
Undirected,N/A,sub-0027068_ses-1_connectome.csv,48,927,0.822,3.703,86,86,86,47,47,47,0.009,0.01,0.022,0.009,0.009,0.022
Undirected,N/A,sub-0027070_ses-1_connectome.csv,48,867,0.769,4.042,71,71,71,47,47,47,0.009,0.009,0.021,0.009,0.009,0.022
Undirected,N/A,sub-0027069_ses-1_connectome.csv,48,937,0.831,4.257,88,88,88,47,47,47,0.009,0.01,0.022,0.01,0.01,0.023
Undirected,N/A,sub-0027078_ses-1_connectome.csv,48,969,0.859,4.479,95,95,95,47,47,47,0.009,0.009,0.023,0.009,0.009,0.023
Undirected,N/A,sub-0027071_ses-1_connectome.csv,48,886,0.785,3.778,73,73,73,47,47,47,0.008,0.009,0.02,0.009,0.009,0.022
Undirected,N/A,sub-0027081_ses-1_connectome.csv,48,865,0.767,4.427,83,83,83,47,47,47,0.009,0.009,0.021,0.008,0.009,0.022
Undirected,N/A,sub-0027062_ses-1_connectome.csv,48,961,0.852,3.624,75,75,75,47,47,47,0.009,0.009,0.022,0.009,0.009,0.023
