type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027062_ses-1_connectome.csv,48,654,0.58,3.176,71,71,71,47,47,47,0.007,0.008,0.017,0.008,0.008,0.017
Undirected,N/A,sub-0027058_ses-1_connectome.csv,48,623,0.552,3.063,81,81,81,48,48,48,0.007,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-0027064_ses-1_connectome.csv,48,732,0.649,3.347,71,71,71,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0027055_ses-1_connectome.csv,48,760,0.674,3.068,76,76,76,47,47,47,0.008,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-0027060_ses-1_connectome.csv,48,650,0.576,3.195,74,74,74,47,47,47,0.007,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-0027056_ses-1_connectome.csv,48,683,0.605,2.652,77,77,77,47,47,47,0.007,0.008,0.018,0.007,0.008,0.018
Undirected,N/A,sub-0027063_ses-1_connectome.csv,48,623,0.552,2.905,79,79,79,48,48,48,0.007,0.008,0.016,0.007,0.008,0.017
Undirected,N/A,sub-0027069_ses-1_connectome.csv,48,654,0.58,2.96,78,78,78,47,47,47,0.007,0.008,0.016,0.007,0.008,0.017
Undirected,N/A,sub-0027061_ses-1_connectome.csv,48,664,0.589,3.665,67,67,67,48,48,48,0.007,0.007,0.017,0.007,0.008,0.017
Undirected,N/A,sub-0027071_ses-1_connectome.csv,48,649,0.575,2.947,66,66,66,47,47,47,0.007,0.008,0.017,0.008,0.008,0.017
Undirected,N/A,sub-0027068_ses-1_connectome.csv,48,652,0.578,3.141,79,79,79,47,47,47,0.007,0.008,0.016,0.007,0.008,0.017
Undirected,N/A,sub-0027075_ses-1_connectome.csv,48,704,0.624,2.963,84,84,84,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-0027072_ses-1_connectome.csv,48,518,0.459,3.059,72,72,72,47,47,47,0.006,0.007,0.014,0.007,0.007,0.014
Undirected,N/A,sub-0027065_ses-1_connectome.csv,48,656,0.582,2.87,77,77,77,47,47,47,0.008,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-0027066_ses-1_connectome.csv,48,815,0.723,3.237,75,75,75,47,47,47,0.008,0.009,0.02,0.009,0.009,0.02
Undirected,N/A,sub-0027059_ses-1_connectome.csv,48,847,0.751,3.232,73,73,73,47,47,47,0.008,0.008,0.021,0.008,0.009,0.022
Undirected,N/A,sub-0027070_ses-1_connectome.csv,48,527,0.467,3.587,73,73,73,47,47,47,0.007,0.007,0.014,0.007,0.007,0.014
Undirected,N/A,sub-0027076_ses-1_connectome.csv,48,738,0.654,3.273,77,77,77,48,48,48,0.008,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-0027067_ses-1_connectome.csv,48,816,0.723,3.239,66,66,66,47,47,47,0.008,0.008,0.02,0.008,0.008,0.021
Undirected,N/A,sub-0027078_ses-1_connectome.csv,48,639,0.566,2.874,71,71,71,47,47,47,0.007,0.008,0.016,0.007,0.008,0.017
Undirected,N/A,sub-0027086_ses-1_connectome.csv,48,552,0.489,3.398,75,75,75,47,47,47,0.007,0.007,0.015,0.007,0.007,0.016
Undirected,N/A,sub-0027082_ses-1_connectome.csv,48,725,0.643,3.059,73,73,73,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-0027073_ses-1_connectome.csv,48,701,0.621,2.826,69,69,69,47,47,47,0.007,0.008,0.017,0.007,0.008,0.018
Undirected,N/A,sub-0027085_ses-1_connectome.csv,48,664,0.589,3.328,70,70,70,47,47,47,0.007,0.008,0.017,0.008,0.008,0.017
