type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027058_ses-1_connectome.csv,101,2216,0.439,3.012,226,226,226,104,104,104,0.048,0.05,0.107,0.045,0.048,0.114
Undirected,N/A,sub-0027062_ses-1_connectome.csv,101,2777,0.55,3.016,208,208,208,100,100,100,0.052,0.055,0.133,0.051,0.054,0.135
Undirected,N/A,sub-0027060_ses-1_connectome.csv,99,1976,0.407,2.804,211,211,211,100,100,100,0.042,0.045,0.094,0.042,0.043,0.097
Undirected,N/A,sub-0027064_ses-1_connectome.csv,101,3092,0.612,3.091,219,219,219,101,101,101,0.056,0.058,0.144,0.057,0.057,0.146
Undirected,N/A,sub-0027056_ses-1_connectome.csv,102,2912,0.565,2.788,225,225,225,102,102,102,0.058,0.06,0.138,0.058,0.058,0.143
Undirected,N/A,sub-0027059_ses-1_connectome.csv,101,2915,0.577,2.858,233,233,233,102,102,102,0.055,0.058,0.135,0.055,0.057,0.141
Undirected,N/A,sub-0027057_ses-1_connectome.csv,101,2468,0.489,2.985,231,231,231,100,100,100,0.052,0.054,0.119,0.051,0.052,0.122
Undirected,N/A,sub-0027067_ses-1_connectome.csv,98,2789,0.587,3.312,201,201,201,107,107,107,0.05,0.052,0.126,0.051,0.052,0.133
Undirected,N/A,sub-0027063_ses-1_connectome.csv,100,2218,0.448,3.355,246,246,246,100,100,100,0.049,0.051,0.104,0.048,0.049,0.109
Undirected,N/A,sub-0027055_ses-1_connectome.csv,99,2749,0.567,3.012,198,198,198,101,101,101,0.055,0.056,0.127,0.055,0.055,0.13
Undirected,N/A,sub-0027061_ses-1_connectome.csv,83,1940,0.57,3.237,199,199,199,83,83,83,0.034,0.035,0.075,0.033,0.035,0.079
Undirected,N/A,sub-0027070_ses-1_connectome.csv,98,2045,0.43,3.353,219,219,219,101,101,101,0.043,0.044,0.098,0.042,0.043,0.1
Undirected,N/A,sub-0027071_ses-1_connectome.csv,100,2493,0.504,2.924,217,217,217,99,99,99,0.05,0.051,0.116,0.048,0.051,0.12
Undirected,N/A,sub-0027066_ses-1_connectome.csv,101,2843,0.563,2.793,214,214,214,100,100,100,0.056,0.058,0.131,0.055,0.058,0.139
Undirected,N/A,sub-0027073_ses-1_connectome.csv,96,2510,0.55,2.845,190,190,190,95,95,95,0.047,0.051,0.112,0.048,0.049,0.115
Undirected,N/A,sub-0027078_ses-1_connectome.csv,101,2449,0.485,2.729,225,225,225,104,104,104,0.05,0.052,0.116,0.048,0.051,0.118
Undirected,N/A,sub-0027065_ses-1_connectome.csv,101,2398,0.475,2.905,205,205,205,100,100,100,0.051,0.053,0.112,0.05,0.055,0.117
Undirected,N/A,sub-0027080_ses-1_connectome.csv,101,2591,0.513,2.801,208,208,208,100,100,100,0.054,0.056,0.122,0.053,0.055,0.126
Undirected,N/A,sub-0027079_ses-1_connectome.csv,101,2408,0.477,2.985,206,206,206,101,101,101,0.049,0.051,0.112,0.048,0.051,0.117
Undirected,N/A,sub-0027081_ses-1_connectome.csv,102,2768,0.537,2.826,200,200,200,102,102,102,0.056,0.059,0.129,0.056,0.06,0.133
Undirected,N/A,sub-0027082_ses-1_connectome.csv,100,2672,0.54,2.855,193,193,193,99,99,99,0.054,0.054,0.119,0.052,0.054,0.126
Undirected,N/A,sub-0027076_ses-1_connectome.csv,99,2695,0.556,2.831,191,191,191,99,99,99,0.054,0.057,0.124,0.055,0.06,0.127
Undirected,N/A,sub-0027085_ses-1_connectome.csv,99,2400,0.495,2.933,206,206,206,98,98,98,0.049,0.05,0.109,0.047,0.05,0.114
Undirected,N/A,sub-0027074_ses-1_connectome.csv,101,2253,0.446,2.91,184,184,184,100,100,100,0.05,0.053,0.107,0.049,0.051,0.109
Undirected,N/A,sub-0027072_ses-1_connectome.csv,98,2371,0.499,2.946,198,198,198,99,99,99,0.047,0.05,0.109,0.046,0.049,0.114
Undirected,N/A,sub-0027088_ses-1_connectome.csv,102,2675,0.519,2.634,203,203,203,107,107,107,0.055,0.058,0.128,0.054,0.057,0.13
Undirected,N/A,sub-0027087_ses-1_connectome.csv,98,2169,0.456,3.007,193,193,193,98,98,98,0.044,0.047,0.099,0.043,0.045,0.106
Undirected,N/A,sub-0027090_ses-1_connectome.csv,99,2404,0.496,2.942,222,222,222,104,104,104,0.048,0.05,0.111,0.048,0.05,0.116
Undirected,N/A,sub-0027093_ses-1_connectome.csv,100,2411,0.487,3.117,207,207,207,100,100,100,0.048,0.05,0.113,0.047,0.049,0.12
Undirected,N/A,sub-0027095_ses-1_connectome.csv,100,2461,0.497,2.885,219,219,219,101,101,101,0.051,0.053,0.115,0.05,0.052,0.121
Undirected,N/A,sub-0027091_ses-1_connectome.csv,102,2792,0.542,2.69,198,198,198,102,102,102,0.055,0.058,0.133,0.054,0.057,0.138
Undirected,N/A,sub-0027084_ses-1_connectome.csv,100,2701,0.546,2.64,194,194,194,100,100,100,0.054,0.057,0.127,0.054,0.057,0.138
