type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027056_ses-1_connectome.csv,66,1609,0.75,3.461,90,90,90,65,65,65,0.018,0.018,0.047,0.018,0.019,0.049
Undirected,N/A,sub-0027057_ses-1_connectome.csv,66,1527,0.712,3.84,85,85,85,65,65,65,0.017,0.019,0.044,0.018,0.019,0.046
Undirected,N/A,sub-0027058_ses-1_connectome.csv,66,1392,0.649,3.241,88,88,88,65,65,65,0.016,0.017,0.042,0.017,0.018,0.043
Undirected,N/A,sub-0027060_ses-1_connectome.csv,66,1230,0.573,3.399,87,87,87,65,65,65,0.015,0.016,0.037,0.015,0.016,0.039
Undirected,N/A,sub-0027063_ses-1_connectome.csv,66,1493,0.696,3.097,88,88,88,65,65,65,0.017,0.018,0.043,0.017,0.018,0.047
Undirected,N/A,sub-0027062_ses-1_connectome.csv,66,1388,0.647,3.236,99,99,99,65,65,65,0.016,0.018,0.042,0.017,0.018,0.043
Undirected,N/A,sub-0027066_ses-1_connectome.csv,66,1561,0.728,3.843,89,89,89,65,65,65,0.017,0.018,0.045,0.018,0.018,0.047
Undirected,N/A,sub-0027064_ses-1_connectome.csv,66,1513,0.705,3.607,99,99,99,65,65,65,0.016,0.017,0.044,0.017,0.017,0.046
Undirected,N/A,sub-0027055_ses-1_connectome.csv,66,1592,0.742,3.22,94,94,94,65,65,65,0.017,0.018,0.046,0.017,0.018,0.048
Undirected,N/A,sub-0027069_ses-1_connectome.csv,66,1560,0.727,3.561,97,97,97,65,65,65,0.017,0.018,0.046,0.018,0.018,0.047
Undirected,N/A,sub-0027065_ses-1_connectome.csv,66,1469,0.685,3.642,92,92,92,65,65,65,0.016,0.017,0.043,0.018,0.018,0.045
Undirected,N/A,sub-0027070_ses-1_connectome.csv,66,1308,0.61,3.268,95,95,95,66,66,66,0.016,0.016,0.038,0.016,0.017,0.041
Undirected,N/A,sub-0027073_ses-1_connectome.csv,66,1592,0.742,3.147,93,93,93,65,65,65,0.018,0.018,0.046,0.018,0.019,0.048
Undirected,N/A,sub-0027068_ses-1_connectome.csv,66,1471,0.686,3.894,82,82,82,65,65,65,0.016,0.017,0.045,0.017,0.018,0.045
Undirected,N/A,sub-0027061_ses-1_connectome.csv,66,1271,0.593,2.95,78,78,78,68,68,68,0.015,0.016,0.037,0.016,0.017,0.239
Undirected,N/A,sub-0027059_ses-1_connectome.csv,66,1664,0.776,3.54,90,90,90,65,65,65,0.017,0.018,0.047,0.018,0.019,0.049
Undirected,N/A,sub-0027074_ses-1_connectome.csv,66,1486,0.693,2.996,105,105,105,65,65,65,0.017,0.019,0.044,0.018,0.018,0.046
Undirected,N/A,sub-0027071_ses-1_connectome.csv,66,1461,0.681,3.186,101,101,101,65,65,65,0.017,0.018,0.043,0.018,0.018,0.045
Undirected,N/A,sub-0027079_ses-1_connectome.csv,66,1517,0.707,3.088,92,92,92,65,65,65,0.017,0.018,0.044,0.017,0.018,0.047
Undirected,N/A,sub-0027078_ses-1_connectome.csv,66,1416,0.66,3.2,99,99,99,65,65,65,0.016,0.017,0.041,0.017,0.017,0.044
Undirected,N/A,sub-0027082_ses-1_connectome.csv,66,1422,0.663,3.1,101,101,101,65,65,65,0.016,0.017,0.043,0.017,0.017,0.044
Undirected,N/A,sub-0027067_ses-1_connectome.csv,66,1516,0.707,3.49,92,92,92,65,65,65,0.017,0.018,0.044,0.018,0.018,0.046
Undirected,N/A,sub-0027080_ses-1_connectome.csv,66,1552,0.724,3.439,84,84,84,65,65,65,0.017,0.018,0.045,0.018,0.019,0.047
Undirected,N/A,sub-0027075_ses-1_connectome.csv,66,1455,0.678,3.262,89,89,89,65,65,65,0.016,0.017,0.043,0.016,0.017,0.044
Undirected,N/A,sub-0027085_ses-1_connectome.csv,66,1482,0.691,3.369,97,97,97,65,65,65,0.017,0.018,0.044,0.017,0.018,0.045
Undirected,N/A,sub-0027072_ses-1_connectome.csv,66,1189,0.554,3.071,103,103,103,66,66,66,0.015,0.016,0.036,0.015,0.017,0.038
Undirected,N/A,sub-0027089_ses-1_connectome.csv,66,1507,0.703,3.369,89,89,89,65,65,65,0.016,0.017,0.043,0.017,0.018,0.046
Undirected,N/A,sub-0027076_ses-1_connectome.csv,66,1359,0.634,3.321,95,95,95,65,65,65,0.016,0.017,0.039,0.016,0.017,0.041
Undirected,N/A,sub-0027092_ses-1_connectome.csv,66,1407,0.656,3.148,90,90,90,65,65,65,0.017,0.017,0.042,0.018,0.018,0.043
Undirected,N/A,sub-0027094_ses-1_connectome.csv,66,1508,0.703,3.432,87,87,87,65,65,65,0.017,0.017,0.043,0.017,0.018,0.046
Undirected,N/A,sub-0027081_ses-1_connectome.csv,66,1422,0.663,3.524,94,94,94,65,65,65,0.016,0.017,0.041,0.017,0.017,0.044
Undirected,N/A,sub-0027084_ses-1_connectome.csv,66,1432,0.668,3.555,83,83,83,65,65,65,0.016,0.017,0.043,0.017,0.017,0.044
Undirected,N/A,sub-0027086_ses-1_connectome.csv,66,1397,0.651,3.371,91,91,91,65,65,65,0.017,0.017,0.041,0.018,0.018,0.044
Undirected,N/A,sub-0027090_ses-1_connectome.csv,66,1262,0.588,3.099,87,87,87,65,65,65,0.015,0.016,0.038,0.016,0.016,0.04
Undirected,N/A,sub-0027091_ses-1_connectome.csv,66,1531,0.714,3.354,94,94,94,65,65,65,0.017,0.018,0.044,0.018,0.018,0.046
Undirected,N/A,sub-0027100_ses-1_connectome.csv,66,1464,0.683,3.362,95,95,95,65,65,65,0.017,0.018,0.044,0.017,0.018,0.047
Undirected,N/A,sub-0027087_ses-1_connectome.csv,66,1465,0.683,3.165,95,95,95,65,65,65,0.017,0.017,0.043,0.017,0.018,0.044
Undirected,N/A,sub-0027088_ses-1_connectome.csv,66,1484,0.692,3.187,96,96,96,65,65,65,0.017,0.018,0.043,0.017,0.018,0.047
Undirected,N/A,sub-0027102_ses-1_connectome.csv,66,1633,0.761,3.358,106,106,106,65,65,65,0.018,0.019,0.047,0.018,0.019,0.049
Undirected,N/A,sub-0027099_ses-1_connectome.csv,66,1618,0.754,3.314,94,94,94,65,65,65,0.017,0.019,0.046,0.018,0.019,0.049
Undirected,N/A,sub-0027096_ses-1_connectome.csv,66,1456,0.679,3.515,93,93,93,65,65,65,0.016,0.017,0.043,0.019,0.018,0.044
Undirected,N/A,sub-0027098_ses-1_connectome.csv,66,1364,0.636,3.296,85,85,85,66,66,66,0.016,0.016,0.04,0.016,0.017,0.042
Undirected,N/A,sub-0027093_ses-1_connectome.csv,66,1361,0.634,3.014,98,98,98,65,65,65,0.016,0.017,0.04,0.016,0.017,0.042
Undirected,N/A,sub-0027097_ses-1_connectome.csv,66,1437,0.67,2.94,103,103,103,65,65,65,0.017,0.018,0.044,0.018,0.018,0.044
Undirected,N/A,sub-0027095_ses-1_connectome.csv,66,1474,0.687,3.149,94,94,94,65,65,65,0.016,0.017,0.043,0.016,0.018,0.046
Undirected,N/A,sub-0027101_ses-1_connectome.csv,66,1504,0.701,3.05,96,96,96,65,65,65,0.017,0.018,0.044,0.017,0.018,0.046
