type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027059_ses-1_connectome.csv,4,6,1.0,2.236,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027057_ses-1_connectome.csv,8,22,0.786,4.583,8,8,8,7,7,7,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027058_ses-1_connectome.csv,22,173,0.749,6.5,31,31,31,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027055_ses-1_connectome.csv,30,279,0.641,3.699,34,34,34,30,30,30,0.002,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0027062_ses-1_connectome.csv,20,151,0.795,4.916,29,29,29,21,21,21,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0027060_ses-1_connectome.csv,30,232,0.533,3.014,34,34,34,29,29,29,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0027063_ses-1_connectome.csv,11,53,0.964,7.211,12,12,12,10,10,10,0.0,0.0,0.001,0.0,0.0,0.001
Undirected,N/A,sub-0027065_ses-1_connectome.csv,23,180,0.711,5.385,32,32,32,23,23,23,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027066_ses-1_connectome.csv,23,202,0.798,3.41,33,33,33,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027064_ses-1_connectome.csv,38,377,0.536,2.5,43,43,43,37,37,37,0.004,0.004,0.009,0.004,0.004,0.009
Undirected,N/A,sub-0027067_ses-1_connectome.csv,36,370,0.587,2.872,44,44,44,35,35,35,0.003,0.004,0.008,0.004,0.004,0.008
Undirected,N/A,sub-0027069_ses-1_connectome.csv,16,80,0.667,6.245,17,17,17,15,15,15,0.0,0.001,0.001,0.001,0.001,0.001
Undirected,N/A,sub-0027056_ses-1_connectome.csv,24,180,0.652,4.123,36,36,36,26,26,26,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027068_ses-1_connectome.csv,22,184,0.797,6.708,30,30,30,21,21,21,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027072_ses-1_connectome.csv,23,157,0.621,5.017,30,30,30,23,23,23,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027070_ses-1_connectome.csv,3,2,0.667,1.0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027061_ses-1_connectome.csv,4,6,1.0,2.236,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027078_ses-1_connectome.csv,4,3,0.5,1.414,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027073_ses-1_connectome.csv,31,316,0.68,4.069,37,37,37,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0027071_ses-1_connectome.csv,19,127,0.743,4.491,21,21,21,18,18,18,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0027076_ses-1_connectome.csv,22,187,0.81,3.515,28,28,28,21,21,21,0.002,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027074_ses-1_connectome.csv,28,237,0.627,3.597,33,33,33,27,27,27,0.002,0.002,0.004,0.002,0.002,0.004
Undirected,N/A,sub-0027079_ses-1_connectome.csv,22,161,0.697,3.886,28,28,28,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027082_ses-1_connectome.csv,4,6,1.0,2.236,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027080_ses-1_connectome.csv,20,125,0.658,6.377,19,19,19,19,19,19,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0027084_ses-1_connectome.csv,21,148,0.705,3.715,26,26,26,20,20,20,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0027075_ses-1_connectome.csv,23,170,0.672,4.5,32,32,32,23,23,23,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027086_ses-1_connectome.csv,25,186,0.62,2.965,31,31,31,24,24,24,0.001,0.002,0.003,0.001,0.002,0.003
Undirected,N/A,sub-0027090_ses-1_connectome.csv,9,26,0.722,5.0,9,9,9,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027088_ses-1_connectome.csv,21,148,0.705,5.348,25,25,25,20,20,20,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0027089_ses-1_connectome.csv,21,155,0.738,4.028,27,27,27,20,20,20,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0027085_ses-1_connectome.csv,20,142,0.747,4.392,23,23,23,19,19,19,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0027087_ses-1_connectome.csv,34,347,0.619,3.589,49,49,49,36,36,36,0.004,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027091_ses-1_connectome.csv,4,3,0.5,1.414,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027093_ses-1_connectome.csv,21,152,0.724,3.14,27,27,27,21,21,21,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0027081_ses-1_connectome.csv,6,14,0.933,3.606,5,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027096_ses-1_connectome.csv,16,86,0.717,3.359,16,16,16,15,15,15,0.001,0.001,0.001,0.001,0.001,0.001
Undirected,N/A,sub-0027097_ses-1_connectome.csv,23,179,0.708,5.37,33,33,33,23,23,23,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027095_ses-1_connectome.csv,22,177,0.766,3.885,29,29,29,21,21,21,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027100_ses-1_connectome.csv,29,234,0.576,3.573,33,33,33,28,28,28,0.003,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0027092_ses-1_connectome.csv,6,13,0.867,3.464,5,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027099_ses-1_connectome.csv,30,250,0.575,3.487,38,38,38,29,29,29,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0027094_ses-1_connectome.csv,11,47,0.855,3.83,11,11,11,10,10,10,0.0,0.0,0.001,0.0,0.0,0.001
Undirected,N/A,sub-0027098_ses-1_connectome.csv,25,187,0.623,5.492,35,35,35,26,26,26,0.002,0.002,0.003,0.001,0.002,0.003
Undirected,N/A,sub-0027102_ses-1_connectome.csv,22,182,0.788,3.943,28,28,28,21,21,21,0.001,0.001,0.003,0.001,0.001,0.003
