type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027056_ses-1_connectome.csv,200,7963,0.4,2.511,477,477,477,199,199,199,0.326,0.339,0.803,0.332,0.34,0.856
Undirected,N/A,sub-0027055_ses-1_connectome.csv,200,8937,0.449,2.479,434,434,434,199,199,199,0.356,0.368,0.837,0.351,0.372,0.975
Undirected,N/A,sub-0027060_ses-1_connectome.csv,200,6476,0.325,2.54,424,424,424,199,199,199,0.281,0.298,0.64,0.285,0.291,0.658
Undirected,N/A,sub-0027057_ses-1_connectome.csv,200,6634,0.333,2.589,489,489,489,200,200,200,0.269,0.28,0.646,0.265,0.275,0.662
Undirected,N/A,sub-0027058_ses-1_connectome.csv,200,7665,0.385,2.626,450,450,450,200,200,200,0.286,0.306,0.753,0.294,0.307,0.788
Undirected,N/A,sub-0027059_ses-1_connectome.csv,200,9466,0.476,2.381,450,450,450,199,199,199,0.378,0.4,1.014,0.39,0.375,0.902
Undirected,N/A,sub-0027061_ses-1_connectome.csv,200,6889,0.346,2.696,411,411,411,200,200,200,0.255,0.268,0.672,0.258,0.267,0.702
Undirected,N/A,sub-0027063_ses-1_connectome.csv,200,7767,0.39,2.767,437,437,437,199,199,199,0.299,0.315,0.764,0.304,0.316,0.806
Undirected,N/A,sub-0027064_ses-1_connectome.csv,200,8091,0.407,2.374,429,429,429,200,200,200,0.333,0.354,0.809,0.337,0.358,0.837
Undirected,N/A,sub-0027069_ses-1_connectome.csv,200,7750,0.389,2.56,459,459,459,199,199,199,0.3,0.314,0.777,0.297,0.31,0.802
Undirected,N/A,sub-0027065_ses-1_connectome.csv,199,7257,0.368,2.618,459,459,459,198,198,198,0.275,0.294,0.703,0.277,0.287,0.725
Undirected,N/A,sub-0027062_ses-1_connectome.csv,200,8454,0.425,2.559,459,459,459,199,199,199,0.331,0.351,0.863,0.333,0.346,0.894
Undirected,N/A,sub-0027067_ses-1_connectome.csv,199,8692,0.441,2.615,443,443,443,198,198,198,0.334,0.351,0.865,0.332,0.349,0.897
Undirected,N/A,sub-0027070_ses-1_connectome.csv,200,6273,0.315,2.819,448,448,448,200,200,200,0.246,0.258,0.606,0.241,0.251,0.611
Undirected,N/A,sub-0027068_ses-1_connectome.csv,200,7243,0.364,2.351,455,455,455,199,199,199,0.297,0.311,0.716,0.302,0.314,0.752
Undirected,N/A,sub-0027072_ses-1_connectome.csv,200,6653,0.334,2.78,436,436,436,203,203,203,0.269,0.272,0.633,0.263,0.27,0.666
Undirected,N/A,sub-0027071_ses-1_connectome.csv,200,7108,0.357,2.54,455,455,455,199,199,199,0.281,0.296,0.682,0.288,0.303,0.733
Undirected,N/A,sub-0027074_ses-1_connectome.csv,200,7950,0.399,2.644,474,474,474,200,200,200,0.299,0.316,0.769,0.291,0.304,0.738
Undirected,N/A,sub-0027073_ses-1_connectome.csv,200,8073,0.406,2.502,480,480,480,199,199,199,0.304,0.321,0.779,0.305,0.322,0.824
Undirected,N/A,sub-0027076_ses-1_connectome.csv,200,7812,0.393,2.521,459,459,459,201,201,201,0.32,0.332,0.765,0.311,0.327,0.797
Undirected,N/A,sub-0027075_ses-1_connectome.csv,200,8288,0.416,2.56,405,405,405,199,199,199,0.322,0.34,0.825,0.33,0.342,0.785
Undirected,N/A,sub-0027081_ses-1_connectome.csv,200,7766,0.39,2.573,448,448,448,200,200,200,0.318,0.333,0.779,0.317,0.331,0.802
Undirected,N/A,sub-0027079_ses-1_connectome.csv,200,8073,0.406,2.535,463,463,463,200,200,200,0.323,0.335,0.794,0.338,0.338,0.822
Undirected,N/A,sub-0027080_ses-1_connectome.csv,200,8278,0.416,2.465,491,491,491,200,200,200,0.325,0.34,0.815,0.34,0.346,0.882
Undirected,N/A,sub-0027078_ses-1_connectome.csv,200,7778,0.391,2.671,494,494,494,200,200,200,0.313,0.318,0.763,0.305,0.314,0.793
Undirected,N/A,sub-0027082_ses-1_connectome.csv,200,7531,0.378,2.616,436,436,436,202,202,202,0.303,0.322,0.75,0.305,0.318,0.766
Undirected,N/A,sub-0027084_ses-1_connectome.csv,200,8143,0.409,2.466,454,454,454,199,199,199,0.327,0.342,0.794,0.326,0.343,0.835
Undirected,N/A,sub-0027087_ses-1_connectome.csv,200,6979,0.351,2.476,419,419,419,199,199,199,0.282,0.296,0.67,0.288,0.304,0.694
Undirected,N/A,sub-0027066_ses-1_connectome.csv,200,7642,0.384,2.453,436,436,436,199,199,199,0.318,0.335,0.75,0.313,0.323,0.778
Undirected,N/A,sub-0027085_ses-1_connectome.csv,200,6945,0.349,2.44,444,444,444,200,200,200,0.269,0.28,0.658,0.267,0.28,0.688
Undirected,N/A,sub-0027086_ses-1_connectome.csv,200,6486,0.326,2.719,460,460,460,199,199,199,0.259,0.273,0.623,0.264,0.273,0.669
Undirected,N/A,sub-0027089_ses-1_connectome.csv,200,7553,0.38,2.633,452,452,452,201,201,201,0.299,0.317,0.723,0.305,0.315,0.742
Undirected,N/A,sub-0027097_ses-1_connectome.csv,200,7687,0.386,2.857,448,448,448,199,199,199,0.284,0.296,0.776,0.278,0.294,0.802
Undirected,N/A,sub-0027090_ses-1_connectome.csv,200,6770,0.34,2.514,480,480,480,200,200,200,0.279,0.295,0.652,0.286,0.299,0.68
Undirected,N/A,sub-0027093_ses-1_connectome.csv,200,6703,0.337,2.686,418,418,418,202,202,202,0.276,0.287,0.645,0.273,0.284,0.675
Undirected,N/A,sub-0027091_ses-1_connectome.csv,200,7239,0.364,2.636,406,406,406,199,199,199,0.274,0.287,0.696,0.274,0.286,0.722
Undirected,N/A,sub-0027094_ses-1_connectome.csv,200,8357,0.42,2.684,434,434,434,200,200,200,0.314,0.332,0.838,0.314,0.334,0.848
Undirected,N/A,sub-0027092_ses-1_connectome.csv,200,7944,0.399,2.572,465,465,465,201,201,201,0.31,0.327,0.771,0.317,0.328,0.801
Undirected,N/A,sub-0027096_ses-1_connectome.csv,200,8334,0.419,2.57,466,466,466,199,199,199,0.323,0.338,0.816,0.326,0.337,0.847
Undirected,N/A,sub-0027095_ses-1_connectome.csv,200,7709,0.387,2.617,459,459,459,199,199,199,0.324,0.323,0.763,0.308,0.317,0.787
Undirected,N/A,sub-0027098_ses-1_connectome.csv,200,6941,0.349,2.568,462,462,462,199,199,199,0.284,0.294,0.682,0.278,0.29,0.692
Undirected,N/A,sub-0027099_ses-1_connectome.csv,200,9219,0.463,2.481,486,486,486,199,199,199,0.351,0.373,0.91,0.36,0.379,0.985
Undirected,N/A,sub-0027088_ses-1_connectome.csv,200,7957,0.4,2.638,437,437,437,200,200,200,0.314,0.324,0.753,0.294,0.307,0.72
Undirected,N/A,sub-0027101_ses-1_connectome.csv,200,8738,0.439,2.477,497,497,497,200,200,200,0.332,0.339,0.837,0.332,0.369,0.909
Undirected,N/A,sub-0027100_ses-1_connectome.csv,200,7963,0.4,2.642,482,482,482,199,199,199,0.317,0.333,0.806,0.321,0.33,0.816
Undirected,N/A,sub-0027102_ses-1_connectome.csv,200,9305,0.468,2.549,500,500,500,200,200,200,0.38,0.391,0.94,0.369,0.389,0.964
