type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027055_ses-1_connectome.csv,835,37847,0.109,1.699,1669,1669,1669,967,967,967,14.161,15.705,28.117,14.327,15.241,27.489
Undirected,N/A,sub-0027056_ses-1_connectome.csv,799,35602,0.112,1.821,1706,1706,1706,929,929,929,12.475,13.638,24.744,12.459,13.324,24.451
Undirected,N/A,sub-0027058_ses-1_connectome.csv,755,30210,0.106,1.807,1464,1464,1464,870,870,870,9.446,10.602,19.232,9.583,10.381,19.048
Undirected,N/A,sub-0027057_ses-1_connectome.csv,760,26995,0.094,1.799,1632,1632,1632,903,903,903,9.094,9.902,17.644,8.742,9.498,17.267
Undirected,N/A,sub-0027059_ses-1_connectome.csv,775,33110,0.11,1.642,1444,1444,1444,899,899,899,12.187,13.0,22.599,12.114,12.6,22.117
Undirected,N/A,sub-0027064_ses-1_connectome.csv,812,35170,0.107,1.756,1749,1749,1749,947,947,947,13.848,14.307,24.798,12.159,13.588,24.002
Undirected,N/A,sub-0027062_ses-1_connectome.csv,797,34030,0.107,1.737,1596,1596,1596,919,919,919,12.011,13.264,23.799,11.558,12.839,23.161
Undirected,N/A,sub-0027065_ses-1_connectome.csv,782,26899,0.088,1.785,1579,1579,1579,980,980,980,8.95,9.632,17.65,8.669,9.563,17.387
Undirected,N/A,sub-0027060_ses-1_connectome.csv,766,24684,0.084,1.781,1561,1561,1561,914,914,914,8.233,9.104,16.076,8.34,8.857,15.748
Undirected,N/A,sub-0027068_ses-1_connectome.csv,771,26037,0.088,1.652,1462,1462,1462,902,902,902,8.909,9.534,17.261,8.172,9.132,16.464
Undirected,N/A,sub-0027066_ses-1_connectome.csv,777,29225,0.097,1.745,1536,1536,1536,865,865,865,10.065,10.975,19.607,9.799,10.55,19.141
Undirected,N/A,sub-0027067_ses-1_connectome.csv,797,41238,0.13,1.833,1670,1670,1670,951,951,951,15.305,16.026,28.465,14.861,15.827,28.063
Undirected,N/A,sub-0027061_ses-1_connectome.csv,801,33497,0.105,1.838,1592,1592,1592,931,931,931,11.871,12.827,23.65,10.856,12.108,22.352
Undirected,N/A,sub-0027063_ses-1_connectome.csv,808,33321,0.102,1.847,1577,1577,1577,931,931,931,11.512,12.703,23.104,11.161,12.301,22.8
Undirected,N/A,sub-0027070_ses-1_connectome.csv,806,30611,0.094,1.887,1674,1674,1674,914,914,914,9.966,11.194,20.95,9.57,10.685,20.252
Undirected,N/A,sub-0027069_ses-1_connectome.csv,829,34598,0.101,1.786,1596,1596,1596,953,953,953,12.456,13.321,24.635,11.731,12.796,23.829
Undirected,N/A,sub-0027071_ses-1_connectome.csv,817,29815,0.089,1.732,1574,1574,1574,972,972,972,10.614,11.54,21.264,10.686,11.473,20.823
Undirected,N/A,sub-0027072_ses-1_connectome.csv,758,23741,0.083,1.789,1521,1521,1521,910,910,910,7.82,8.418,15.391,7.099,7.983,14.847
Undirected,N/A,sub-0027073_ses-1_connectome.csv,810,33834,0.103,1.762,1512,1512,1512,919,919,919,11.573,12.614,23.315,11.571,12.707,22.431
