type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-2_connectome.csv,108,2393,0.414,2.704,201,201,201,110,110,110,0.057,0.058,0.122,0.055,0.059,0.127
Undirected,N/A,sub-0025427_ses-3_connectome.csv,99,2161,0.445,3.166,197,197,197,101,101,101,0.045,0.048,0.102,0.044,0.046,0.108
Undirected,N/A,sub-0025427_ses-1_connectome.csv,105,2198,0.403,2.877,199,199,199,105,105,105,0.05,0.053,0.112,0.049,0.051,0.115
Undirected,N/A,sub-0025427_ses-8_connectome.csv,109,2479,0.421,2.556,195,195,195,109,109,109,0.056,0.059,0.128,0.056,0.058,0.131
Undirected,N/A,sub-0025427_ses-10_connectome.csv,98,2139,0.45,3.088,182,182,182,99,99,99,0.044,0.046,0.099,0.044,0.046,0.103
Undirected,N/A,sub-0025427_ses-5_connectome.csv,108,2876,0.498,2.98,223,223,223,107,107,107,0.06,0.063,0.147,0.061,0.063,0.15
Undirected,N/A,sub-0025428_ses-1_connectome.csv,116,3128,0.469,2.657,238,238,238,115,115,115,0.073,0.076,0.166,0.074,0.076,0.172
Undirected,N/A,sub-0025427_ses-4_connectome.csv,97,2371,0.509,2.9,183,183,183,96,96,96,0.046,0.048,0.108,0.047,0.047,0.111
Undirected,N/A,sub-0025427_ses-6_connectome.csv,111,2762,0.452,2.937,231,231,231,115,115,115,0.064,0.067,0.142,0.065,0.065,0.149
Undirected,N/A,sub-0025428_ses-2_connectome.csv,116,2890,0.433,2.814,262,262,262,116,116,116,0.069,0.072,0.156,0.07,0.071,0.163
Undirected,N/A,sub-0025428_ses-10_connectome.csv,112,2729,0.439,2.814,256,256,256,112,112,112,0.063,0.065,0.141,0.062,0.064,0.148
Undirected,N/A,sub-0025428_ses-3_connectome.csv,113,2883,0.456,2.739,259,259,259,114,114,114,0.066,0.069,0.152,0.066,0.067,0.156
Undirected,N/A,sub-0025427_ses-7_connectome.csv,104,2858,0.534,2.74,187,187,187,103,103,103,0.058,0.059,0.138,0.059,0.061,0.144
Undirected,N/A,sub-0025428_ses-5_connectome.csv,115,2633,0.402,2.848,257,257,257,116,116,116,0.062,0.065,0.142,0.061,0.062,0.146
Undirected,N/A,sub-0025428_ses-7_connectome.csv,116,2753,0.413,2.892,247,247,247,116,116,116,0.068,0.07,0.151,0.068,0.07,0.155
Undirected,N/A,sub-0025428_ses-9_connectome.csv,112,2539,0.408,2.905,227,227,227,112,112,112,0.061,0.063,0.132,0.061,0.062,0.138
Undirected,N/A,sub-0025428_ses-4_connectome.csv,116,2966,0.445,2.574,275,275,275,116,116,116,0.071,0.072,0.157,0.07,0.071,0.163
Undirected,N/A,sub-0025428_ses-6_connectome.csv,116,2961,0.444,2.626,255,255,255,115,115,115,0.07,0.072,0.158,0.07,0.071,0.163
Undirected,N/A,sub-0025429_ses-1_connectome.csv,109,2449,0.416,2.627,214,214,214,115,115,115,0.055,0.057,0.126,0.058,0.057,0.13
Undirected,N/A,sub-0025427_ses-9_connectome.csv,110,2299,0.383,2.724,222,222,222,110,110,110,0.053,0.056,0.118,0.054,0.054,0.124
Undirected,N/A,sub-0025429_ses-2_connectome.csv,104,2200,0.411,3.054,201,201,201,109,109,109,0.049,0.051,0.108,0.05,0.05,0.111
Undirected,N/A,sub-0025429_ses-10_connectome.csv,116,3120,0.468,2.615,240,240,240,119,119,119,0.074,0.077,0.167,0.075,0.076,0.173
Undirected,N/A,sub-0025429_ses-4_connectome.csv,111,2373,0.389,2.908,218,218,218,116,116,116,0.057,0.06,0.124,0.057,0.059,0.129
Undirected,N/A,sub-0025429_ses-8_connectome.csv,115,2550,0.389,2.405,225,225,225,117,117,117,0.062,0.065,0.139,0.061,0.063,0.142
Undirected,N/A,sub-0025428_ses-8_connectome.csv,116,2790,0.418,2.803,246,246,246,116,116,116,0.065,0.068,0.151,0.065,0.066,0.157
Undirected,N/A,sub-0025429_ses-5_connectome.csv,116,2686,0.403,2.804,226,226,226,120,120,120,0.065,0.067,0.147,0.065,0.066,0.152
Undirected,N/A,sub-0025429_ses-3_connectome.csv,107,2361,0.416,3.051,224,224,224,110,110,110,0.055,0.057,0.119,0.055,0.057,0.124
Undirected,N/A,sub-0025429_ses-6_connectome.csv,116,2641,0.396,2.597,233,233,233,116,116,116,0.065,0.068,0.146,0.064,0.065,0.149
Undirected,N/A,sub-0025430_ses-10_connectome.csv,116,3184,0.477,2.555,248,248,248,115,115,115,0.072,0.075,0.169,0.072,0.074,0.175
Undirected,N/A,sub-0025429_ses-9_connectome.csv,116,2708,0.406,2.791,232,232,232,117,117,117,0.065,0.068,0.148,0.065,0.067,0.152
Undirected,N/A,sub-0025430_ses-3_connectome.csv,115,3342,0.51,2.8,244,244,244,115,115,115,0.076,0.076,0.172,0.075,0.075,0.179
Undirected,N/A,sub-0025430_ses-1_connectome.csv,116,4117,0.617,2.975,235,235,235,119,119,119,0.08,0.083,0.213,0.082,0.084,0.221
Undirected,N/A,sub-0025430_ses-5_connectome.csv,116,4095,0.614,2.722,255,255,255,116,116,116,0.081,0.084,0.211,0.083,0.084,0.22
Undirected,N/A,sub-0025430_ses-2_connectome.csv,116,3093,0.464,2.489,243,243,243,119,119,119,0.072,0.074,0.165,0.072,0.074,0.183
Undirected,N/A,sub-0025430_ses-7_connectome.csv,116,4067,0.61,2.65,269,269,269,116,116,116,0.08,0.083,0.211,0.08,0.081,0.219
Undirected,N/A,sub-0025431_ses-10_connectome.csv,116,2786,0.418,2.588,228,228,228,116,116,116,0.067,0.07,0.15,0.067,0.069,0.156
Undirected,N/A,sub-0025430_ses-4_connectome.csv,116,3049,0.457,2.875,261,261,261,115,115,115,0.072,0.075,0.162,0.072,0.074,0.169
Undirected,N/A,sub-0025430_ses-6_connectome.csv,116,3717,0.557,2.698,254,254,254,115,115,115,0.077,0.08,0.193,0.078,0.081,0.202
Undirected,N/A,sub-0025430_ses-8_connectome.csv,116,3320,0.498,2.545,260,260,260,115,115,115,0.075,0.078,0.176,0.075,0.077,0.182
Undirected,N/A,sub-0025430_ses-9_connectome.csv,116,3449,0.517,2.753,231,231,231,115,115,115,0.076,0.079,0.184,0.077,0.079,0.19
Undirected,N/A,sub-0025429_ses-7_connectome.csv,116,2652,0.398,2.79,260,260,260,116,116,116,0.063,0.065,0.145,0.062,0.066,0.151
Undirected,N/A,sub-0025431_ses-2_connectome.csv,116,2770,0.415,2.797,248,248,248,115,115,115,0.068,0.07,0.149,0.068,0.069,0.157
Undirected,N/A,sub-0025431_ses-3_connectome.csv,116,3120,0.468,2.76,240,240,240,119,119,119,0.071,0.073,0.167,0.069,0.072,0.173
Undirected,N/A,sub-0025432_ses-10_connectome.csv,111,1837,0.301,2.953,216,216,216,127,127,127,0.044,0.046,0.098,0.043,0.045,0.099
Undirected,N/A,sub-0025431_ses-9_connectome.csv,116,2539,0.381,2.732,244,244,244,119,119,119,0.063,0.066,0.137,0.062,0.065,0.143
Undirected,N/A,sub-0025431_ses-8_connectome.csv,116,2644,0.396,2.877,257,257,257,115,115,115,0.063,0.065,0.144,0.063,0.065,0.149
Undirected,N/A,sub-0025431_ses-1_connectome.csv,116,2455,0.368,2.983,251,251,251,117,117,117,0.06,0.063,0.133,0.059,0.06,0.136
Undirected,N/A,sub-0025431_ses-5_connectome.csv,116,2763,0.414,2.571,268,268,268,120,120,120,0.068,0.071,0.15,0.067,0.069,0.154
Undirected,N/A,sub-0025431_ses-7_connectome.csv,116,2775,0.416,2.81,241,241,241,115,115,115,0.066,0.068,0.149,0.066,0.067,0.157
Undirected,N/A,sub-0025432_ses-1_connectome.csv,103,2134,0.406,2.898,220,220,220,104,104,104,0.047,0.049,0.104,0.046,0.046,0.106
