type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-10_connectome.csv,371,16255,0.237,2.408,921,921,921,376,376,376,1.529,1.646,3.884,1.564,1.665,3.987
Undirected,N/A,sub-0025427_ses-1_connectome.csv,378,15569,0.219,2.434,980,980,980,401,401,401,1.647,1.766,4.133,1.627,1.741,3.995
Undirected,N/A,sub-0025427_ses-3_connectome.csv,380,17105,0.238,2.385,988,988,988,394,394,394,1.892,2.071,4.617,1.908,2.028,4.713
Undirected,N/A,sub-0025427_ses-2_connectome.csv,373,16249,0.234,2.378,848,848,848,401,401,401,1.756,1.884,4.188,1.709,1.853,4.254
Undirected,N/A,sub-0025427_ses-6_connectome.csv,376,16598,0.235,2.347,906,906,906,400,400,400,1.692,1.898,4.239,1.816,1.895,4.349
Undirected,N/A,sub-0025427_ses-8_connectome.csv,379,17503,0.244,2.31,949,949,949,410,410,410,1.878,2.054,4.641,1.878,2.025,4.701
Undirected,N/A,sub-0025427_ses-7_connectome.csv,377,18639,0.263,2.298,968,968,968,393,393,393,2.018,2.33,5.073,2.152,2.319,5.143
Undirected,N/A,sub-0025427_ses-5_connectome.csv,379,21699,0.303,2.425,995,995,995,392,392,392,2.486,2.606,6.048,2.426,2.582,6.139
Undirected,N/A,sub-0025427_ses-4_connectome.csv,378,17286,0.243,2.381,1008,1008,1008,393,393,393,1.891,2.045,4.61,1.927,2.02,4.711
Undirected,N/A,sub-0025427_ses-9_connectome.csv,376,15512,0.22,2.364,953,953,953,406,406,406,1.609,1.741,3.936,1.662,1.726,4.031
Undirected,N/A,sub-0025428_ses-10_connectome.csv,379,18206,0.254,2.372,938,938,938,392,392,392,2.001,2.108,4.776,1.96,2.093,4.888
Undirected,N/A,sub-0025428_ses-2_connectome.csv,381,17289,0.239,2.32,941,941,941,407,407,407,1.939,2.036,4.589,1.782,1.983,4.65
Undirected,N/A,sub-0025428_ses-1_connectome.csv,382,18821,0.259,2.31,989,989,989,411,411,411,2.169,2.288,5.105,2.135,2.275,5.177
Undirected,N/A,sub-0025428_ses-4_connectome.csv,381,17965,0.248,2.291,976,976,976,413,413,413,2.028,2.188,4.796,1.968,2.152,4.887
Undirected,N/A,sub-0025428_ses-5_connectome.csv,382,16780,0.231,2.387,1001,1001,1001,407,407,407,1.79,1.982,4.3,1.77,1.981,4.418
Undirected,N/A,sub-0025428_ses-9_connectome.csv,381,16580,0.229,2.325,1009,1009,1009,407,407,407,1.748,1.983,4.298,1.78,1.987,4.192
Undirected,N/A,sub-0025429_ses-2_connectome.csv,381,16589,0.229,2.34,970,970,970,408,408,408,1.731,1.955,4.341,1.741,1.93,4.419
Undirected,N/A,sub-0025428_ses-6_connectome.csv,377,18224,0.257,2.369,949,949,949,404,404,404,1.901,2.141,4.736,1.937,2.14,4.881
Undirected,N/A,sub-0025429_ses-1_connectome.csv,383,17032,0.233,2.313,966,966,966,397,397,397,1.854,2.073,4.468,1.852,2.062,4.592
Undirected,N/A,sub-0025428_ses-7_connectome.csv,381,18205,0.251,2.437,1068,1068,1068,409,409,409,1.91,2.142,4.821,1.864,2.466,4.712
Undirected,N/A,sub-0025428_ses-3_connectome.csv,377,17813,0.251,2.303,964,964,964,397,397,397,1.968,2.134,4.616,1.911,2.127,4.701
Undirected,N/A,sub-0025429_ses-3_connectome.csv,383,16964,0.232,2.282,950,950,950,397,397,397,1.916,2.103,4.601,1.918,2.088,4.74
Undirected,N/A,sub-0025428_ses-8_connectome.csv,382,16958,0.233,2.339,966,966,966,420,420,420,1.76,1.998,4.413,1.833,2.009,4.567
Undirected,N/A,sub-0025429_ses-5_connectome.csv,382,19139,0.263,2.297,967,967,967,420,420,420,2.177,2.374,5.094,2.169,2.341,5.156
Undirected,N/A,sub-0025429_ses-10_connectome.csv,381,19840,0.274,2.302,932,932,932,395,395,395,2.4,2.543,5.428,2.265,2.454,5.526
Undirected,N/A,sub-0025429_ses-4_connectome.csv,384,17683,0.24,2.37,1032,1032,1032,409,409,409,2.064,2.22,4.83,1.926,2.148,4.851
Undirected,N/A,sub-0025429_ses-6_connectome.csv,379,18097,0.253,2.316,976,976,976,400,400,400,2.077,2.191,4.851,1.938,2.16,4.93
Undirected,N/A,sub-0025429_ses-8_connectome.csv,380,15958,0.222,2.277,928,928,928,436,436,436,1.65,1.843,4.118,1.796,1.85,4.22
Undirected,N/A,sub-0025429_ses-7_connectome.csv,382,18715,0.257,2.396,972,972,972,407,407,407,2.109,2.239,4.922,1.974,2.164,4.944
Undirected,N/A,sub-0025429_ses-9_connectome.csv,380,17931,0.249,2.348,914,914,914,406,406,406,2.036,2.145,4.752,1.883,2.126,4.8
Undirected,N/A,sub-0025430_ses-10_connectome.csv,380,20321,0.282,2.379,1007,1007,1007,422,422,422,2.247,2.456,5.46,2.38,2.503,5.586
Undirected,N/A,sub-0025430_ses-1_connectome.csv,383,26482,0.362,2.371,1040,1040,1040,420,420,420,3.101,3.366,7.607,3.063,3.316,7.621
Undirected,N/A,sub-0025430_ses-2_connectome.csv,382,21132,0.29,2.316,1022,1022,1022,415,415,415,2.507,2.755,5.951,2.623,2.768,6.012
Undirected,N/A,sub-0025430_ses-3_connectome.csv,377,21730,0.307,2.377,1012,1012,1012,394,394,394,2.297,2.701,6.032,2.65,2.758,6.164
Undirected,N/A,sub-0025430_ses-4_connectome.csv,380,22039,0.306,2.353,1012,1012,1012,421,421,421,2.475,2.77,6.156,2.493,2.771,6.183
Undirected,N/A,sub-0025430_ses-6_connectome.csv,373,21592,0.311,2.348,942,942,942,418,418,418,2.401,2.69,5.856,2.428,2.681,5.917
Undirected,N/A,sub-0025430_ses-9_connectome.csv,380,22945,0.319,2.315,951,951,951,392,392,392,2.561,2.849,6.351,2.552,2.842,6.423
