type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-10_connectome.csv,41,716,0.873,5.37,63,63,63,40,40,40,0.006,0.006,0.015,0.006,0.006,0.016
Undirected,N/A,sub-0025427_ses-2_connectome.csv,41,723,0.882,4.132,69,69,69,40,40,40,0.006,0.006,0.015,0.006,0.006,0.016
Undirected,N/A,sub-0025427_ses-3_connectome.csv,41,747,0.911,5.164,60,60,60,40,40,40,0.006,0.006,0.015,0.006,0.007,0.016
Undirected,N/A,sub-0025427_ses-4_connectome.csv,41,790,0.963,5.421,67,67,67,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0025427_ses-7_connectome.csv,41,735,0.896,5.329,64,64,64,40,40,40,0.006,0.007,0.015,0.006,0.006,0.016
Undirected,N/A,sub-0025428_ses-10_connectome.csv,41,774,0.944,5.364,61,61,61,40,40,40,0.006,0.006,0.015,0.006,0.007,0.016
Undirected,N/A,sub-0025427_ses-6_connectome.csv,41,763,0.93,6.833,65,65,65,40,40,40,0.006,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0025427_ses-1_connectome.csv,41,711,0.867,4.33,69,69,69,43,43,43,0.006,0.007,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0025428_ses-2_connectome.csv,41,736,0.898,4.544,64,64,64,41,41,41,0.006,0.006,0.015,0.007,0.006,0.016
Undirected,N/A,sub-0025427_ses-8_connectome.csv,41,736,0.898,4.117,60,60,60,40,40,40,0.006,0.007,0.016,0.006,0.006,0.017
Undirected,N/A,sub-0025428_ses-1_connectome.csv,41,741,0.904,4.425,62,62,62,41,41,41,0.006,0.006,0.015,0.006,0.006,0.016
