type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-2_connectome.csv,319,5579,0.11,1.82,583,583,583,334,334,334,0.469,0.488,0.925,0.448,0.472,0.922
Undirected,N/A,sub-0025427_ses-1_connectome.csv,310,5593,0.117,2.015,549,549,549,323,323,323,0.455,0.481,0.913,0.445,0.476,0.918
Undirected,N/A,sub-0025427_ses-7_connectome.csv,319,7450,0.147,1.954,611,611,611,337,337,337,0.599,0.636,1.261,0.61,0.631,1.301
Undirected,N/A,sub-0025428_ses-2_connectome.csv,317,5960,0.119,1.879,563,563,563,351,351,351,0.494,0.517,0.964,0.488,0.508,0.989
Undirected,N/A,sub-0025427_ses-6_connectome.csv,321,6906,0.134,2.016,548,548,548,340,340,340,0.58,0.613,1.171,0.575,0.604,1.176
Undirected,N/A,sub-0025428_ses-1_connectome.csv,319,6413,0.126,1.905,535,535,535,351,351,351,0.547,0.566,1.074,0.529,0.546,1.072
Undirected,N/A,sub-0025427_ses-10_connectome.csv,310,6722,0.14,1.96,569,569,569,325,325,325,0.539,0.563,1.094,0.527,0.55,1.125
Undirected,N/A,sub-0025427_ses-9_connectome.csv,319,6970,0.137,2.023,621,621,621,343,343,343,0.583,0.614,1.185,0.549,0.581,1.186
Undirected,N/A,sub-0025428_ses-5_connectome.csv,318,5869,0.116,1.914,544,544,544,340,340,340,0.502,0.532,0.96,0.48,0.506,0.953
Undirected,N/A,sub-0025427_ses-3_connectome.csv,317,6904,0.138,2.036,568,568,568,337,337,337,0.56,0.589,1.163,0.56,0.574,1.171
Undirected,N/A,sub-0025427_ses-5_connectome.csv,325,7883,0.15,1.925,587,587,587,344,344,344,0.669,0.705,1.378,0.658,0.689,1.582
Undirected,N/A,sub-0025428_ses-10_connectome.csv,320,6906,0.135,1.964,544,544,544,335,335,335,0.583,0.599,1.168,0.558,0.585,1.164
Undirected,N/A,sub-0025428_ses-6_connectome.csv,325,7061,0.134,1.922,564,564,564,348,348,348,0.624,0.647,1.239,0.621,0.644,1.285
Undirected,N/A,sub-0025428_ses-9_connectome.csv,314,4952,0.101,1.925,531,531,531,334,334,334,0.427,0.459,0.829,0.418,0.441,0.835
Undirected,N/A,sub-0025428_ses-8_connectome.csv,321,5737,0.112,1.848,587,587,587,355,355,355,0.489,0.517,0.977,0.471,0.497,0.967
Undirected,N/A,sub-0025429_ses-4_connectome.csv,320,5583,0.109,1.924,579,579,579,342,342,342,0.486,0.509,0.953,0.483,0.51,0.971
Undirected,N/A,sub-0025429_ses-5_connectome.csv,318,5764,0.114,1.781,546,546,546,337,337,337,0.495,0.524,0.959,0.486,0.513,0.957
Undirected,N/A,sub-0025427_ses-4_connectome.csv,320,6372,0.125,1.899,586,586,586,337,337,337,0.54,0.568,1.085,0.531,0.556,1.098
Undirected,N/A,sub-0025427_ses-8_connectome.csv,319,6232,0.123,1.99,582,582,582,339,339,339,0.517,0.541,1.037,0.499,0.529,1.025
Undirected,N/A,sub-0025428_ses-3_connectome.csv,316,6192,0.124,1.911,567,567,567,351,351,351,0.554,0.565,1.022,0.53,0.56,1.032
Undirected,N/A,sub-0025429_ses-10_connectome.csv,314,6123,0.125,1.786,534,534,534,339,339,339,0.523,0.548,1.01,0.512,0.535,1.02
Undirected,N/A,sub-0025428_ses-7_connectome.csv,322,6128,0.119,1.883,541,541,541,338,338,338,0.517,0.534,1.022,0.506,0.527,1.059
Undirected,N/A,sub-0025429_ses-6_connectome.csv,319,6898,0.136,1.9,557,557,557,335,335,335,0.585,0.614,1.173,0.588,0.602,1.175
Undirected,N/A,sub-0025429_ses-8_connectome.csv,317,5461,0.109,1.853,577,577,577,351,351,351,0.486,0.496,0.903,0.47,0.487,0.921
Undirected,N/A,sub-0025429_ses-7_connectome.csv,320,6309,0.124,1.862,589,589,589,333,333,333,0.532,0.558,1.064,0.528,0.547,1.088
Undirected,N/A,sub-0025429_ses-2_connectome.csv,316,5787,0.116,1.899,532,532,532,333,333,333,0.516,0.533,0.955,0.495,0.519,0.974
Undirected,N/A,sub-0025430_ses-1_connectome.csv,322,8917,0.173,1.818,595,595,595,343,343,343,0.78,0.82,1.609,0.761,0.765,1.68
Undirected,N/A,sub-0025429_ses-9_connectome.csv,321,6066,0.118,1.847,565,565,565,335,335,335,0.543,0.561,1.039,0.539,0.55,1.064
Undirected,N/A,sub-0025428_ses-4_connectome.csv,314,5095,0.104,1.774,543,543,543,350,350,350,0.437,0.454,0.811,0.415,0.439,0.807
Undirected,N/A,sub-0025430_ses-10_connectome.csv,319,6855,0.135,1.864,567,567,567,337,337,337,0.592,0.623,1.151,0.604,0.621,1.202
Undirected,N/A,sub-0025430_ses-3_connectome.csv,322,6819,0.132,1.809,611,611,611,338,338,338,0.597,0.623,1.185,0.582,0.616,1.221
Undirected,N/A,sub-0025430_ses-5_connectome.csv,321,7858,0.153,1.789,584,584,584,348,348,348,0.684,0.719,1.349,0.69,0.716,1.414
Undirected,N/A,sub-0025430_ses-4_connectome.csv,323,7564,0.145,1.945,603,603,603,334,334,334,0.644,0.692,1.297,0.88,0.684,1.357
Undirected,N/A,sub-0025429_ses-3_connectome.csv,328,5943,0.111,1.89,571,571,571,349,349,349,0.52,0.546,1.027,0.523,0.537,1.036
Undirected,N/A,sub-0025430_ses-6_connectome.csv,310,7192,0.15,1.825,568,568,568,327,327,327,0.62,0.648,1.195,0.626,0.635,1.232
Undirected,N/A,sub-0025430_ses-2_connectome.csv,324,6814,0.13,1.804,570,570,570,339,339,339,0.611,0.63,1.183,0.602,0.631,1.228
Undirected,N/A,sub-0025431_ses-10_connectome.csv,324,6932,0.132,1.874,595,595,595,347,347,347,0.583,0.612,1.186,0.578,0.609,1.236
Undirected,N/A,sub-0025429_ses-1_connectome.csv,317,6286,0.126,1.942,580,580,580,332,332,332,0.532,0.547,1.036,0.507,0.534,1.044
Undirected,N/A,sub-0025430_ses-7_connectome.csv,325,10213,0.194,1.809,611,611,611,335,335,335,0.85,0.915,1.927,0.819,0.919,2.019
Undirected,N/A,sub-0025431_ses-8_connectome.csv,320,5370,0.105,1.823,566,566,566,342,342,342,0.464,0.489,0.908,0.456,0.476,0.919
Undirected,N/A,sub-0025430_ses-9_connectome.csv,323,8107,0.156,1.891,595,595,595,348,348,348,0.695,0.737,1.429,0.7,0.734,1.48
Undirected,N/A,sub-0025432_ses-10_connectome.csv,324,5858,0.112,1.991,570,570,570,345,345,345,0.494,0.524,0.986,0.486,0.506,0.981
Undirected,N/A,sub-0025432_ses-1_connectome.csv,319,5453,0.108,1.877,553,553,553,338,338,338,0.465,0.488,0.915,0.45,0.473,0.915
