type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-3_connectome.csv,192,6062,0.331,2.624,450,450,450,203,203,203,0.259,0.261,0.551,0.249,0.257,0.576
Undirected,N/A,sub-0025427_ses-4_connectome.csv,195,6688,0.354,2.556,504,504,504,201,201,201,0.277,0.289,0.615,0.279,0.285,0.653
Undirected,N/A,sub-0025427_ses-7_connectome.csv,198,7561,0.388,2.365,466,466,466,202,202,202,0.319,0.335,0.721,0.32,0.331,0.741
Undirected,N/A,sub-0025427_ses-2_connectome.csv,193,5745,0.31,2.506,443,443,443,215,215,215,0.247,0.262,0.525,0.25,0.255,0.544
Undirected,N/A,sub-0025427_ses-6_connectome.csv,195,6256,0.331,2.546,409,409,409,202,202,202,0.274,0.279,0.572,0.268,0.281,0.592
Undirected,N/A,sub-0025427_ses-8_connectome.csv,195,5938,0.314,2.443,407,407,407,201,201,201,0.244,0.258,0.548,0.243,0.252,0.574
Undirected,N/A,sub-0025427_ses-10_connectome.csv,192,6082,0.332,2.548,447,447,447,202,202,202,0.241,0.251,0.549,0.242,0.249,0.57
Undirected,N/A,sub-0025427_ses-1_connectome.csv,193,5322,0.287,2.494,403,403,403,207,207,207,0.232,0.243,0.486,0.229,0.236,0.501
Undirected,N/A,sub-0025427_ses-5_connectome.csv,198,7958,0.408,2.705,463,463,463,210,210,210,0.327,0.328,0.758,0.319,0.327,0.794
Undirected,N/A,sub-0025428_ses-2_connectome.csv,200,6218,0.312,2.627,418,418,418,200,200,200,0.26,0.271,0.583,0.26,0.273,0.602
Undirected,N/A,sub-0025427_ses-9_connectome.csv,198,5999,0.308,2.596,467,467,467,214,214,214,0.247,0.262,0.562,0.243,0.254,0.581
Undirected,N/A,sub-0025428_ses-1_connectome.csv,200,6779,0.341,2.63,438,438,438,201,201,201,0.282,0.295,0.647,0.285,0.295,0.66
Undirected,N/A,sub-0025428_ses-6_connectome.csv,200,6424,0.323,2.577,402,402,402,200,200,200,0.28,0.289,0.648,0.281,0.291,0.628
Undirected,N/A,sub-0025428_ses-4_connectome.csv,200,6564,0.33,2.598,441,441,441,201,201,201,0.289,0.297,0.628,0.287,0.301,0.639
Undirected,N/A,sub-0025429_ses-3_connectome.csv,195,6003,0.317,2.599,444,444,444,199,199,199,0.246,0.259,0.556,0.243,0.259,0.576
Undirected,N/A,sub-0025428_ses-5_connectome.csv,200,6427,0.323,2.583,453,453,453,201,201,201,0.279,0.289,0.608,0.278,0.287,0.644
Undirected,N/A,sub-0025428_ses-10_connectome.csv,198,6567,0.337,2.728,466,466,466,211,211,211,0.272,0.281,0.608,0.268,0.279,0.636
Undirected,N/A,sub-0025429_ses-2_connectome.csv,193,5606,0.303,2.582,424,424,424,205,205,205,0.245,0.255,0.505,0.239,0.251,0.78
Undirected,N/A,sub-0025428_ses-9_connectome.csv,199,6155,0.312,2.631,462,462,462,207,207,207,0.273,0.281,0.58,0.273,0.283,0.597
Undirected,N/A,sub-0025428_ses-7_connectome.csv,200,6859,0.345,2.573,451,451,451,199,199,199,0.283,0.295,0.661,0.282,0.295,0.697
Undirected,N/A,sub-0025429_ses-1_connectome.csv,195,5958,0.315,2.582,400,400,400,203,203,203,0.255,0.263,0.553,0.256,0.263,0.575
Undirected,N/A,sub-0025429_ses-8_connectome.csv,199,5813,0.295,2.54,428,428,428,203,203,203,0.256,0.268,0.547,0.253,0.264,0.57
Undirected,N/A,sub-0025429_ses-10_connectome.csv,200,7041,0.354,2.502,409,409,409,203,203,203,0.306,0.327,0.673,0.309,0.321,0.706
Undirected,N/A,sub-0025429_ses-6_connectome.csv,200,6603,0.332,2.517,472,472,472,204,204,204,0.296,0.308,0.636,0.292,0.303,0.654
Undirected,N/A,sub-0025428_ses-3_connectome.csv,200,6554,0.329,2.556,425,425,425,213,213,213,0.278,0.292,0.623,0.274,0.29,0.641
Undirected,N/A,sub-0025430_ses-10_connectome.csv,200,6942,0.349,2.578,426,426,426,200,200,200,0.289,0.301,0.655,0.287,0.296,0.681
Undirected,N/A,sub-0025429_ses-9_connectome.csv,200,6327,0.318,2.604,444,444,444,205,205,205,0.279,0.292,0.601,0.283,0.287,0.62
Undirected,N/A,sub-0025430_ses-5_connectome.csv,200,8435,0.424,2.553,438,438,438,199,199,199,0.336,0.349,0.813,0.333,0.35,0.84
Undirected,N/A,sub-0025430_ses-4_connectome.csv,200,7419,0.373,2.548,450,450,450,199,199,199,0.32,0.331,0.707,0.321,0.336,0.736
Undirected,N/A,sub-0025428_ses-8_connectome.csv,200,6248,0.314,2.587,488,488,488,199,199,199,0.266,0.278,0.592,0.262,0.276,0.608
Undirected,N/A,sub-0025429_ses-7_connectome.csv,200,6585,0.331,2.67,452,452,452,202,202,202,0.278,0.294,0.622,0.281,0.288,0.66
Undirected,N/A,sub-0025430_ses-1_connectome.csv,200,8962,0.45,2.531,440,440,440,203,203,203,0.351,0.369,0.879,0.366,0.372,0.914
Undirected,N/A,sub-0025430_ses-3_connectome.csv,200,7467,0.375,2.559,459,459,459,201,201,201,0.319,0.328,0.706,0.32,0.33,0.749
Undirected,N/A,sub-0025430_ses-7_connectome.csv,200,9323,0.468,2.569,435,435,435,200,200,200,0.362,0.378,0.917,0.368,0.38,0.975
Undirected,N/A,sub-0025429_ses-5_connectome.csv,199,6635,0.337,2.586,452,452,452,201,201,201,0.292,0.304,0.624,0.292,0.3,0.67
Undirected,N/A,sub-0025430_ses-8_connectome.csv,200,7204,0.362,2.589,449,449,449,201,201,201,0.303,0.317,0.678,0.304,0.325,0.714
Undirected,N/A,sub-0025430_ses-6_connectome.csv,200,8029,0.403,2.673,412,412,412,201,201,201,0.337,0.348,0.775,0.337,0.348,0.804
Undirected,N/A,sub-0025431_ses-5_connectome.csv,200,6628,0.333,2.566,476,476,476,200,200,200,0.277,0.289,0.634,0.275,0.286,0.659
Undirected,N/A,sub-0025431_ses-1_connectome.csv,200,6177,0.31,2.642,454,454,454,201,201,201,0.262,0.271,0.577,0.262,0.279,0.605
Undirected,N/A,sub-0025431_ses-10_connectome.csv,200,6530,0.328,2.585,445,445,445,200,200,200,0.276,0.29,0.613,0.277,0.287,0.652
Undirected,N/A,sub-0025431_ses-2_connectome.csv,200,6657,0.335,2.619,437,437,437,200,200,200,0.276,0.288,0.626,0.28,0.285,0.653
Undirected,N/A,sub-0025431_ses-4_connectome.csv,200,6360,0.32,2.473,429,429,429,200,200,200,0.281,0.287,0.599,0.271,0.289,0.622
Undirected,N/A,sub-0025431_ses-6_connectome.csv,200,6563,0.33,2.767,459,459,459,203,203,203,0.271,0.28,0.623,0.268,0.273,0.648
Undirected,N/A,sub-0025431_ses-3_connectome.csv,200,7519,0.378,2.562,435,435,435,199,199,199,0.304,0.314,0.713,0.301,0.313,0.754
Undirected,N/A,sub-0025430_ses-9_connectome.csv,200,7792,0.392,2.605,439,439,439,200,200,200,0.331,0.346,0.75,0.332,0.343,0.777
Undirected,N/A,sub-0025432_ses-10_connectome.csv,196,5500,0.288,2.632,450,450,450,205,205,205,0.236,0.245,0.509,0.23,0.241,0.524
Undirected,N/A,sub-0025432_ses-5_connectome.csv,200,5335,0.268,2.65,446,446,446,210,210,210,0.234,0.246,0.503,0.23,0.239,0.518
Undirected,N/A,sub-0025432_ses-1_connectome.csv,194,5655,0.302,2.65,446,446,446,197,197,197,0.231,0.242,0.522,0.227,0.236,0.538
Undirected,N/A,sub-0025432_ses-2_connectome.csv,188,5051,0.287,2.849,419,419,419,194,194,194,0.2,0.21,0.46,0.199,0.206,0.464
Undirected,N/A,sub-0025430_ses-2_connectome.csv,200,7087,0.356,2.548,425,425,425,201,201,201,0.306,0.321,0.664,0.305,0.314,0.687
Undirected,N/A,sub-0025432_ses-8_connectome.csv,197,5633,0.292,2.706,458,458,458,198,198,198,0.238,0.252,0.529,0.236,0.245,0.555
Undirected,N/A,sub-0025432_ses-9_connectome.csv,199,5496,0.279,2.7,427,427,427,205,205,205,0.241,0.25,0.513,0.234,0.248,0.532
Undirected,N/A,sub-0025431_ses-9_connectome.csv,200,6363,0.32,2.605,455,455,455,199,199,199,0.278,0.286,0.61,0.273,0.284,0.626
Undirected,N/A,sub-0025431_ses-7_connectome.csv,200,6545,0.329,2.799,448,448,448,199,199,199,0.271,0.28,0.624,0.266,0.281,0.651
Undirected,N/A,sub-0025433_ses-5_connectome.csv,200,6060,0.305,2.5,462,462,462,206,206,206,0.263,0.274,0.573,0.262,0.272,0.596
Undirected,N/A,sub-0025432_ses-6_connectome.csv,197,5483,0.284,2.85,424,424,424,207,207,207,0.228,0.24,0.515,0.227,0.238,0.54
Undirected,N/A,sub-0025433_ses-2_connectome.csv,196,5939,0.311,2.54,447,447,447,212,212,212,0.248,0.264,0.555,0.249,0.26,0.576
Undirected,N/A,sub-0025432_ses-4_connectome.csv,198,5372,0.275,2.636,456,456,456,221,221,221,0.228,0.239,0.513,0.226,0.239,0.525
Undirected,N/A,sub-0025433_ses-4_connectome.csv,199,6016,0.305,2.559,431,431,431,206,206,206,0.261,0.273,0.568,0.264,0.269,0.593
Undirected,N/A,sub-0025432_ses-3_connectome.csv,200,6464,0.325,2.733,457,457,457,199,199,199,0.26,0.271,0.61,0.259,0.273,0.633
Undirected,N/A,sub-0025431_ses-8_connectome.csv,200,6034,0.303,2.636,422,422,422,201,201,201,0.251,0.263,0.571,0.252,0.263,0.599
Undirected,N/A,sub-0025429_ses-4_connectome.csv,200,6121,0.308,2.701,478,478,478,222,222,222,0.268,0.282,0.567,0.268,0.28,0.594
Undirected,N/A,sub-0025433_ses-10_connectome.csv,197,6668,0.345,2.52,443,443,443,201,201,201,0.274,0.283,0.623,0.268,0.279,0.641
Undirected,N/A,sub-0025433_ses-1_connectome.csv,195,5684,0.301,2.528,425,425,425,205,205,205,0.232,0.248,0.519,0.236,0.244,0.541
Undirected,N/A,sub-0025433_ses-3_connectome.csv,199,6544,0.332,2.597,489,489,489,211,211,211,0.276,0.293,0.606,0.28,0.287,0.635
Undirected,N/A,sub-0025432_ses-7_connectome.csv,200,5694,0.286,2.757,466,466,466,211,211,211,0.23,0.242,0.54,0.236,0.253,0.56
Undirected,N/A,sub-0025433_ses-6_connectome.csv,200,6409,0.322,2.466,466,466,466,207,207,207,0.282,0.294,0.598,0.272,0.289,0.621
Undirected,N/A,sub-0025434_ses-2_connectome.csv,195,6417,0.339,2.517,458,458,458,206,206,206,0.267,0.279,0.6,0.267,0.277,0.607
Undirected,N/A,sub-0025434_ses-4_connectome.csv,199,6636,0.337,2.593,472,472,472,207,207,207,0.289,0.3,0.617,0.288,0.297,0.649
Undirected,N/A,sub-0025434_ses-5_connectome.csv,198,5860,0.3,2.539,426,426,426,201,201,201,0.248,0.258,0.555,0.242,0.256,0.56
Undirected,N/A,sub-0025434_ses-3_connectome.csv,194,5749,0.307,2.604,436,436,436,202,202,202,0.243,0.257,0.526,0.24,0.25,0.546
Undirected,N/A,sub-0025434_ses-1_connectome.csv,198,6355,0.326,2.528,450,450,450,210,210,210,0.265,0.277,0.592,0.263,0.277,0.611
Undirected,N/A,sub-0025434_ses-7_connectome.csv,197,6751,0.35,2.505,436,436,436,205,205,205,0.293,0.31,0.629,0.291,0.299,0.652
Undirected,N/A,sub-0025434_ses-10_connectome.csv,194,6611,0.353,2.654,415,415,415,195,195,195,0.269,0.277,0.607,0.265,0.276,0.625
Undirected,N/A,sub-0025434_ses-8_connectome.csv,194,5955,0.318,2.68,449,449,449,199,199,199,0.257,0.269,0.543,0.25,0.262,0.566
Undirected,N/A,sub-0025433_ses-7_connectome.csv,200,5876,0.295,2.537,436,436,436,205,205,205,0.253,0.265,0.554,0.253,0.269,0.576
Undirected,N/A,sub-0025433_ses-8_connectome.csv,200,6305,0.317,2.496,443,443,443,201,201,201,0.281,0.291,0.59,0.28,0.288,0.622
Undirected,N/A,sub-0025435_ses-3_connectome.csv,200,6114,0.307,2.594,378,378,378,201,201,201,0.27,0.28,0.576,0.265,0.275,0.598
Undirected,N/A,sub-0025435_ses-4_connectome.csv,200,6870,0.345,2.571,442,442,442,200,200,200,0.29,0.304,0.645,0.289,0.303,0.668
Undirected,N/A,sub-0025435_ses-7_connectome.csv,198,6649,0.341,2.661,451,451,451,209,209,209,0.281,0.291,0.616,0.279,0.29,0.644
Undirected,N/A,sub-0025435_ses-5_connectome.csv,200,6970,0.35,2.612,419,419,419,201,201,201,0.298,0.309,0.663,0.303,0.314,0.682
Undirected,N/A,sub-0025435_ses-6_connectome.csv,200,6491,0.326,2.599,435,435,435,202,202,202,0.279,0.293,0.611,0.283,0.294,0.649
Undirected,N/A,sub-0025434_ses-9_connectome.csv,195,6352,0.336,2.504,431,431,431,198,198,198,0.267,0.275,0.578,0.264,0.272,0.603
Undirected,N/A,sub-0025434_ses-6_connectome.csv,198,6480,0.332,2.595,441,441,441,203,203,203,0.272,0.302,0.601,0.269,0.277,0.629
Undirected,N/A,sub-0025435_ses-9_connectome.csv,200,6404,0.322,2.744,443,443,443,201,201,201,0.281,0.287,0.604,0.272,0.282,0.633
