type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-2_connectome.csv,83,1546,0.454,2.617,151,151,151,82,82,82,0.029,0.03,0.063,0.029,0.03,0.066
Undirected,N/A,sub-0025427_ses-1_connectome.csv,82,1441,0.434,2.901,158,158,158,81,81,81,0.027,0.028,0.059,0.026,0.027,0.062
Undirected,N/A,sub-0025427_ses-3_connectome.csv,80,1358,0.43,2.87,150,150,150,81,81,81,0.026,0.026,0.054,0.024,0.025,0.055
Undirected,N/A,sub-0025427_ses-10_connectome.csv,82,1469,0.442,2.965,147,147,147,83,83,83,0.026,0.027,0.058,0.026,0.027,0.06
Undirected,N/A,sub-0025427_ses-4_connectome.csv,83,1644,0.483,2.75,145,145,145,82,82,82,0.03,0.031,0.066,0.029,0.031,0.068
Undirected,N/A,sub-0025427_ses-5_connectome.csv,83,1819,0.535,3.187,160,160,160,82,82,82,0.03,0.032,0.07,0.03,0.031,0.075
Undirected,N/A,sub-0025427_ses-6_connectome.csv,83,1758,0.517,2.916,160,160,160,86,86,86,0.03,0.031,0.068,0.031,0.03,0.073
Undirected,N/A,sub-0025427_ses-9_connectome.csv,82,1413,0.425,2.849,152,152,152,81,81,81,0.025,0.026,0.056,0.025,0.026,0.058
Undirected,N/A,sub-0025427_ses-8_connectome.csv,82,1456,0.438,3.03,143,143,143,82,82,82,0.026,0.028,0.058,0.027,0.027,0.06
Undirected,N/A,sub-0025427_ses-7_connectome.csv,81,1826,0.564,2.688,158,158,158,82,82,82,0.031,0.032,0.069,0.032,0.032,0.072
Undirected,N/A,sub-0025428_ses-10_connectome.csv,83,1579,0.464,3.133,137,137,137,82,82,82,0.028,0.029,0.063,0.03,0.029,0.065
Undirected,N/A,sub-0025428_ses-4_connectome.csv,83,1683,0.495,3.096,139,139,139,82,82,82,0.029,0.03,0.067,0.03,0.03,0.068
