type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-1_connectome.csv,94,1699,0.389,3.009,150,150,150,103,103,103,0.037,0.038,0.078,0.035,0.037,0.081
Undirected,N/A,sub-0025427_ses-2_connectome.csv,91,1606,0.392,3.049,142,142,142,98,98,98,0.035,0.036,0.072,0.034,0.036,0.074
Undirected,N/A,sub-0025427_ses-7_connectome.csv,91,1874,0.458,3.049,143,143,143,93,93,93,0.034,0.036,0.082,0.037,0.036,0.083
Undirected,N/A,sub-0025427_ses-5_connectome.csv,92,1853,0.443,3.087,135,135,135,94,94,94,0.035,0.038,0.084,0.036,0.037,0.099
Undirected,N/A,sub-0025427_ses-10_connectome.csv,93,1670,0.39,3.041,150,150,150,106,106,106,0.033,0.035,0.074,0.032,0.034,0.078
Undirected,N/A,sub-0025427_ses-8_connectome.csv,90,1607,0.401,2.907,137,137,137,95,95,95,0.031,0.033,0.071,0.033,0.033,0.072
Undirected,N/A,sub-0025427_ses-6_connectome.csv,92,1768,0.422,3.086,152,152,152,94,94,94,0.035,0.037,0.08,0.035,0.036,0.081
Undirected,N/A,sub-0025428_ses-2_connectome.csv,103,1891,0.36,2.807,170,170,170,111,111,111,0.05,0.048,0.094,0.047,0.047,0.096
Undirected,N/A,sub-0025427_ses-3_connectome.csv,89,1525,0.389,3.05,124,124,124,94,94,94,0.03,0.033,0.069,0.03,0.031,0.069
Undirected,N/A,sub-0025427_ses-9_connectome.csv,87,1469,0.393,3.069,139,139,139,87,87,87,0.031,0.031,0.063,0.028,0.029,0.067
Undirected,N/A,sub-0025427_ses-4_connectome.csv,90,1746,0.436,2.977,131,131,131,92,92,92,0.034,0.035,0.076,0.033,0.036,0.079
Undirected,N/A,sub-0025428_ses-7_connectome.csv,97,1696,0.364,3.067,178,178,178,113,113,113,0.037,0.04,0.081,0.037,0.038,0.082
Undirected,N/A,sub-0025428_ses-10_connectome.csv,88,1660,0.434,3.282,170,170,170,101,101,101,0.03,0.032,0.072,0.03,0.031,0.073
