type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-10_connectome.csv,31,305,0.656,3.028,45,45,45,31,31,31,0.002,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0025427_ses-2_connectome.csv,29,309,0.761,3.299,39,39,39,29,29,29,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025427_ses-9_connectome.csv,30,300,0.69,2.946,40,40,40,29,29,29,0.002,0.002,0.005,0.002,0.002,0.006
Undirected,N/A,sub-0025427_ses-3_connectome.csv,31,306,0.658,3.593,44,44,44,30,30,30,0.003,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0025427_ses-4_connectome.csv,31,355,0.763,3.891,43,43,43,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025427_ses-7_connectome.csv,30,337,0.775,6.866,47,47,47,29,29,29,0.003,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0025427_ses-5_connectome.csv,30,397,0.913,4.88,51,51,51,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025427_ses-1_connectome.csv,30,293,0.674,4.641,45,45,45,31,31,31,0.003,0.003,0.005,0.002,0.002,0.006
Undirected,N/A,sub-0025427_ses-6_connectome.csv,29,285,0.702,3.64,43,43,43,29,29,29,0.004,0.004,0.007,0.002,0.002,0.005
Undirected,N/A,sub-0025428_ses-3_connectome.csv,28,297,0.786,3.298,44,44,44,27,27,27,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025428_ses-10_connectome.csv,30,346,0.795,3.747,43,43,43,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025428_ses-1_connectome.csv,30,306,0.703,4.95,48,48,48,30,30,30,0.002,0.003,0.005,0.002,0.002,0.006
Undirected,N/A,sub-0025428_ses-4_connectome.csv,31,330,0.71,3.742,48,48,48,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025428_ses-5_connectome.csv,30,312,0.717,4.041,53,53,53,29,29,29,0.002,0.003,0.005,0.002,0.002,0.006
Undirected,N/A,sub-0025427_ses-8_connectome.csv,29,289,0.712,3.401,43,43,43,28,28,28,0.002,0.003,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025428_ses-2_connectome.csv,31,284,0.611,3.735,44,44,44,30,30,30,0.003,0.003,0.005,0.002,0.003,0.005
Undirected,N/A,sub-0025428_ses-9_connectome.csv,30,287,0.66,3.103,51,51,51,31,31,31,0.002,0.002,0.006,0.002,0.002,0.005
Undirected,N/A,sub-0025428_ses-7_connectome.csv,30,354,0.814,4.087,53,53,53,29,29,29,0.003,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0025428_ses-8_connectome.csv,30,320,0.736,3.512,46,46,46,29,29,29,0.002,0.003,0.006,0.002,0.002,0.006
Undirected,N/A,sub-0025429_ses-10_connectome.csv,28,282,0.746,4.743,42,42,42,27,27,27,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025428_ses-6_connectome.csv,30,333,0.766,3.671,51,51,51,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025429_ses-6_connectome.csv,30,323,0.743,3.453,44,44,44,32,32,32,0.002,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0025429_ses-7_connectome.csv,29,316,0.778,4.33,47,47,47,28,28,28,0.002,0.003,0.006,0.002,0.002,0.006
Undirected,N/A,sub-0025429_ses-5_connectome.csv,31,394,0.847,4.112,47,47,47,31,31,31,0.003,0.003,0.007,0.003,0.004,0.007
Undirected,N/A,sub-0025429_ses-4_connectome.csv,30,311,0.715,3.539,45,45,45,30,30,30,0.002,0.003,0.005,0.002,0.002,0.006
Undirected,N/A,sub-0025429_ses-9_connectome.csv,30,345,0.793,3.832,38,38,38,29,29,29,0.002,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0025429_ses-3_connectome.csv,30,322,0.74,3.693,46,46,46,29,29,29,0.002,0.002,0.006,0.002,0.002,0.006
Undirected,N/A,sub-0025429_ses-1_connectome.csv,28,285,0.754,3.851,45,45,45,29,29,29,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025429_ses-2_connectome.csv,28,274,0.725,3.156,49,49,49,29,29,29,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025429_ses-8_connectome.csv,29,324,0.798,5.604,46,46,46,28,28,28,0.002,0.003,0.006,0.002,0.002,0.006
Undirected,N/A,sub-0025430_ses-10_connectome.csv,31,387,0.832,4.401,51,51,51,30,30,30,0.004,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025430_ses-2_connectome.csv,31,372,0.8,5.057,44,44,44,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025430_ses-1_connectome.csv,30,421,0.968,8.317,45,45,45,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025430_ses-3_connectome.csv,30,414,0.952,5.554,47,47,47,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025430_ses-6_connectome.csv,29,394,0.97,8.042,44,44,44,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025430_ses-4_connectome.csv,30,377,0.867,4.341,45,45,45,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0025430_ses-5_connectome.csv,31,420,0.903,10.198,43,43,43,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025430_ses-7_connectome.csv,30,426,0.979,6.807,56,56,56,29,29,29,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025430_ses-8_connectome.csv,30,392,0.901,4.558,44,44,44,29,29,29,0.003,0.003,0.008,0.003,0.003,0.007
Undirected,N/A,sub-0025430_ses-9_connectome.csv,30,396,0.91,4.027,45,45,45,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025431_ses-6_connectome.csv,30,322,0.74,4.373,44,44,44,29,29,29,0.002,0.002,0.006,0.002,0.002,0.006
Undirected,N/A,sub-0025431_ses-1_connectome.csv,31,294,0.632,2.913,45,45,45,30,30,30,0.002,0.003,0.005,0.002,0.003,0.005
Undirected,N/A,sub-0025431_ses-10_connectome.csv,30,372,0.855,3.808,43,43,43,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0025431_ses-7_connectome.csv,31,368,0.791,3.297,49,49,49,30,30,30,0.003,0.003,0.007,0.003,0.003,0.006
Undirected,N/A,sub-0025431_ses-5_connectome.csv,30,386,0.887,4.395,42,42,42,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0025431_ses-3_connectome.csv,29,378,0.931,6.066,53,53,53,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025431_ses-4_connectome.csv,31,374,0.804,3.658,47,47,47,30,30,30,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0025432_ses-1_connectome.csv,30,307,0.706,3.599,40,40,40,29,29,29,0.002,0.002,0.005,0.002,0.002,0.006
Undirected,N/A,sub-0025432_ses-10_connectome.csv,30,296,0.68,2.872,46,46,46,29,29,29,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025432_ses-3_connectome.csv,30,322,0.74,3.993,43,43,43,29,29,29,0.002,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0025432_ses-4_connectome.csv,30,288,0.662,3.317,44,44,44,30,30,30,0.002,0.003,0.005,0.002,0.003,0.005
Undirected,N/A,sub-0025431_ses-8_connectome.csv,29,292,0.719,3.688,39,39,39,30,30,30,0.003,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025432_ses-2_connectome.csv,31,251,0.54,2.405,39,39,39,31,31,31,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025431_ses-9_connectome.csv,30,339,0.779,3.209,46,46,46,29,29,29,0.002,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025431_ses-2_connectome.csv,28,295,0.78,2.972,42,42,42,28,28,28,0.002,0.002,0.005,0.002,0.002,0.006
Undirected,N/A,sub-0025432_ses-7_connectome.csv,30,288,0.662,3.243,45,45,45,29,29,29,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025432_ses-9_connectome.csv,29,339,0.835,2.774,42,42,42,28,28,28,0.002,0.003,0.006,0.002,0.003,0.009
Undirected,N/A,sub-0025432_ses-5_connectome.csv,29,245,0.603,2.677,41,41,41,28,28,28,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025432_ses-8_connectome.csv,31,264,0.568,3.237,52,52,52,37,37,37,0.002,0.003,0.005,0.002,0.003,0.005
Undirected,N/A,sub-0025433_ses-4_connectome.csv,31,344,0.74,3.296,43,43,43,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025433_ses-10_connectome.csv,30,366,0.841,3.954,44,44,44,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025433_ses-6_connectome.csv,29,362,0.892,3.595,44,44,44,28,28,28,0.003,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0025433_ses-5_connectome.csv,31,352,0.757,3.873,48,48,48,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025433_ses-1_connectome.csv,29,334,0.823,3.766,44,44,44,28,28,28,0.002,0.003,0.006,0.002,0.002,0.006
Undirected,N/A,sub-0025433_ses-3_connectome.csv,30,343,0.789,3.23,46,46,46,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025434_ses-10_connectome.csv,30,388,0.892,4.407,48,48,48,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025434_ses-1_connectome.csv,30,335,0.77,3.6,46,46,46,29,29,29,0.003,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0025432_ses-6_connectome.csv,29,272,0.67,3.215,45,45,45,28,28,28,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025434_ses-8_connectome.csv,30,357,0.821,4.95,56,56,56,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025434_ses-3_connectome.csv,31,357,0.768,4.0,50,50,50,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
