type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-10_connectome.csv,69,1481,0.631,3.931,178,178,178,68,68,68,0.02,0.021,0.046,0.019,0.021,0.049
Undirected,N/A,sub-0025427_ses-3_connectome.csv,69,1467,0.625,3.291,140,140,140,70,70,70,0.02,0.02,0.045,0.019,0.02,0.049
Undirected,N/A,sub-0025427_ses-2_connectome.csv,69,1480,0.631,3.307,147,147,147,69,69,69,0.021,0.021,0.045,0.02,0.021,0.047
Undirected,N/A,sub-0025427_ses-4_connectome.csv,70,1593,0.66,3.654,153,153,153,69,69,69,0.022,0.023,0.05,0.021,0.021,0.051
Undirected,N/A,sub-0025427_ses-5_connectome.csv,70,1763,0.73,3.751,163,163,163,69,69,69,0.023,0.024,0.055,0.023,0.023,0.057
Undirected,N/A,sub-0025428_ses-10_connectome.csv,70,1496,0.619,3.018,149,149,149,69,69,69,0.02,0.021,0.046,0.021,0.021,0.05
Undirected,N/A,sub-0025427_ses-1_connectome.csv,70,1436,0.595,3.695,154,154,154,70,70,70,0.02,0.021,0.047,0.02,0.025,0.049
Undirected,N/A,sub-0025428_ses-4_connectome.csv,70,1629,0.675,3.499,153,153,153,69,69,69,0.021,0.022,0.05,0.021,0.022,0.053
Undirected,N/A,sub-0025428_ses-2_connectome.csv,70,1513,0.627,3.195,146,146,146,69,69,69,0.02,0.021,0.047,0.02,0.021,0.05
Undirected,N/A,sub-0025428_ses-6_connectome.csv,70,1652,0.684,3.422,144,144,144,70,70,70,0.023,0.023,0.05,0.022,0.023,0.052
Undirected,N/A,sub-0025428_ses-7_connectome.csv,70,1498,0.62,2.998,159,159,159,69,69,69,0.021,0.021,0.046,0.02,0.02,0.048
Undirected,N/A,sub-0025427_ses-6_connectome.csv,70,1642,0.68,3.545,156,156,156,69,69,69,0.022,0.027,0.052,0.021,0.022,0.052
Undirected,N/A,sub-0025428_ses-3_connectome.csv,70,1628,0.674,3.094,134,134,134,69,69,69,0.021,0.021,0.054,0.021,0.021,0.052
Undirected,N/A,sub-0025428_ses-8_connectome.csv,70,1446,0.599,3.502,152,152,152,69,69,69,0.02,0.021,0.048,0.021,0.021,0.047
Undirected,N/A,sub-0025427_ses-8_connectome.csv,70,1484,0.614,3.214,137,137,137,70,70,70,0.02,0.021,0.047,0.02,0.021,0.049
Undirected,N/A,sub-0025427_ses-7_connectome.csv,70,1744,0.722,3.614,158,158,158,70,70,70,0.023,0.023,0.053,0.022,0.024,0.058
Undirected,N/A,sub-0025429_ses-1_connectome.csv,70,1557,0.645,3.37,164,164,164,69,69,69,0.021,0.022,0.048,0.02,0.021,0.051
Undirected,N/A,sub-0025428_ses-9_connectome.csv,70,1464,0.606,3.203,147,147,147,69,69,69,0.021,0.022,0.046,0.02,0.021,0.048
Undirected,N/A,sub-0025429_ses-4_connectome.csv,70,1466,0.607,3.546,134,134,134,72,72,72,0.021,0.028,0.046,0.02,0.023,0.051
Undirected,N/A,sub-0025429_ses-10_connectome.csv,70,1735,0.718,3.652,152,152,152,69,69,69,0.023,0.024,0.053,0.022,0.023,0.055
Undirected,N/A,sub-0025427_ses-9_connectome.csv,70,1417,0.587,3.591,168,168,168,71,71,71,0.02,0.021,0.046,0.02,0.021,0.046
Undirected,N/A,sub-0025428_ses-1_connectome.csv,70,1533,0.635,3.192,145,145,145,69,69,69,0.021,0.022,0.047,0.021,0.023,0.049
Undirected,N/A,sub-0025428_ses-5_connectome.csv,70,1499,0.621,3.287,146,146,146,70,70,70,0.02,0.021,0.046,0.02,0.021,0.05
Undirected,N/A,sub-0025429_ses-2_connectome.csv,70,1499,0.621,3.421,155,155,155,70,70,70,0.021,0.021,0.046,0.02,0.021,0.049
Undirected,N/A,sub-0025429_ses-7_connectome.csv,70,1535,0.636,3.809,150,150,150,69,69,69,0.023,0.022,0.048,0.02,0.021,0.049
Undirected,N/A,sub-0025429_ses-3_connectome.csv,70,1564,0.648,3.438,142,142,142,69,69,69,0.024,0.026,0.049,0.021,0.021,0.05
Undirected,N/A,sub-0025429_ses-6_connectome.csv,70,1623,0.672,3.492,145,145,145,70,70,70,0.022,0.022,0.053,0.021,0.022,0.052
Undirected,N/A,sub-0025429_ses-5_connectome.csv,70,1705,0.706,3.845,140,140,140,69,69,69,0.021,0.022,0.055,0.022,0.022,0.054
Undirected,N/A,sub-0025429_ses-8_connectome.csv,70,1560,0.646,3.374,131,131,131,69,69,69,0.021,0.021,0.048,0.021,0.022,0.052
Undirected,N/A,sub-0025430_ses-2_connectome.csv,70,1712,0.709,3.78,134,134,134,69,69,69,0.022,0.022,0.052,0.021,0.023,0.056
Undirected,N/A,sub-0025430_ses-1_connectome.csv,70,1956,0.81,3.844,138,138,138,70,70,70,0.023,0.024,0.059,0.023,0.024,0.063
