type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-1_connectome.csv,74,1577,0.584,3.216,137,137,137,73,73,73,0.023,0.024,0.053,0.023,0.025,0.056
Undirected,N/A,sub-0025427_ses-2_connectome.csv,74,1643,0.608,3.316,153,153,153,73,73,73,0.031,0.025,0.056,0.025,0.026,0.059
Undirected,N/A,sub-0025427_ses-3_connectome.csv,74,1642,0.608,3.12,143,143,143,73,73,73,0.023,0.024,0.056,0.024,0.025,0.059
Undirected,N/A,sub-0025427_ses-4_connectome.csv,74,1705,0.631,3.208,154,154,154,73,73,73,0.024,0.025,0.058,0.024,0.025,0.061
Undirected,N/A,sub-0025428_ses-1_connectome.csv,74,1647,0.61,3.194,153,153,153,73,73,73,0.024,0.025,0.057,0.025,0.025,0.062
Undirected,N/A,sub-0025428_ses-2_connectome.csv,74,1618,0.599,2.988,170,170,170,73,73,73,0.024,0.025,0.057,0.025,0.024,0.058
Undirected,N/A,sub-0025427_ses-9_connectome.csv,74,1696,0.628,3.131,148,148,148,74,74,74,0.024,0.025,0.058,0.025,0.025,0.06
Undirected,N/A,sub-0025427_ses-7_connectome.csv,74,1753,0.649,3.245,136,136,136,73,73,73,0.024,0.025,0.06,0.026,0.026,0.063
Undirected,N/A,sub-0025427_ses-10_connectome.csv,74,1764,0.653,3.245,158,158,158,77,77,77,0.024,0.025,0.059,0.025,0.026,0.063
Undirected,N/A,sub-0025428_ses-3_connectome.csv,74,1679,0.622,3.423,146,146,146,73,73,73,0.023,0.024,0.057,0.024,0.025,0.059
Undirected,N/A,sub-0025427_ses-6_connectome.csv,74,1794,0.664,3.451,159,159,159,73,73,73,0.024,0.025,0.06,0.029,0.026,0.063
Undirected,N/A,sub-0025428_ses-4_connectome.csv,74,1696,0.628,3.176,141,141,141,73,73,73,0.024,0.025,0.058,0.025,0.025,0.06
Undirected,N/A,sub-0025427_ses-5_connectome.csv,74,1914,0.709,3.3,141,141,141,73,73,73,0.025,0.026,0.064,0.027,0.027,0.066
Undirected,N/A,sub-0025427_ses-8_connectome.csv,74,1679,0.622,3.071,146,146,146,74,74,74,0.024,0.025,0.059,0.026,0.025,0.06
