type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-2_connectome.csv,179,6029,0.378,2.336,384,384,384,178,178,178,0.226,0.241,0.492,0.225,0.237,0.526
Undirected,N/A,sub-0025427_ses-1_connectome.csv,180,5896,0.366,2.404,356,356,356,183,183,183,0.22,0.233,0.496,0.221,0.237,0.519
Undirected,N/A,sub-0025427_ses-10_connectome.csv,179,7144,0.448,2.453,404,404,404,179,179,179,0.245,0.259,0.597,0.244,0.258,0.616
Undirected,N/A,sub-0025427_ses-6_connectome.csv,180,6816,0.423,2.3,390,390,390,180,180,180,0.244,0.265,0.565,0.242,0.252,0.597
Undirected,N/A,sub-0025427_ses-5_connectome.csv,180,8094,0.502,2.37,398,398,398,180,180,180,0.267,0.276,0.678,0.27,0.28,0.692
Undirected,N/A,sub-0025427_ses-8_connectome.csv,180,6524,0.405,2.291,418,418,418,183,183,183,0.241,0.252,0.556,0.239,0.253,0.567
Undirected,N/A,sub-0025428_ses-10_connectome.csv,180,7262,0.451,2.344,390,390,390,181,181,181,0.25,0.273,0.607,0.25,0.263,0.648
Undirected,N/A,sub-0025427_ses-4_connectome.csv,179,6844,0.43,2.373,403,403,403,181,181,181,0.242,0.257,0.594,0.244,0.251,0.598
Undirected,N/A,sub-0025427_ses-7_connectome.csv,179,6757,0.424,2.359,358,358,358,178,178,178,0.247,0.276,0.57,0.248,0.255,0.604
Undirected,N/A,sub-0025427_ses-3_connectome.csv,179,6688,0.42,2.368,384,384,384,181,181,181,0.238,0.245,0.575,0.235,0.245,0.581
Undirected,N/A,sub-0025428_ses-2_connectome.csv,179,5803,0.364,2.129,375,375,375,180,180,180,0.217,0.234,0.49,0.213,0.223,0.509
Undirected,N/A,sub-0025428_ses-1_connectome.csv,180,6276,0.39,2.234,372,372,372,183,183,183,0.226,0.235,0.528,0.228,0.236,0.557
Undirected,N/A,sub-0025428_ses-3_connectome.csv,179,5748,0.361,2.109,384,384,384,181,181,181,0.219,0.23,0.491,0.215,0.218,0.49
Undirected,N/A,sub-0025428_ses-4_connectome.csv,180,6127,0.38,2.256,431,431,431,185,185,185,0.231,0.24,0.527,0.227,0.236,0.53
Undirected,N/A,sub-0025428_ses-9_connectome.csv,180,5796,0.36,2.38,429,429,429,180,180,180,0.223,0.229,0.487,0.215,0.426,0.5
Undirected,N/A,sub-0025428_ses-8_connectome.csv,180,6020,0.374,2.196,438,438,438,181,181,181,0.228,0.239,0.521,0.222,0.234,0.532
Undirected,N/A,sub-0025427_ses-9_connectome.csv,180,6468,0.401,2.415,388,388,388,185,185,185,0.243,0.258,0.552,0.241,0.257,0.577
Undirected,N/A,sub-0025428_ses-5_connectome.csv,180,6176,0.383,2.328,372,372,372,181,181,181,0.224,0.237,0.515,0.226,0.244,0.538
Undirected,N/A,sub-0025429_ses-10_connectome.csv,180,7962,0.494,2.488,411,411,411,185,185,185,0.268,0.281,0.681,0.269,0.286,0.679
Undirected,N/A,sub-0025428_ses-7_connectome.csv,180,6574,0.408,2.247,366,366,366,182,182,182,0.235,0.25,0.558,0.237,0.251,0.574
Undirected,N/A,sub-0025428_ses-6_connectome.csv,180,6604,0.41,2.203,355,355,355,180,180,180,0.248,0.259,0.564,0.241,0.26,0.596
Undirected,N/A,sub-0025429_ses-2_connectome.csv,179,6765,0.425,2.375,401,401,401,182,182,182,0.243,0.252,0.573,0.244,0.258,0.59
Undirected,N/A,sub-0025429_ses-3_connectome.csv,180,6148,0.382,2.388,403,403,403,181,181,181,0.232,0.242,0.495,0.227,0.238,0.514
Undirected,N/A,sub-0025429_ses-1_connectome.csv,180,6270,0.389,2.283,400,400,400,183,183,183,0.225,0.242,0.528,0.225,0.241,0.551
Undirected,N/A,sub-0025429_ses-5_connectome.csv,180,6826,0.424,2.404,413,413,413,181,181,181,0.235,0.251,0.581,0.234,0.248,0.604
Undirected,N/A,sub-0025429_ses-8_connectome.csv,180,6020,0.374,2.292,421,421,421,189,189,189,0.225,0.241,0.5,0.224,0.235,0.532
Undirected,N/A,sub-0025430_ses-1_connectome.csv,180,8961,0.556,2.457,418,418,418,181,181,181,0.285,0.295,0.756,0.287,0.306,0.816
Undirected,N/A,sub-0025429_ses-4_connectome.csv,180,6394,0.397,2.274,392,392,392,181,181,181,0.239,0.255,0.546,0.236,0.253,0.575
