type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-4_connectome.csv,83,2044,0.601,3.218,142,142,142,82,82,82,0.03,0.032,0.076,0.031,0.032,0.079
Undirected,N/A,sub-0025427_ses-2_connectome.csv,83,1831,0.538,2.727,134,134,134,83,83,83,0.03,0.031,0.07,0.033,0.032,0.073
Undirected,N/A,sub-0025427_ses-5_connectome.csv,83,2237,0.657,3.311,169,169,169,83,83,83,0.034,0.034,0.085,0.033,0.034,0.087
Undirected,N/A,sub-0025427_ses-6_connectome.csv,83,2043,0.6,2.986,165,165,165,82,82,82,0.033,0.033,0.374,0.032,0.032,0.078
Undirected,N/A,sub-0025427_ses-10_connectome.csv,83,1710,0.502,3.07,136,136,136,82,82,82,0.028,0.03,0.07,0.028,0.029,0.068
Undirected,N/A,sub-0025427_ses-3_connectome.csv,83,1852,0.544,2.907,136,136,136,83,83,83,0.03,0.032,0.071,0.032,0.031,0.074
Undirected,N/A,sub-0025427_ses-7_connectome.csv,83,2221,0.653,3.223,147,147,147,82,82,82,0.033,0.035,0.083,0.032,0.035,0.088
Undirected,N/A,sub-0025427_ses-1_connectome.csv,82,1615,0.486,3.221,150,150,150,81,81,81,0.028,0.029,0.062,0.028,0.028,0.064
Undirected,N/A,sub-0025427_ses-9_connectome.csv,83,1667,0.49,2.929,153,153,153,85,85,85,0.029,0.03,0.065,0.029,0.03,0.067
Undirected,N/A,sub-0025427_ses-8_connectome.csv,83,1753,0.515,3.145,140,140,140,82,82,82,0.03,0.031,0.068,0.03,0.031,0.072
Undirected,N/A,sub-0025428_ses-4_connectome.csv,83,1980,0.582,3.35,156,156,156,82,82,82,0.03,0.031,0.077,0.03,0.031,0.078
Undirected,N/A,sub-0025428_ses-1_connectome.csv,83,2004,0.589,3.213,147,147,147,82,82,82,0.031,0.032,0.078,0.031,0.032,0.078
Undirected,N/A,sub-0025428_ses-2_connectome.csv,83,1904,0.56,3.183,151,151,151,83,83,83,0.033,0.032,0.072,0.029,0.031,0.076
Undirected,N/A,sub-0025428_ses-3_connectome.csv,83,1976,0.581,3.066,163,163,163,82,82,82,0.031,0.032,0.077,0.032,0.032,0.077
Undirected,N/A,sub-0025428_ses-5_connectome.csv,83,1743,0.512,2.947,163,163,163,87,87,87,0.03,0.031,0.069,0.029,0.03,0.069
Undirected,N/A,sub-0025428_ses-10_connectome.csv,83,2023,0.594,2.813,151,151,151,82,82,82,0.032,0.033,0.075,0.031,0.032,0.08
Undirected,N/A,sub-0025428_ses-6_connectome.csv,83,2182,0.641,3.131,161,161,161,83,83,83,0.033,0.034,0.081,0.032,0.034,0.084
Undirected,N/A,sub-0025429_ses-10_connectome.csv,83,1991,0.585,3.283,164,164,164,87,87,87,0.032,0.033,0.076,0.033,0.032,0.077
Undirected,N/A,sub-0025429_ses-7_connectome.csv,83,1993,0.586,3.028,148,148,148,82,82,82,0.032,0.034,0.08,0.031,0.032,0.078
Undirected,N/A,sub-0025428_ses-8_connectome.csv,82,1797,0.541,2.934,154,154,154,81,81,81,0.031,0.03,0.068,0.029,0.03,0.072
Undirected,N/A,sub-0025429_ses-4_connectome.csv,82,1804,0.543,2.898,143,143,143,82,82,82,0.028,0.029,0.068,0.028,0.028,0.071
Undirected,N/A,sub-0025429_ses-5_connectome.csv,83,2019,0.593,3.167,154,154,154,82,82,82,0.031,0.032,0.076,0.031,0.032,0.082
Undirected,N/A,sub-0025429_ses-8_connectome.csv,83,1862,0.547,3.115,135,135,135,83,83,83,0.03,0.031,0.072,0.033,0.031,0.073
Undirected,N/A,sub-0025428_ses-9_connectome.csv,83,1987,0.584,2.981,159,159,159,88,88,88,0.031,0.033,0.076,0.031,0.032,0.077
Undirected,N/A,sub-0025430_ses-1_connectome.csv,83,2563,0.753,3.752,146,146,146,82,82,82,0.036,0.035,0.093,0.034,0.037,0.096
Undirected,N/A,sub-0025429_ses-6_connectome.csv,82,1909,0.575,3.364,138,138,138,81,81,81,0.03,0.032,0.073,0.03,0.03,0.073
Undirected,N/A,sub-0025429_ses-1_connectome.csv,83,1992,0.585,3.071,155,155,155,82,82,82,0.031,0.033,0.078,0.032,0.032,0.077
Undirected,N/A,sub-0025429_ses-3_connectome.csv,83,1913,0.562,3.161,151,151,151,82,82,82,0.029,0.031,0.074,0.029,0.031,0.075
Undirected,N/A,sub-0025430_ses-3_connectome.csv,83,2246,0.66,3.299,158,158,158,82,82,82,0.032,0.033,0.082,0.035,0.034,0.088
Undirected,N/A,sub-0025430_ses-2_connectome.csv,83,2332,0.685,3.447,154,154,154,82,82,82,0.032,0.033,0.086,0.035,0.033,0.088
Undirected,N/A,sub-0025430_ses-5_connectome.csv,83,2682,0.788,3.832,161,161,161,86,86,86,0.034,0.036,0.104,0.035,0.036,0.107
Undirected,N/A,sub-0025430_ses-7_connectome.csv,83,2537,0.746,3.566,150,150,150,87,87,87,0.033,0.035,0.097,0.037,0.035,0.095
Undirected,N/A,sub-0025429_ses-9_connectome.csv,83,2019,0.593,3.341,143,143,143,82,82,82,0.03,0.031,0.077,0.03,0.031,0.077
Undirected,N/A,sub-0025428_ses-7_connectome.csv,83,2009,0.59,2.874,161,161,161,82,82,82,0.03,0.032,0.078,0.03,0.031,0.079
Undirected,N/A,sub-0025430_ses-10_connectome.csv,83,2107,0.619,2.899,159,159,159,84,84,84,0.032,0.033,0.078,0.031,0.032,0.088
Undirected,N/A,sub-0025430_ses-4_connectome.csv,83,2284,0.671,3.255,151,151,151,84,84,84,0.031,0.033,0.084,0.033,0.033,0.085
Undirected,N/A,sub-0025429_ses-2_connectome.csv,83,1746,0.513,2.968,140,140,140,82,82,82,0.029,0.03,0.069,0.029,0.03,0.068
Undirected,N/A,sub-0025430_ses-6_connectome.csv,83,2600,0.764,3.746,155,155,155,82,82,82,0.034,0.037,0.095,0.034,0.034,0.099
Undirected,N/A,sub-0025430_ses-9_connectome.csv,83,2339,0.687,3.184,150,150,150,82,82,82,0.034,0.033,0.085,0.031,0.033,0.089
