type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-2_connectome.csv,48,686,0.608,3.421,70,70,70,47,47,47,0.007,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-0025427_ses-10_connectome.csv,45,689,0.696,3.18,61,61,61,44,44,44,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0025427_ses-3_connectome.csv,45,656,0.663,3.242,69,69,69,44,44,44,0.007,0.007,0.015,0.007,0.007,0.016
Undirected,N/A,sub-0025427_ses-4_connectome.csv,48,758,0.672,3.238,70,70,70,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0025427_ses-5_connectome.csv,48,864,0.766,3.763,73,73,73,47,47,47,0.008,0.009,0.02,0.009,0.009,0.022
Undirected,N/A,sub-0025427_ses-6_connectome.csv,48,778,0.69,3.398,79,79,79,47,47,47,0.008,0.008,0.018,0.009,0.008,0.019
Undirected,N/A,sub-0025427_ses-8_connectome.csv,48,746,0.661,3.545,68,68,68,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-0025427_ses-1_connectome.csv,48,704,0.624,3.656,75,75,75,47,47,47,0.007,0.008,0.018,0.007,0.008,0.018
Undirected,N/A,sub-0025427_ses-9_connectome.csv,48,762,0.676,3.275,75,75,75,47,47,47,0.008,0.009,0.02,0.008,0.009,0.019
Undirected,N/A,sub-0025427_ses-7_connectome.csv,48,762,0.676,3.004,71,71,71,47,47,47,0.008,0.008,0.018,0.008,0.009,0.214
Undirected,N/A,sub-0025428_ses-1_connectome.csv,48,739,0.655,3.635,74,74,74,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0025428_ses-10_connectome.csv,48,773,0.685,3.447,73,73,73,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0025428_ses-2_connectome.csv,48,740,0.656,3.676,78,78,78,47,47,47,0.008,0.008,0.017,0.007,0.008,0.02
Undirected,N/A,sub-0025428_ses-3_connectome.csv,48,744,0.66,3.505,74,74,74,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-0025428_ses-5_connectome.csv,48,634,0.562,3.494,63,63,63,47,47,47,0.007,0.007,0.016,0.007,0.008,0.016
Undirected,N/A,sub-0025428_ses-7_connectome.csv,48,749,0.664,3.3,67,67,67,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0025428_ses-6_connectome.csv,48,772,0.684,3.167,76,76,76,47,47,47,0.008,0.009,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0025428_ses-8_connectome.csv,48,721,0.639,3.413,74,74,74,47,47,47,0.008,0.008,0.017,0.008,0.008,0.019
Undirected,N/A,sub-0025428_ses-9_connectome.csv,48,659,0.584,3.49,73,73,73,47,47,47,0.007,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-0025429_ses-6_connectome.csv,48,783,0.694,2.828,78,78,78,47,47,47,0.009,0.009,0.019,0.008,0.009,0.02
Undirected,N/A,sub-0025429_ses-3_connectome.csv,48,746,0.661,2.991,66,66,66,47,47,47,0.007,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0025429_ses-7_connectome.csv,48,777,0.689,3.367,87,87,87,47,47,47,0.008,0.009,0.019,0.008,0.008,0.019
Undirected,N/A,sub-0025429_ses-5_connectome.csv,48,807,0.715,3.124,90,90,90,47,47,47,0.008,0.009,0.019,0.008,0.009,0.02
Undirected,N/A,sub-0025429_ses-4_connectome.csv,48,717,0.636,3.279,72,72,72,47,47,47,0.007,0.008,0.017,0.008,0.008,0.019
Undirected,N/A,sub-0025429_ses-2_connectome.csv,48,703,0.623,3.736,71,71,71,47,47,47,0.007,0.008,0.017,0.007,0.008,0.018
Undirected,N/A,sub-0025429_ses-10_connectome.csv,48,790,0.7,4.022,77,77,77,47,47,47,0.007,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-0025430_ses-3_connectome.csv,48,765,0.678,3.367,86,86,86,47,47,47,0.009,0.008,0.022,0.009,0.008,0.019
Undirected,N/A,sub-0025429_ses-1_connectome.csv,48,737,0.653,3.215,80,80,80,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-0025429_ses-9_connectome.csv,48,761,0.675,3.272,72,72,72,47,47,47,0.008,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-0025429_ses-8_connectome.csv,48,719,0.637,3.314,86,86,86,47,47,47,0.008,0.009,0.018,0.008,0.008,0.018
Undirected,N/A,sub-0025430_ses-4_connectome.csv,48,768,0.681,2.974,70,70,70,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0025430_ses-1_connectome.csv,48,884,0.784,3.845,81,81,81,47,47,47,0.008,0.008,0.02,0.009,0.009,0.023
Undirected,N/A,sub-0025430_ses-10_connectome.csv,48,708,0.628,3.317,91,91,91,47,47,47,0.008,0.008,0.018,0.007,0.008,0.02
Undirected,N/A,sub-0025430_ses-9_connectome.csv,48,787,0.698,3.545,84,84,84,47,47,47,0.008,0.009,0.019,0.008,0.008,0.019
Undirected,N/A,sub-0025430_ses-5_connectome.csv,48,822,0.729,3.252,75,75,75,47,47,47,0.008,0.008,0.02,0.009,0.009,0.02
Undirected,N/A,sub-0025431_ses-10_connectome.csv,48,791,0.701,2.845,69,69,69,47,47,47,0.008,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-0025430_ses-7_connectome.csv,48,939,0.832,4.13,88,88,88,47,47,47,0.009,0.009,0.022,0.009,0.01,0.023
Undirected,N/A,sub-0025431_ses-2_connectome.csv,48,733,0.65,3.319,83,83,83,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-0025430_ses-6_connectome.csv,48,827,0.733,3.453,79,79,79,48,48,48,0.008,0.008,0.02,0.008,0.008,0.02
