type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-10_connectome.csv,21,191,0.91,3.862,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025427_ses-1_connectome.csv,21,190,0.905,4.77,22,22,22,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025427_ses-2_connectome.csv,21,198,0.943,8.062,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.002,0.003
Undirected,N/A,sub-0025427_ses-4_connectome.csv,21,198,0.943,8.062,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025427_ses-3_connectome.csv,21,188,0.895,5.085,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025427_ses-6_connectome.csv,21,198,0.943,8.062,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025427_ses-5_connectome.csv,21,203,0.967,8.165,22,22,22,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025427_ses-8_connectome.csv,21,191,0.91,5.553,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025427_ses-7_connectome.csv,21,206,0.981,14.318,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025428_ses-8_connectome.csv,21,197,0.938,6.197,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025428_ses-1_connectome.csv,21,202,0.962,10.0,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025428_ses-5_connectome.csv,21,196,0.933,8.021,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025428_ses-7_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025429_ses-2_connectome.csv,21,198,0.943,6.213,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025428_ses-3_connectome.csv,21,203,0.967,7.053,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025428_ses-9_connectome.csv,21,202,0.962,7.036,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025427_ses-9_connectome.csv,21,180,0.857,5.916,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025429_ses-4_connectome.csv,21,201,0.957,9.975,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.004
Undirected,N/A,sub-0025428_ses-10_connectome.csv,21,207,0.986,7.124,23,23,23,20,20,20,0.001,0.002,0.003,0.001,0.001,0.004
Undirected,N/A,sub-0025429_ses-1_connectome.csv,21,209,0.995,7.159,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025428_ses-4_connectome.csv,21,200,0.952,9.95,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025429_ses-5_connectome.csv,21,210,1.0,14.457,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025429_ses-7_connectome.csv,21,209,0.995,10.173,22,22,22,20,20,20,0.001,0.001,0.003,0.002,0.001,0.003
Undirected,N/A,sub-0025428_ses-2_connectome.csv,21,183,0.871,7.746,23,23,23,20,20,20,0.001,0.001,0.002,0.001,0.001,0.003
Undirected,N/A,sub-0025429_ses-3_connectome.csv,21,198,0.943,8.062,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025429_ses-6_connectome.csv,21,203,0.967,8.165,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025430_ses-1_connectome.csv,21,210,1.0,14.457,31,31,31,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025428_ses-6_connectome.csv,21,207,0.986,7.124,25,25,25,20,20,20,0.001,0.001,0.003,0.002,0.001,0.003
Undirected,N/A,sub-0025429_ses-10_connectome.csv,21,207,0.986,14.353,25,25,25,20,20,20,0.001,0.002,0.004,0.002,0.002,0.003
Undirected,N/A,sub-0025429_ses-9_connectome.csv,21,201,0.957,4.619,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025430_ses-2_connectome.csv,21,210,1.0,10.198,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025429_ses-8_connectome.csv,21,197,0.938,9.874,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025430_ses-10_connectome.csv,21,206,0.981,10.1,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025430_ses-8_connectome.csv,21,206,0.981,14.318,32,32,32,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025430_ses-3_connectome.csv,21,210,1.0,14.457,33,33,33,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025431_ses-5_connectome.csv,21,204,0.971,6.309,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025430_ses-9_connectome.csv,21,209,0.995,14.422,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025430_ses-6_connectome.csv,21,207,0.986,7.124,32,32,32,20,20,20,0.002,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025431_ses-10_connectome.csv,21,208,0.99,8.266,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025430_ses-7_connectome.csv,21,210,1.0,14.457,31,31,31,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025431_ses-1_connectome.csv,21,197,0.938,6.197,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025431_ses-2_connectome.csv,21,195,0.929,6.91,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025431_ses-4_connectome.csv,21,209,0.995,5.012,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025430_ses-4_connectome.csv,21,210,1.0,14.457,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025431_ses-8_connectome.csv,21,197,0.938,8.042,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025431_ses-6_connectome.csv,21,206,0.981,8.226,22,22,22,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025431_ses-9_connectome.csv,21,207,0.986,10.124,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025432_ses-10_connectome.csv,21,190,0.905,6.083,22,22,22,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025430_ses-5_connectome.csv,21,210,1.0,14.457,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025431_ses-7_connectome.csv,21,207,0.986,7.124,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025432_ses-1_connectome.csv,21,195,0.929,6.91,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025432_ses-3_connectome.csv,21,180,0.857,4.637,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025432_ses-4_connectome.csv,21,189,0.9,5.523,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025432_ses-9_connectome.csv,21,198,0.943,5.657,21,21,21,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025432_ses-2_connectome.csv,21,185,0.881,6.0,22,22,22,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025431_ses-3_connectome.csv,21,203,0.967,14.213,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025432_ses-8_connectome.csv,21,176,0.838,9.327,23,23,23,20,20,20,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025432_ses-6_connectome.csv,21,207,0.986,4.438,22,22,22,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025432_ses-7_connectome.csv,21,173,0.824,5.797,23,23,23,20,20,20,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025432_ses-5_connectome.csv,21,168,0.8,3.975,21,21,21,20,20,20,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025433_ses-10_connectome.csv,21,202,0.962,6.277,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025433_ses-1_connectome.csv,21,194,0.924,5.598,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025433_ses-3_connectome.csv,21,194,0.924,4.822,25,25,25,20,20,20,0.002,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025433_ses-2_connectome.csv,21,195,0.929,4.301,21,21,21,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025433_ses-5_connectome.csv,21,206,0.981,5.332,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025433_ses-8_connectome.csv,21,196,0.933,9.849,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025433_ses-6_connectome.csv,21,208,0.99,14.387,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025434_ses-3_connectome.csv,21,202,0.962,7.036,27,27,27,20,20,20,0.002,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025434_ses-1_connectome.csv,21,205,0.976,4.962,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025434_ses-10_connectome.csv,21,203,0.967,6.293,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025433_ses-9_connectome.csv,21,201,0.957,4.912,22,22,22,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025434_ses-6_connectome.csv,21,203,0.967,8.165,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025434_ses-5_connectome.csv,21,199,0.948,6.982,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025434_ses-4_connectome.csv,21,204,0.971,14.248,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025434_ses-9_connectome.csv,21,202,0.962,8.145,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025435_ses-1_connectome.csv,21,199,0.948,9.925,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025433_ses-7_connectome.csv,21,186,0.886,7.81,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025434_ses-8_connectome.csv,21,205,0.976,8.206,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025434_ses-7_connectome.csv,21,204,0.971,7.071,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025435_ses-3_connectome.csv,21,209,0.995,10.173,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025434_ses-2_connectome.csv,21,207,0.986,14.353,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025435_ses-5_connectome.csv,21,205,0.976,10.075,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.002,0.003
Undirected,N/A,sub-0025435_ses-2_connectome.csv,21,209,0.995,8.287,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025435_ses-10_connectome.csv,21,203,0.967,8.165,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025435_ses-8_connectome.csv,21,209,0.995,14.422,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025433_ses-4_connectome.csv,21,201,0.957,6.261,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025436_ses-10_connectome.csv,21,202,0.962,14.177,25,25,25,20,20,20,0.001,0.001,0.003,0.002,0.001,0.003
Undirected,N/A,sub-0025436_ses-3_connectome.csv,21,207,0.986,14.353,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025435_ses-7_connectome.csv,21,208,0.99,7.141,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025436_ses-5_connectome.csv,21,210,1.0,14.457,21,21,21,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025435_ses-9_connectome.csv,21,208,0.99,8.266,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025436_ses-1_connectome.csv,21,197,0.938,5.21,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025436_ses-4_connectome.csv,21,206,0.981,4.975,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025436_ses-7_connectome.csv,21,209,0.995,14.422,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025435_ses-6_connectome.csv,21,200,0.952,7.0,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025437_ses-10_connectome.csv,21,204,0.971,8.185,31,31,31,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025436_ses-9_connectome.csv,21,209,0.995,8.287,22,22,22,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025436_ses-8_connectome.csv,21,202,0.962,7.036,25,25,25,20,20,20,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025437_ses-1_connectome.csv,21,203,0.967,10.025,27,27,27,20,20,20,0.001,0.002,0.005,0.001,0.001,0.003
Undirected,N/A,sub-0025436_ses-6_connectome.csv,21,204,0.971,5.745,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025436_ses-2_connectome.csv,21,198,0.943,14.036,23,23,23,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025437_ses-6_connectome.csv,21,208,0.99,14.387,22,22,22,20,20,20,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025437_ses-3_connectome.csv,21,209,0.995,7.159,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
