type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-2_connectome.csv,46,512,0.495,2.771,70,70,70,46,46,46,0.006,0.006,0.013,0.006,0.006,0.013
Undirected,N/A,sub-0025427_ses-1_connectome.csv,39,373,0.503,3.653,52,52,52,38,38,38,0.004,0.004,0.009,0.004,0.004,0.009
Undirected,N/A,sub-0025427_ses-3_connectome.csv,34,339,0.604,3.544,44,44,44,33,33,33,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025427_ses-10_connectome.csv,47,557,0.515,4.613,68,68,68,46,46,46,0.007,0.007,0.014,0.007,0.007,0.015
Undirected,N/A,sub-0025427_ses-7_connectome.csv,48,651,0.577,3.505,70,70,70,49,49,49,0.007,0.008,0.017,0.008,0.008,0.018
Undirected,N/A,sub-0025427_ses-6_connectome.csv,47,530,0.49,3.365,64,64,64,46,46,46,0.006,0.007,0.014,0.006,0.007,0.015
Undirected,N/A,sub-0025428_ses-1_connectome.csv,48,580,0.514,2.615,75,75,75,47,47,47,0.007,0.008,0.015,0.007,0.008,0.016
Undirected,N/A,sub-0025428_ses-10_connectome.csv,48,510,0.452,2.876,62,62,62,47,47,47,0.006,0.006,0.014,0.006,0.006,0.014
Undirected,N/A,sub-0025428_ses-4_connectome.csv,48,597,0.529,2.861,75,75,75,47,47,47,0.007,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-0025427_ses-4_connectome.csv,47,569,0.526,3.637,66,66,66,46,46,46,0.007,0.007,0.015,0.007,0.007,0.015
Undirected,N/A,sub-0025428_ses-5_connectome.csv,48,511,0.453,3.386,70,70,70,47,47,47,0.006,0.007,0.013,0.006,0.006,0.014
Undirected,N/A,sub-0025427_ses-5_connectome.csv,37,444,0.667,3.269,47,47,47,36,36,36,0.004,0.004,0.009,0.004,0.004,0.009
Undirected,N/A,sub-0025428_ses-7_connectome.csv,48,520,0.461,3.033,81,81,81,47,47,47,0.007,0.007,0.014,0.007,0.007,0.015
Undirected,N/A,sub-0025427_ses-8_connectome.csv,47,586,0.542,3.745,68,68,68,47,47,47,0.007,0.007,0.015,0.007,0.007,0.016
Undirected,N/A,sub-0025429_ses-10_connectome.csv,48,641,0.568,2.768,76,76,76,47,47,47,0.007,0.008,0.016,0.007,0.008,0.018
Undirected,N/A,sub-0025428_ses-3_connectome.csv,48,573,0.508,2.924,76,76,76,47,47,47,0.007,0.008,0.015,0.007,0.007,0.016
Undirected,N/A,sub-0025428_ses-8_connectome.csv,48,507,0.449,3.128,77,77,77,47,47,47,0.006,0.007,0.013,0.006,0.006,0.014
Undirected,N/A,sub-0025428_ses-9_connectome.csv,48,481,0.426,3.414,59,59,59,48,48,48,0.006,0.006,0.013,0.006,0.006,0.013
Undirected,N/A,sub-0025429_ses-2_connectome.csv,38,387,0.55,3.651,50,50,50,38,38,38,0.004,0.004,0.008,0.004,0.004,0.009
Undirected,N/A,sub-0025429_ses-1_connectome.csv,41,407,0.496,3.029,61,61,61,40,40,40,0.005,0.005,0.01,0.005,0.005,0.01
Undirected,N/A,sub-0025427_ses-9_connectome.csv,43,414,0.458,3.146,58,58,58,44,44,44,0.005,0.005,0.01,0.005,0.005,0.011
Undirected,N/A,sub-0025428_ses-2_connectome.csv,48,553,0.49,3.281,76,76,76,47,47,47,0.006,0.007,0.014,0.006,0.007,0.015
Undirected,N/A,sub-0025428_ses-6_connectome.csv,48,568,0.504,2.625,64,64,64,47,47,47,0.007,0.007,0.015,0.007,0.007,0.015
Undirected,N/A,sub-0025429_ses-8_connectome.csv,48,529,0.469,3.095,67,67,67,47,47,47,0.006,0.007,0.014,0.007,0.007,0.014
Undirected,N/A,sub-0025429_ses-5_connectome.csv,48,539,0.478,3.127,65,65,65,47,47,47,0.006,0.007,0.014,0.006,0.007,0.014
Undirected,N/A,sub-0025429_ses-4_connectome.csv,48,462,0.41,2.903,68,68,68,47,47,47,0.006,0.006,0.013,0.006,0.006,0.013
