type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-1_connectome.csv,96,1492,0.327,3.223,181,181,181,100,100,100,0.034,0.035,0.072,0.032,0.034,0.076
Undirected,N/A,sub-0025427_ses-2_connectome.csv,86,1396,0.382,2.76,156,156,156,86,86,86,0.03,0.03,0.059,0.029,0.03,0.06
Undirected,N/A,sub-0025427_ses-5_connectome.csv,87,1971,0.527,2.873,175,175,175,89,89,89,0.035,0.037,0.082,0.036,0.036,0.084
Undirected,N/A,sub-0025427_ses-3_connectome.csv,75,1408,0.507,3.541,149,149,149,74,74,74,0.023,0.025,0.054,0.023,0.023,0.053
Undirected,N/A,sub-0025427_ses-10_connectome.csv,70,1115,0.462,3.778,147,147,147,69,69,69,0.017,0.018,0.039,0.019,0.028,0.04
Undirected,N/A,sub-0025427_ses-4_connectome.csv,82,1495,0.45,3.148,162,162,162,82,82,82,0.026,0.027,0.06,0.027,0.027,0.061
Undirected,N/A,sub-0025427_ses-8_connectome.csv,83,1366,0.401,2.826,143,143,143,83,83,83,0.025,0.026,0.058,0.026,0.026,0.058
Undirected,N/A,sub-0025427_ses-7_connectome.csv,86,1726,0.472,2.747,155,155,155,86,86,86,0.032,0.034,0.073,0.04,0.034,0.073
Undirected,N/A,sub-0025428_ses-2_connectome.csv,98,1922,0.404,3.028,210,210,210,101,101,101,0.042,0.047,0.091,0.04,0.042,0.093
Undirected,N/A,sub-0025428_ses-4_connectome.csv,99,2004,0.413,3.029,195,195,195,101,101,101,0.044,0.045,0.094,0.042,0.045,0.099
Undirected,N/A,sub-0025427_ses-9_connectome.csv,95,1383,0.31,3.004,168,168,168,101,101,101,0.028,0.03,0.066,0.027,0.029,0.066
Undirected,N/A,sub-0025428_ses-10_connectome.csv,94,1712,0.392,2.822,181,181,181,104,104,104,0.034,0.036,0.077,0.033,0.034,0.08
Undirected,N/A,sub-0025428_ses-3_connectome.csv,86,1664,0.455,2.964,179,179,179,88,88,88,0.032,0.034,0.068,0.031,0.036,0.073
Undirected,N/A,sub-0025427_ses-6_connectome.csv,92,1479,0.353,3.221,165,165,165,100,100,100,0.03,0.032,0.068,0.03,0.031,0.069
Undirected,N/A,sub-0025428_ses-1_connectome.csv,99,2130,0.439,2.694,214,214,214,106,106,106,0.044,0.047,0.099,0.043,0.045,0.104
Undirected,N/A,sub-0025428_ses-9_connectome.csv,93,1699,0.397,3.059,168,168,168,94,94,94,0.036,0.037,0.076,0.035,0.037,0.079
Undirected,N/A,sub-0025428_ses-7_connectome.csv,102,1951,0.379,3.166,200,200,200,107,107,107,0.043,0.046,0.098,0.043,0.043,0.099
Undirected,N/A,sub-0025429_ses-6_connectome.csv,100,1962,0.396,3.036,188,188,188,105,105,105,0.041,0.045,0.092,0.041,0.043,0.098
Undirected,N/A,sub-0025429_ses-10_connectome.csv,98,2060,0.433,2.76,185,185,185,101,101,101,0.044,0.045,0.096,0.043,0.045,0.098
Undirected,N/A,sub-0025428_ses-6_connectome.csv,98,1935,0.407,2.821,198,198,198,101,101,101,0.041,0.044,0.091,0.039,0.041,0.094
Undirected,N/A,sub-0025429_ses-4_connectome.csv,92,1794,0.429,3.287,199,199,199,98,98,98,0.037,0.038,0.086,0.036,0.036,0.08
Undirected,N/A,sub-0025429_ses-1_connectome.csv,89,1714,0.438,2.816,201,201,201,99,99,99,0.035,0.037,0.076,0.033,0.035,0.075
Undirected,N/A,sub-0025429_ses-2_connectome.csv,85,1596,0.447,3.507,167,167,167,89,89,89,0.031,0.032,0.064,0.03,0.031,0.067
Undirected,N/A,sub-0025428_ses-8_connectome.csv,101,1798,0.356,2.803,193,193,193,103,103,103,0.042,0.043,0.087,0.04,0.043,0.089
