type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-3_connectome.csv,62,856,0.453,2.864,68,68,68,61,61,61,0.011,0.012,0.026,0.014,0.013,0.026
Undirected,N/A,sub-0025427_ses-10_connectome.csv,62,822,0.435,2.925,79,79,79,62,62,62,0.011,0.012,0.024,0.011,0.012,0.025
Undirected,N/A,sub-0025427_ses-6_connectome.csv,66,1096,0.511,2.852,88,88,88,67,67,67,0.014,0.016,0.036,0.015,0.015,0.034
Undirected,N/A,sub-0025427_ses-2_connectome.csv,65,1077,0.518,2.653,79,79,79,65,65,65,0.013,0.014,0.031,0.014,0.015,0.034
Undirected,N/A,sub-0025427_ses-9_connectome.csv,66,882,0.411,2.845,82,82,82,66,66,66,0.013,0.013,0.027,0.013,0.013,0.029
Undirected,N/A,sub-0025427_ses-1_connectome.csv,64,920,0.456,2.771,76,76,76,64,64,64,0.012,0.014,0.03,0.013,0.014,0.03
Undirected,N/A,sub-0025427_ses-5_connectome.csv,65,1256,0.604,3.12,90,90,90,67,67,67,0.015,0.016,0.036,0.015,0.016,0.038
Undirected,N/A,sub-0025428_ses-1_connectome.csv,66,1137,0.53,2.871,103,103,103,65,65,65,0.015,0.016,0.036,0.015,0.016,0.036
Undirected,N/A,sub-0025427_ses-4_connectome.csv,63,1077,0.551,3.092,78,78,78,62,62,62,0.013,0.014,0.031,0.014,0.014,0.033
Undirected,N/A,sub-0025428_ses-2_connectome.csv,64,887,0.44,2.774,95,95,95,64,64,64,0.013,0.014,0.028,0.012,0.013,0.028
Undirected,N/A,sub-0025427_ses-7_connectome.csv,66,1220,0.569,2.947,94,94,94,80,80,80,0.015,0.016,0.036,0.015,0.017,0.039
Undirected,N/A,sub-0025428_ses-10_connectome.csv,65,1101,0.529,3.199,80,80,80,65,65,65,0.014,0.015,0.033,0.015,0.015,0.034
Undirected,N/A,sub-0025427_ses-8_connectome.csv,66,1013,0.472,2.794,81,81,81,66,66,66,0.014,0.015,0.031,0.014,0.015,0.032
Undirected,N/A,sub-0025429_ses-10_connectome.csv,65,1158,0.557,2.764,91,91,91,67,67,67,0.014,0.015,0.034,0.015,0.015,0.038
Undirected,N/A,sub-0025428_ses-8_connectome.csv,66,1035,0.483,2.815,94,94,94,65,65,65,0.014,0.015,0.033,0.015,0.015,0.033
Undirected,N/A,sub-0025428_ses-4_connectome.csv,65,1089,0.524,2.983,95,95,95,64,64,64,0.014,0.015,0.033,0.015,0.015,0.034
Undirected,N/A,sub-0025428_ses-6_connectome.csv,66,1136,0.53,2.746,88,88,88,65,65,65,0.015,0.016,0.034,0.015,0.016,0.036
Undirected,N/A,sub-0025429_ses-3_connectome.csv,66,970,0.452,2.727,84,84,84,73,73,73,0.014,0.015,0.03,0.014,0.014,0.031
Undirected,N/A,sub-0025429_ses-1_connectome.csv,65,975,0.469,2.762,83,83,83,67,67,67,0.013,0.014,0.029,0.014,0.015,0.031
Undirected,N/A,sub-0025429_ses-4_connectome.csv,65,907,0.436,3.193,84,84,84,67,67,67,0.012,0.013,0.027,0.013,0.013,0.029
Undirected,N/A,sub-0025428_ses-9_connectome.csv,65,1076,0.517,2.863,87,87,87,64,64,64,0.014,0.015,0.032,0.014,0.016,0.034
Undirected,N/A,sub-0025429_ses-6_connectome.csv,65,926,0.445,2.696,77,77,77,65,65,65,0.012,0.014,0.031,0.015,0.014,0.03
Undirected,N/A,sub-0025429_ses-5_connectome.csv,66,1084,0.505,2.917,83,83,83,66,66,66,0.015,0.015,0.033,0.015,0.016,0.034
Undirected,N/A,sub-0025428_ses-5_connectome.csv,65,1008,0.485,3.213,89,89,89,64,64,64,0.013,0.015,0.031,0.014,0.015,0.031
Undirected,N/A,sub-0025429_ses-2_connectome.csv,64,896,0.444,2.837,84,84,84,69,69,69,0.013,0.013,0.026,0.013,0.014,0.028
