type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-3_connectome.csv,5,8,0.8,2.646,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0025427_ses-6_connectome.csv,7,17,0.81,4.0,6,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0025427_ses-9_connectome.csv,2,1,1.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0025428_ses-4_connectome.csv,23,177,0.7,4.596,29,29,29,22,22,22,0.001,0.001,0.003,0.001,0.002,0.003
Undirected,N/A,sub-0025428_ses-10_connectome.csv,23,162,0.64,3.899,29,29,29,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025427_ses-8_connectome.csv,5,10,1.0,3.0,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0025428_ses-2_connectome.csv,23,138,0.545,3.578,26,26,26,22,22,22,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025428_ses-1_connectome.csv,27,183,0.521,4.159,34,34,34,26,26,26,0.002,0.002,0.004,0.002,0.002,0.004
Undirected,N/A,sub-0025428_ses-5_connectome.csv,23,138,0.545,3.578,27,27,27,23,23,23,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025428_ses-6_connectome.csv,22,172,0.745,2.838,28,28,28,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025429_ses-5_connectome.csv,21,186,0.886,4.195,25,25,25,20,20,20,0.002,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025429_ses-1_connectome.csv,24,145,0.525,3.187,29,29,29,24,24,24,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025429_ses-3_connectome.csv,22,119,0.515,4.775,30,30,30,24,24,24,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0025429_ses-10_connectome.csv,18,124,0.81,3.376,20,20,20,17,17,17,0.001,0.001,0.002,0.001,0.001,0.002
