type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-10_connectome.csv,198,5546,0.284,2.604,430,430,430,202,202,202,0.221,0.232,0.523,0.214,0.229,0.537
Undirected,N/A,sub-0025427_ses-3_connectome.csv,200,5687,0.286,2.503,411,411,411,201,201,201,0.232,0.25,0.534,0.229,0.249,0.566
Undirected,N/A,sub-0025427_ses-2_connectome.csv,200,5082,0.255,2.529,443,443,443,202,202,202,0.276,0.225,0.505,0.212,0.219,0.517
Undirected,N/A,sub-0025427_ses-1_connectome.csv,200,5406,0.272,2.748,439,439,439,202,202,202,0.23,0.242,0.517,0.224,0.253,0.537
Undirected,N/A,sub-0025427_ses-4_connectome.csv,200,5591,0.281,2.437,456,456,456,199,199,199,0.24,0.262,0.542,0.237,0.251,0.564
Undirected,N/A,sub-0025427_ses-8_connectome.csv,200,5230,0.263,2.641,408,408,408,201,201,201,0.22,0.233,0.504,0.218,0.23,0.536
Undirected,N/A,sub-0025427_ses-6_connectome.csv,200,5912,0.297,2.546,430,430,430,200,200,200,0.248,0.257,0.559,0.246,0.274,0.579
Undirected,N/A,sub-0025427_ses-5_connectome.csv,200,6710,0.337,2.529,446,446,446,199,199,199,0.26,0.269,0.634,0.259,0.27,0.67
Undirected,N/A,sub-0025427_ses-9_connectome.csv,200,5241,0.263,2.49,447,447,447,206,206,206,0.219,0.228,0.509,0.209,0.224,0.518
Undirected,N/A,sub-0025427_ses-7_connectome.csv,200,6123,0.308,2.311,448,448,448,201,201,201,0.26,0.28,0.574,0.257,0.278,0.626
Undirected,N/A,sub-0025428_ses-10_connectome.csv,200,5764,0.29,2.526,470,470,470,203,203,203,0.245,0.25,0.555,0.239,0.245,0.588
Undirected,N/A,sub-0025428_ses-1_connectome.csv,200,5681,0.285,2.486,442,442,442,200,200,200,0.244,0.257,0.563,0.243,0.254,0.564
Undirected,N/A,sub-0025428_ses-3_connectome.csv,200,5406,0.272,2.396,426,426,426,201,201,201,0.232,0.243,0.519,0.229,0.238,0.55
Undirected,N/A,sub-0025428_ses-2_connectome.csv,200,5138,0.258,2.537,428,428,428,199,199,199,0.224,0.237,0.506,0.223,0.239,0.51
Undirected,N/A,sub-0025428_ses-7_connectome.csv,200,5555,0.279,2.508,460,460,460,202,202,202,0.223,0.238,0.551,0.219,0.234,0.56
Undirected,N/A,sub-0025428_ses-5_connectome.csv,200,5437,0.273,2.523,447,447,447,201,201,201,0.238,0.267,0.517,0.235,0.246,0.562
Undirected,N/A,sub-0025429_ses-3_connectome.csv,200,5602,0.282,2.399,441,441,441,204,204,204,0.235,0.247,0.548,0.233,0.244,0.562
Undirected,N/A,sub-0025429_ses-2_connectome.csv,199,5243,0.266,2.463,428,428,428,198,198,198,0.228,0.236,0.49,0.218,0.244,0.514
Undirected,N/A,sub-0025428_ses-4_connectome.csv,200,5513,0.277,2.385,451,451,451,202,202,202,0.238,0.25,0.536,0.235,0.25,0.55
Undirected,N/A,sub-0025429_ses-4_connectome.csv,200,5080,0.255,2.531,447,447,447,201,201,201,0.218,0.228,0.48,0.215,0.224,0.49
Undirected,N/A,sub-0025428_ses-6_connectome.csv,200,5561,0.279,2.431,371,371,371,201,201,201,0.236,0.25,0.546,0.236,0.251,0.555
Undirected,N/A,sub-0025428_ses-9_connectome.csv,200,4834,0.243,2.375,445,445,445,202,202,202,0.228,0.238,0.466,0.219,0.243,0.482
Undirected,N/A,sub-0025429_ses-1_connectome.csv,200,5294,0.266,2.502,388,388,388,200,200,200,0.228,0.244,0.512,0.225,0.239,0.532
Undirected,N/A,sub-0025429_ses-5_connectome.csv,200,5731,0.288,2.377,406,406,406,201,201,201,0.25,0.255,0.916,0.24,0.255,0.561
Undirected,N/A,sub-0025429_ses-7_connectome.csv,199,5364,0.272,2.51,458,458,458,204,204,204,0.227,0.236,0.518,0.225,0.235,0.529
Undirected,N/A,sub-0025429_ses-6_connectome.csv,200,5793,0.291,2.5,465,465,465,199,199,199,0.257,0.256,0.559,0.244,0.28,0.58
Undirected,N/A,sub-0025429_ses-9_connectome.csv,200,5622,0.283,2.587,406,406,406,204,204,204,0.241,0.255,0.546,0.24,0.258,0.563
Undirected,N/A,sub-0025428_ses-8_connectome.csv,200,5180,0.26,2.408,431,431,431,199,199,199,0.223,0.237,0.489,0.219,0.243,0.502
Undirected,N/A,sub-0025430_ses-2_connectome.csv,200,5828,0.293,2.502,430,430,430,200,200,200,0.256,0.272,0.577,0.254,0.269,0.59
Undirected,N/A,sub-0025429_ses-8_connectome.csv,200,5358,0.269,2.494,437,437,437,205,205,205,0.233,0.245,0.508,0.229,0.243,0.54
Undirected,N/A,sub-0025429_ses-10_connectome.csv,200,6245,0.314,2.474,410,410,410,205,205,205,0.271,0.281,0.606,0.273,0.282,0.604
Undirected,N/A,sub-0025430_ses-10_connectome.csv,199,6006,0.305,2.487,429,429,429,202,202,202,0.28,0.276,0.566,0.261,0.28,0.585
Undirected,N/A,sub-0025430_ses-1_connectome.csv,200,8184,0.411,2.373,419,419,419,201,201,201,0.337,0.344,0.763,0.336,0.341,0.791
Undirected,N/A,sub-0025431_ses-1_connectome.csv,200,5652,0.284,2.601,418,418,418,200,200,200,0.224,0.234,0.541,0.22,0.232,0.561
Undirected,N/A,sub-0025431_ses-10_connectome.csv,200,5984,0.301,2.502,462,462,462,199,199,199,0.241,0.252,0.57,0.236,0.248,0.613
Undirected,N/A,sub-0025431_ses-2_connectome.csv,200,5637,0.283,2.505,463,463,463,200,200,200,0.236,0.247,0.535,0.241,0.239,0.538
Undirected,N/A,sub-0025430_ses-4_connectome.csv,200,6587,0.331,2.389,443,443,443,201,201,201,0.289,0.297,0.626,0.291,0.296,0.638
Undirected,N/A,sub-0025430_ses-7_connectome.csv,200,8229,0.414,2.335,436,436,436,200,200,200,0.367,0.361,0.788,0.357,0.357,0.806
Undirected,N/A,sub-0025430_ses-5_connectome.csv,200,6926,0.348,2.3,413,413,413,199,199,199,0.323,0.326,0.691,0.312,0.321,0.686
Undirected,N/A,sub-0025430_ses-3_connectome.csv,199,5963,0.303,2.528,453,453,453,200,200,200,0.265,0.286,0.571,0.259,0.284,0.589
Undirected,N/A,sub-0025430_ses-6_connectome.csv,198,6648,0.341,2.475,410,410,410,200,200,200,0.298,0.335,0.618,0.293,0.302,0.661
