type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-10_connectome.csv,724,21370,0.082,1.776,1492,1492,1492,873,873,873,4.867,5.095,9.063,4.766,4.937,9.021
Undirected,N/A,sub-0025427_ses-1_connectome.csv,724,18717,0.072,1.796,1385,1385,1385,877,877,877,4.296,4.499,7.74,4.29,4.428,7.833
Undirected,N/A,sub-0025427_ses-3_connectome.csv,660,17349,0.08,1.764,1275,1275,1275,791,791,791,3.566,3.725,6.526,3.505,3.644,6.515
Undirected,N/A,sub-0025427_ses-2_connectome.csv,670,15637,0.07,1.737,1183,1183,1183,806,806,806,3.382,3.495,5.916,3.264,3.409,5.868
Undirected,N/A,sub-0025427_ses-4_connectome.csv,709,18920,0.075,1.726,1309,1309,1309,821,821,821,4.266,4.387,7.724,4.493,4.248,7.5
Undirected,N/A,sub-0025428_ses-10_connectome.csv,763,21010,0.072,1.648,1384,1384,1384,927,927,927,5.214,5.459,9.288,5.07,5.373,9.45
Undirected,N/A,sub-0025427_ses-7_connectome.csv,768,21986,0.075,1.689,1454,1454,1454,894,894,894,5.394,5.72,10.076,5.454,5.621,10.1
Undirected,N/A,sub-0025427_ses-8_connectome.csv,714,19166,0.075,1.714,1339,1339,1339,899,899,899,4.333,4.519,7.784,4.316,4.509,7.769
Undirected,N/A,sub-0025427_ses-5_connectome.csv,701,22576,0.092,1.756,1285,1285,1285,808,808,808,4.975,5.15,9.066,4.947,5.044,9.119
Undirected,N/A,sub-0025427_ses-6_connectome.csv,743,21235,0.077,1.781,1419,1419,1419,929,929,929,5.056,5.31,9.078,4.981,5.197,9.014
Undirected,N/A,sub-0025427_ses-9_connectome.csv,730,20898,0.079,1.783,1403,1403,1403,885,885,885,4.73,4.98,8.713,4.7,4.887,8.734
Undirected,N/A,sub-0025428_ses-5_connectome.csv,719,16748,0.065,1.694,1393,1393,1393,910,910,910,3.848,4.05,6.64,3.814,4.001,6.764
Undirected,N/A,sub-0025428_ses-3_connectome.csv,706,17743,0.071,1.686,1399,1399,1399,903,903,903,4.086,4.222,6.976,4.016,4.179,7.031
Undirected,N/A,sub-0025428_ses-1_connectome.csv,737,19414,0.072,1.694,1468,1468,1468,930,930,930,4.639,4.881,8.306,4.556,4.752,8.196
Undirected,N/A,sub-0025428_ses-2_connectome.csv,715,18498,0.072,1.713,1377,1377,1377,905,905,905,4.311,4.736,7.402,4.162,4.383,7.514
Undirected,N/A,sub-0025428_ses-4_connectome.csv,724,17873,0.068,1.651,1367,1367,1367,875,875,875,4.251,4.487,7.416,4.139,4.373,7.468
