type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025427_ses-2_connectome.csv,551,26403,0.174,2.045,1309,1309,1309,854,854,854,4.117,4.311,7.928,4.5,4.295,7.995
Undirected,N/A,sub-0025427_ses-1_connectome.csv,536,23652,0.165,2.155,1277,1277,1277,850,850,850,3.506,3.64,6.728,3.468,3.657,6.852
Undirected,N/A,sub-0025427_ses-3_connectome.csv,530,24659,0.176,2.087,1272,1272,1272,825,825,825,3.482,3.702,7.068,3.538,3.72,7.162
Undirected,N/A,sub-0025427_ses-5_connectome.csv,576,33949,0.205,2.129,1322,1322,1322,843,843,843,5.516,5.862,11.225,5.668,5.946,11.56
Undirected,N/A,sub-0025427_ses-8_connectome.csv,568,27684,0.172,2.1,1277,1277,1277,850,850,850,4.439,4.653,8.711,4.448,4.678,8.973
Undirected,N/A,sub-0025427_ses-4_connectome.csv,565,30032,0.188,2.12,1299,1299,1299,859,859,859,4.779,5.015,9.577,4.854,5.039,9.91
Undirected,N/A,sub-0025427_ses-7_connectome.csv,551,31938,0.211,2.115,1249,1249,1249,841,841,841,5.124,5.405,10.034,5.202,5.455,10.298
Undirected,N/A,sub-0025427_ses-10_connectome.csv,494,20752,0.17,2.134,1189,1189,1189,836,836,836,2.83,2.926,5.281,2.823,2.927,5.365
Undirected,N/A,sub-0025428_ses-10_connectome.csv,570,28700,0.177,2.138,1284,1284,1284,865,865,865,4.496,4.789,9.107,4.467,4.769,9.23
Undirected,N/A,sub-0025428_ses-1_connectome.csv,572,28970,0.177,2.072,1307,1307,1307,912,912,912,4.662,4.961,9.249,4.791,5.113,9.539
Undirected,N/A,sub-0025427_ses-6_connectome.csv,584,30922,0.182,2.134,1450,1450,1450,929,929,929,5.202,5.461,10.197,5.138,5.474,10.657
Undirected,N/A,sub-0025427_ses-9_connectome.csv,546,22466,0.151,2.114,1233,1233,1233,841,841,841,3.26,3.416,6.374,3.278,3.396,6.542
Undirected,N/A,sub-0025428_ses-2_connectome.csv,559,27022,0.173,2.125,1347,1347,1347,908,908,908,4.101,4.308,8.188,4.159,4.391,8.501
Undirected,N/A,sub-0025428_ses-3_connectome.csv,539,25829,0.178,2.076,1410,1410,1410,1021,1021,1021,4.005,4.215,7.864,4.045,4.21,7.663
Undirected,N/A,sub-0025428_ses-5_connectome.csv,568,25047,0.156,2.148,1427,1427,1427,947,947,947,4.123,4.297,7.707,4.127,4.349,8.018
Undirected,N/A,sub-0025428_ses-8_connectome.csv,592,28596,0.163,2.136,1569,1569,1569,1000,1000,1000,4.711,4.976,9.363,4.678,4.956,9.461
Undirected,N/A,sub-0025428_ses-6_connectome.csv,596,31427,0.177,2.069,1381,1381,1381,909,909,909,5.403,5.667,10.635,5.433,5.788,10.922
Undirected,N/A,sub-0025429_ses-2_connectome.csv,485,19558,0.167,2.253,1269,1269,1269,871,871,871,2.621,2.719,4.779,2.599,2.723,4.9
Undirected,N/A,sub-0025429_ses-1_connectome.csv,532,24202,0.171,2.137,1280,1280,1280,864,864,864,3.618,3.782,6.754,3.625,3.774,6.872
Undirected,N/A,sub-0025428_ses-4_connectome.csv,605,32340,0.177,2.079,1413,1413,1413,931,931,931,5.722,5.939,11.125,5.527,5.947,11.37
Undirected,N/A,sub-0025429_ses-10_connectome.csv,577,33136,0.199,2.147,1328,1328,1328,862,862,862,5.573,5.998,10.936,5.532,5.902,11.196
Undirected,N/A,sub-0025428_ses-7_connectome.csv,609,32495,0.176,2.127,1547,1547,1547,977,977,977,5.785,6.119,11.527,5.838,6.054,11.559
Undirected,N/A,sub-0025428_ses-9_connectome.csv,547,24440,0.164,2.133,1297,1297,1297,889,889,889,3.704,3.84,7.035,3.755,3.914,7.246
Undirected,N/A,sub-0025429_ses-3_connectome.csv,551,25228,0.166,2.136,1402,1402,1402,903,903,903,3.858,4.019,7.509,3.794,3.998,7.565
Undirected,N/A,sub-0025429_ses-8_connectome.csv,538,23722,0.164,2.151,1356,1356,1356,884,884,884,3.426,3.609,6.677,3.472,3.66,6.884
Undirected,N/A,sub-0025429_ses-7_connectome.csv,585,28469,0.167,2.131,1366,1366,1366,852,852,852,4.582,4.791,9.167,4.587,4.889,9.664
Undirected,N/A,sub-0025429_ses-6_connectome.csv,569,26930,0.167,2.121,1395,1395,1395,917,917,917,4.362,4.502,8.433,4.348,4.543,8.6
Undirected,N/A,sub-0025429_ses-5_connectome.csv,550,26133,0.173,2.055,1336,1336,1336,897,897,897,4.057,4.268,7.808,4.071,4.276,7.831
Undirected,N/A,sub-0025429_ses-9_connectome.csv,577,29049,0.175,2.127,1411,1411,1411,904,904,904,4.695,4.9,9.246,4.747,5.007,9.488
Undirected,N/A,sub-0025429_ses-4_connectome.csv,527,21900,0.158,2.205,1282,1282,1282,879,879,879,3.307,3.383,5.988,3.268,3.359,6.109
Undirected,N/A,sub-0025430_ses-10_connectome.csv,584,30189,0.177,2.056,1587,1587,1587,1053,1053,1053,5.002,5.357,9.858,5.256,5.505,10.19
Undirected,N/A,sub-0025430_ses-1_connectome.csv,602,45311,0.25,2.082,1414,1414,1414,977,977,977,8.545,8.943,17.202,8.312,8.839,17.475
Undirected,N/A,sub-0025430_ses-3_connectome.csv,593,36421,0.207,2.048,1660,1660,1660,1077,1077,1077,6.428,6.853,12.896,6.636,6.954,13.149
Undirected,N/A,sub-0025430_ses-5_connectome.csv,587,39149,0.228,2.08,1462,1462,1462,924,924,924,6.984,7.288,14.185,7.115,7.427,14.41
Undirected,N/A,sub-0025430_ses-4_connectome.csv,597,32974,0.185,2.03,1503,1503,1503,994,994,994,5.728,6.069,11.29,5.648,6.127,11.557
Undirected,N/A,sub-0025430_ses-7_connectome.csv,634,48083,0.24,1.993,1412,1412,1412,881,881,881,9.007,9.853,19.778,9.03,9.991,20.053
Undirected,N/A,sub-0025430_ses-6_connectome.csv,622,42419,0.22,2.064,1568,1568,1568,979,979,979,7.823,8.629,16.525,8.016,8.748,16.933
Undirected,N/A,sub-0025430_ses-2_connectome.csv,572,30499,0.187,2.02,1415,1415,1415,892,892,892,4.9,5.309,9.902,5.029,5.353,10.133
Undirected,N/A,sub-0025431_ses-10_connectome.csv,590,30824,0.177,2.054,1336,1336,1336,906,906,906,4.973,5.298,10.043,5.23,5.461,10.328
Undirected,N/A,sub-0025430_ses-8_connectome.csv,612,37613,0.201,2.071,1487,1487,1487,939,939,939,6.986,7.524,14.306,7.058,7.656,14.422
Undirected,N/A,sub-0025430_ses-9_connectome.csv,612,39589,0.212,2.054,1528,1528,1528,991,991,991,7.305,7.842,14.918,7.251,7.81,15.067
Undirected,N/A,sub-0025431_ses-2_connectome.csv,591,29851,0.171,2.041,1407,1407,1407,889,889,889,4.891,5.18,9.899,5.174,5.302,10.211
Undirected,N/A,sub-0025431_ses-3_connectome.csv,603,34504,0.19,2.073,1335,1335,1335,875,875,875,5.831,6.26,12.052,6.073,6.328,12.336
Undirected,N/A,sub-0025431_ses-4_connectome.csv,602,29907,0.165,2.043,1501,1501,1501,978,978,978,5.059,5.365,10.073,5.297,5.459,10.452
Undirected,N/A,sub-0025431_ses-7_connectome.csv,593,29783,0.17,2.126,1505,1505,1505,897,897,897,4.979,5.286,9.995,5.098,5.319,10.214
