type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-1_connectome.csv,116,5974,0.896,4.176,261,261,261,115,115,115,0.112,0.113,0.337,0.11,0.113,0.362
Undirected,N/A,sub-0027015_ses-2_connectome.csv,116,4842,0.726,3.195,255,255,255,115,115,115,0.091,0.094,0.267,0.094,0.101,0.275
Undirected,N/A,sub-0027010_ses-2_connectome.csv,116,5889,0.883,4.331,247,247,247,115,115,115,0.103,0.108,0.315,0.106,0.111,0.327
Undirected,N/A,sub-0027012_ses-1_connectome.csv,116,6180,0.927,4.582,237,237,237,115,115,115,0.126,0.113,0.33,0.112,0.114,0.364
Undirected,N/A,sub-0027014_ses-1_connectome.csv,116,6210,0.931,5.468,262,262,262,115,115,115,0.109,0.114,0.332,0.113,0.115,0.355
Undirected,N/A,sub-0027014_ses-2_connectome.csv,116,5944,0.891,4.714,253,253,253,115,115,115,0.107,0.111,0.313,0.109,0.132,0.329
Undirected,N/A,sub-0027015_ses-1_connectome.csv,116,6242,0.936,5.675,264,264,264,115,115,115,0.111,0.117,0.327,0.127,0.12,0.349
Undirected,N/A,sub-0027022_ses-1_connectome.csv,116,5973,0.896,4.395,234,234,234,115,115,115,0.103,0.107,0.315,0.116,0.111,0.333
Undirected,N/A,sub-0027021_ses-2_connectome.csv,116,6102,0.915,5.147,254,254,254,115,115,115,0.107,0.111,0.33,0.11,0.112,0.365
Undirected,N/A,sub-0027021_ses-1_connectome.csv,116,5845,0.876,4.322,275,275,275,115,115,115,0.105,0.11,0.309,0.107,0.109,0.329
Undirected,N/A,sub-0027019_ses-1_connectome.csv,116,6000,0.9,4.405,233,233,233,115,115,115,0.111,0.113,0.32,0.108,0.111,0.349
Undirected,N/A,sub-0027018_ses-1_connectome.csv,116,6220,0.933,4.981,257,257,257,115,115,115,0.111,0.117,0.325,0.114,0.118,0.36
Undirected,N/A,sub-0027019_ses-2_connectome.csv,116,5726,0.858,3.919,252,252,252,115,115,115,0.099,0.103,0.317,0.103,0.105,0.317
Undirected,N/A,sub-0027028_ses-2_connectome.csv,116,6100,0.915,4.236,253,253,253,115,115,115,0.106,0.11,0.342,0.11,0.113,0.328
Undirected,N/A,sub-0027022_ses-2_connectome.csv,116,5959,0.893,4.366,224,224,224,115,115,115,0.104,0.108,0.324,0.109,0.11,0.32
Undirected,N/A,sub-0027017_ses-1_connectome.csv,116,6461,0.969,7.091,263,263,263,115,115,115,0.115,0.119,0.357,0.118,0.121,0.363
Undirected,N/A,sub-0027024_ses-1_connectome.csv,116,5619,0.842,3.991,271,271,271,115,115,115,0.098,0.101,0.31,0.101,0.102,0.309
Undirected,N/A,sub-0027032_ses-1_connectome.csv,116,6173,0.925,5.177,265,265,265,115,115,115,0.115,0.117,0.322,0.112,0.116,0.347
Undirected,N/A,sub-0027040_ses-1_connectome.csv,116,6393,0.958,5.453,252,252,252,115,115,115,0.124,0.12,0.338,0.12,0.122,0.347
