type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027012_ses-1_connectome.csv,384,46142,0.627,2.811,905,905,905,392,392,392,3.636,3.941,13.792,3.983,4.224,14.398
Undirected,N/A,sub-0027014_ses-1_connectome.csv,384,44266,0.602,2.72,1024,1024,1024,399,399,399,4.063,4.302,13.921,4.193,4.392,13.911
Undirected,N/A,sub-0027010_ses-2_connectome.csv,384,43367,0.59,2.675,1099,1099,1099,403,403,403,4.166,4.442,13.756,4.347,4.506,13.877
Undirected,N/A,sub-0027015_ses-2_connectome.csv,377,27601,0.389,2.432,951,951,951,393,393,393,2.96,3.375,8.39,3.029,3.385,8.438
Undirected,N/A,sub-0027014_ses-2_connectome.csv,384,44318,0.603,2.691,996,996,996,384,384,384,3.764,4.115,13.603,3.883,4.219,13.674
Undirected,N/A,sub-0027010_ses-1_connectome.csv,383,44126,0.603,2.653,1062,1062,1062,385,385,385,3.825,4.268,13.914,3.982,4.337,13.939
Undirected,N/A,sub-0027015_ses-1_connectome.csv,380,44220,0.614,2.724,959,959,959,397,397,397,3.699,4.074,13.65,3.814,4.126,13.648
Undirected,N/A,sub-0027018_ses-1_connectome.csv,382,44490,0.611,2.725,945,945,945,390,390,390,3.811,4.164,13.5,4.746,4.123,13.931
Undirected,N/A,sub-0027017_ses-1_connectome.csv,384,53961,0.734,3.035,995,995,995,385,385,385,4.552,4.832,17.973,4.775,4.979,18.189
Undirected,N/A,sub-0027019_ses-1_connectome.csv,380,41960,0.583,2.801,959,959,959,396,396,396,3.861,4.16,13.282,4.035,4.244,13.252
Undirected,N/A,sub-0027019_ses-2_connectome.csv,380,36782,0.511,2.649,888,888,888,398,398,398,3.584,3.847,11.295,3.604,3.91,11.321
Undirected,N/A,sub-0027022_ses-1_connectome.csv,383,43609,0.596,2.753,943,943,943,404,404,404,3.95,4.262,13.926,4.043,4.314,13.807
Undirected,N/A,sub-0027021_ses-2_connectome.csv,382,43807,0.602,2.928,915,915,915,395,395,395,3.646,4.129,13.521,3.83,4.143,13.705
Undirected,N/A,sub-0027024_ses-1_connectome.csv,383,38655,0.528,2.534,1009,1009,1009,387,387,387,3.76,4.16,12.21,4.021,4.24,12.259
Undirected,N/A,sub-0027021_ses-1_connectome.csv,384,41457,0.564,2.76,1036,1036,1036,389,389,389,4.191,4.314,13.03,4.019,4.262,13.003
Undirected,N/A,sub-0027022_ses-2_connectome.csv,383,43943,0.601,2.776,1041,1041,1041,401,401,401,3.75,4.114,13.615,3.839,4.179,13.718
Undirected,N/A,sub-0027028_ses-2_connectome.csv,383,43644,0.597,2.676,936,936,936,394,394,394,3.672,3.951,13.307,3.826,4.093,13.55
Undirected,N/A,sub-0027040_ses-1_connectome.csv,384,45715,0.622,2.868,1033,1033,1033,388,388,388,3.82,4.259,14.044,3.92,4.307,14.292
Undirected,N/A,sub-0027032_ses-1_connectome.csv,383,45482,0.622,2.664,1062,1062,1062,397,397,397,3.855,4.219,14.17,3.96,4.307,14.229
