type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027014_ses-1_connectome.csv,41,820,1.0,16.503,59,59,59,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0027010_ses-2_connectome.csv,41,816,0.995,12.736,57,57,57,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0027010_ses-1_connectome.csv,41,814,0.993,12.72,61,61,61,40,40,40,0.007,0.007,0.016,0.007,0.007,0.018
Undirected,N/A,sub-0027015_ses-1_connectome.csv,41,811,0.989,20.112,59,59,59,40,40,40,0.008,0.007,0.017,0.007,0.007,0.017
Undirected,N/A,sub-0027021_ses-1_connectome.csv,41,816,0.995,16.462,67,67,67,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0027014_ses-2_connectome.csv,41,820,1.0,28.618,54,54,54,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0027015_ses-2_connectome.csv,41,775,0.945,6.144,64,64,64,40,40,40,0.007,0.007,0.017,0.007,0.007,0.016
Undirected,N/A,sub-0027019_ses-2_connectome.csv,41,811,0.989,11.583,58,58,58,40,40,40,0.007,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-0027012_ses-1_connectome.csv,41,811,0.989,12.696,55,55,55,40,40,40,0.007,0.007,0.016,0.008,0.007,0.017
Undirected,N/A,sub-0027017_ses-1_connectome.csv,41,820,1.0,28.618,61,61,61,40,40,40,0.007,0.007,0.017,0.007,0.007,0.017
Undirected,N/A,sub-0027021_ses-2_connectome.csv,41,819,0.999,28.601,64,64,64,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0027018_ses-1_connectome.csv,41,817,0.996,16.472,65,65,65,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0027028_ses-2_connectome.csv,41,818,0.998,14.265,63,63,63,40,40,40,0.007,0.007,0.016,0.008,0.007,0.017
Undirected,N/A,sub-0027022_ses-1_connectome.csv,41,789,0.962,16.186,60,60,60,40,40,40,0.006,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-0027019_ses-1_connectome.csv,41,817,0.996,14.257,58,58,58,40,40,40,0.007,0.007,0.016,0.007,0.011,0.03
Undirected,N/A,sub-0027022_ses-2_connectome.csv,41,805,0.982,11.54,63,63,63,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0027040_ses-1_connectome.csv,41,818,0.998,28.583,76,76,76,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0027024_ses-1_connectome.csv,41,804,0.98,9.399,59,59,59,40,40,40,0.007,0.007,0.017,0.007,0.007,0.018
Undirected,N/A,sub-0027032_ses-1_connectome.csv,41,816,0.995,20.174,54,54,54,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
