type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-1_connectome.csv,332,20456,0.372,2.043,687,687,687,332,332,332,1.668,1.83,4.433,1.671,1.841,4.571
Undirected,N/A,sub-0027014_ses-1_connectome.csv,333,22122,0.4,2.053,683,683,683,334,334,334,1.77,1.97,5.058,1.865,2.007,5.179
Undirected,N/A,sub-0027010_ses-2_connectome.csv,331,19368,0.355,2.043,633,633,633,338,338,338,1.626,1.778,4.256,1.612,1.803,4.324
Undirected,N/A,sub-0027015_ses-2_connectome.csv,324,10176,0.194,1.877,632,632,632,355,355,355,0.879,0.955,1.769,0.895,0.943,1.851
Undirected,N/A,sub-0027019_ses-2_connectome.csv,327,15787,0.296,2.082,617,617,617,330,330,330,1.296,1.399,3.072,1.283,1.404,3.127
Undirected,N/A,sub-0027017_ses-1_connectome.csv,333,23352,0.422,2.115,586,586,586,333,333,333,1.855,2.079,5.163,1.856,2.116,5.372
Undirected,N/A,sub-0027014_ses-2_connectome.csv,330,19060,0.351,2.012,649,649,649,336,336,336,1.718,1.87,4.273,1.799,1.895,4.447
Undirected,N/A,sub-0027015_ses-1_connectome.csv,329,20290,0.376,1.988,645,645,645,338,338,338,1.838,1.958,4.46,1.801,1.932,4.576
Undirected,N/A,sub-0027018_ses-1_connectome.csv,333,19798,0.358,1.966,654,654,654,340,340,340,1.719,1.867,4.332,1.815,1.899,4.424
Undirected,N/A,sub-0027022_ses-2_connectome.csv,332,19326,0.352,2.094,630,630,630,339,339,339,1.648,1.813,4.213,1.712,1.85,4.27
Undirected,N/A,sub-0027012_ses-1_connectome.csv,331,21854,0.4,2.079,582,582,582,332,332,332,1.866,1.966,3.61,1.597,1.582,3.513
Undirected,N/A,sub-0027019_ses-1_connectome.csv,331,18047,0.33,2.137,637,637,637,339,339,339,1.349,1.427,2.887,1.37,1.434,2.934
Undirected,N/A,sub-0027032_ses-1_connectome.csv,333,19825,0.359,1.979,611,611,611,335,335,335,1.485,1.509,3.232,1.499,1.582,3.303
Undirected,N/A,sub-0027021_ses-1_connectome.csv,331,17295,0.317,2.113,673,673,673,338,338,338,1.332,1.391,2.828,1.331,1.412,2.884
Undirected,N/A,sub-0027028_ses-2_connectome.csv,331,20195,0.37,1.896,661,661,661,337,337,337,1.56,1.592,3.377,1.513,1.607,3.53
Undirected,N/A,sub-0027022_ses-1_connectome.csv,332,18379,0.334,2.059,621,621,621,335,335,335,1.514,1.535,3.158,1.534,1.533,3.217
Undirected,N/A,sub-0027040_ses-1_connectome.csv,333,22138,0.4,2.165,652,652,652,333,333,333,1.679,1.782,3.935,1.712,1.713,4.108
Undirected,N/A,sub-0027024_ses-1_connectome.csv,333,17997,0.326,1.921,634,634,634,336,336,336,1.486,1.584,3.221,1.477,1.587,3.386
Undirected,N/A,sub-0027021_ses-2_connectome.csv,330,20890,0.385,2.119,622,622,622,335,335,335,1.572,1.731,3.846,1.663,1.73,4.01
