type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027012_ses-1_connectome.csv,200,14566,0.732,3.07,405,405,405,202,202,202,0.423,0.453,1.484,0.445,0.473,1.552
Undirected,N/A,sub-0027017_ses-1_connectome.csv,200,16433,0.826,3.487,433,433,433,199,199,199,0.513,0.5,1.666,0.526,0.525,1.812
Undirected,N/A,sub-0027014_ses-1_connectome.csv,200,14556,0.731,3.169,427,427,427,199,199,199,0.418,0.462,1.456,0.472,0.467,1.592
Undirected,N/A,sub-0027010_ses-2_connectome.csv,200,13862,0.697,2.978,411,411,411,199,199,199,0.427,0.438,1.304,0.443,0.473,1.491
Undirected,N/A,sub-0027015_ses-1_connectome.csv,200,14965,0.752,3.024,406,406,406,199,199,199,0.462,0.454,1.55,0.479,0.479,1.636
Undirected,N/A,sub-0027018_ses-1_connectome.csv,200,14368,0.722,3.078,407,407,407,199,199,199,0.462,0.449,1.477,0.451,0.489,1.563
Undirected,N/A,sub-0027015_ses-2_connectome.csv,200,8951,0.45,2.628,394,394,394,207,207,207,0.368,0.37,0.896,0.351,0.365,0.919
Undirected,N/A,sub-0027019_ses-1_connectome.csv,200,13536,0.68,3.068,400,400,400,199,199,199,0.402,0.437,1.246,0.439,0.437,1.436
Undirected,N/A,sub-0027021_ses-2_connectome.csv,200,13846,0.696,3.26,381,381,381,200,200,200,0.406,0.441,1.413,0.446,0.442,1.511
Undirected,N/A,sub-0027022_ses-1_connectome.csv,200,13597,0.683,3.11,363,363,363,199,199,199,0.432,0.432,1.821,0.462,0.461,1.515
Undirected,N/A,sub-0027022_ses-2_connectome.csv,200,13493,0.678,2.983,372,372,372,199,199,199,0.416,0.458,1.492,0.477,0.472,1.576
Undirected,N/A,sub-0027014_ses-2_connectome.csv,200,14238,0.715,3.077,428,428,428,199,199,199,0.446,0.454,1.517,0.493,0.51,1.721
Undirected,N/A,sub-0027028_ses-2_connectome.csv,200,13584,0.683,2.881,387,387,387,200,200,200,0.424,0.465,1.5,0.435,0.475,1.576
Undirected,N/A,sub-0027024_ses-1_connectome.csv,200,13075,0.657,2.853,416,416,416,200,200,200,0.426,0.435,1.466,0.439,0.47,1.529
Undirected,N/A,sub-0027010_ses-1_connectome.csv,200,14113,0.709,3.024,459,459,459,199,199,199,0.443,0.488,1.584,0.478,0.496,1.702
Undirected,N/A,sub-0027032_ses-1_connectome.csv,200,15029,0.755,3.08,438,438,438,199,199,199,0.477,0.508,1.753,0.49,0.532,1.784
Undirected,N/A,sub-0027019_ses-2_connectome.csv,200,11824,0.594,2.987,412,412,412,200,200,200,0.404,0.446,1.175,0.466,0.471,1.326
Undirected,N/A,sub-0027021_ses-1_connectome.csv,200,12185,0.612,2.847,398,398,398,199,199,199,0.447,0.466,1.305,0.484,0.491,1.437
Undirected,N/A,sub-0027040_ses-1_connectome.csv,200,15402,0.774,3.317,472,472,472,199,199,199,0.503,0.527,1.718,0.505,0.518,1.847
