type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-1_connectome.csv,83,3026,0.889,5.101,172,172,172,85,85,85,0.041,0.043,0.116,0.043,0.044,0.12
Undirected,N/A,sub-0027012_ses-1_connectome.csv,83,3128,0.919,5.777,176,176,176,83,83,83,0.044,0.045,0.137,0.045,0.044,0.12
Undirected,N/A,sub-0027014_ses-1_connectome.csv,83,3040,0.893,5.21,178,178,178,88,88,88,0.045,0.047,0.113,0.042,0.044,0.119
Undirected,N/A,sub-0027015_ses-2_connectome.csv,82,2512,0.756,3.796,161,161,161,81,81,81,0.038,0.041,0.096,0.036,0.039,0.1
Undirected,N/A,sub-0027010_ses-2_connectome.csv,82,3002,0.904,4.719,155,155,155,82,82,82,0.04,0.042,0.117,0.041,0.041,0.131
Undirected,N/A,sub-0027015_ses-1_connectome.csv,82,3076,0.926,5.932,175,175,175,81,81,81,0.041,0.042,0.115,0.044,0.044,0.117
Undirected,N/A,sub-0027014_ses-2_connectome.csv,83,3054,0.897,4.861,181,181,181,83,83,83,0.062,0.045,0.113,0.041,0.044,0.128
Undirected,N/A,sub-0027022_ses-1_connectome.csv,83,3044,0.895,5.371,148,148,148,82,82,82,0.04,0.042,0.118,0.041,0.044,0.121
Undirected,N/A,sub-0027019_ses-1_connectome.csv,83,3008,0.884,5.016,158,158,158,83,83,83,0.04,0.042,0.121,0.043,0.043,0.118
Undirected,N/A,sub-0027019_ses-2_connectome.csv,83,2938,0.863,4.048,174,174,174,82,82,82,0.041,0.042,0.11,0.041,0.042,0.116
Undirected,N/A,sub-0027017_ses-1_connectome.csv,83,3232,0.95,6.533,171,171,171,82,82,82,0.045,0.047,0.12,0.046,0.052,0.138
Undirected,N/A,sub-0027022_ses-2_connectome.csv,83,3031,0.891,5.178,164,164,164,82,82,82,0.042,0.045,0.115,0.041,0.043,0.144
Undirected,N/A,sub-0027032_ses-1_connectome.csv,83,3191,0.938,5.317,188,188,188,82,82,82,0.044,0.045,0.121,0.043,0.044,0.134
Undirected,N/A,sub-0027018_ses-1_connectome.csv,83,3017,0.887,6.021,178,178,178,84,84,84,0.043,0.042,0.111,0.042,0.044,0.116
Undirected,N/A,sub-0027021_ses-1_connectome.csv,83,2972,0.873,4.733,173,173,173,82,82,82,0.04,0.042,0.111,0.041,0.042,0.116
Undirected,N/A,sub-0027040_ses-1_connectome.csv,83,3138,0.922,6.526,164,164,164,82,82,82,0.043,0.046,0.123,0.044,0.046,0.121
Undirected,N/A,sub-0027024_ses-1_connectome.csv,82,2959,0.891,4.327,189,189,189,81,81,81,0.04,0.044,0.112,0.04,0.041,0.12
Undirected,N/A,sub-0027021_ses-2_connectome.csv,83,3169,0.931,6.512,198,198,198,82,82,82,0.044,0.045,0.12,0.043,0.046,0.131
Undirected,N/A,sub-0027028_ses-2_connectome.csv,83,3125,0.918,6.054,167,167,167,82,82,82,0.041,0.043,0.117,0.042,0.043,0.124
