type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-2_connectome.csv,99,2865,0.591,3.021,170,170,170,116,116,116,0.052,0.057,0.135,0.056,0.052,0.133
Undirected,N/A,sub-0027017_ses-1_connectome.csv,100,3631,0.734,3.446,147,147,147,101,101,101,0.059,0.058,0.167,0.058,0.059,0.175
Undirected,N/A,sub-0027010_ses-1_connectome.csv,94,3053,0.698,3.408,141,141,141,93,93,93,0.048,0.048,0.136,0.049,0.049,0.139
Undirected,N/A,sub-0027015_ses-2_connectome.csv,93,2088,0.488,2.899,145,145,145,104,104,104,0.041,0.042,0.093,0.041,0.044,0.1
Undirected,N/A,sub-0027014_ses-2_connectome.csv,91,2761,0.674,3.248,136,136,136,93,93,93,0.041,0.046,0.121,0.04,0.042,0.123
Undirected,N/A,sub-0027019_ses-1_connectome.csv,90,2642,0.66,3.439,129,129,129,89,89,89,0.038,0.04,0.111,0.041,0.043,0.115
Undirected,N/A,sub-0027012_ses-1_connectome.csv,93,2878,0.673,3.108,126,126,126,94,94,94,0.047,0.047,0.125,0.044,0.046,0.128
Undirected,N/A,sub-0027019_ses-2_connectome.csv,94,2557,0.585,3.276,148,148,148,102,102,102,0.042,0.045,0.114,0.042,0.046,0.123
Undirected,N/A,sub-0027015_ses-1_connectome.csv,96,3150,0.691,3.259,132,132,132,100,100,100,0.046,0.048,0.142,0.047,0.05,0.144
Undirected,N/A,sub-0027021_ses-1_connectome.csv,94,2778,0.636,3.418,145,145,145,99,99,99,0.043,0.047,0.136,0.045,0.046,0.127
Undirected,N/A,sub-0027024_ses-1_connectome.csv,91,2523,0.616,3.227,139,139,139,94,94,94,0.039,0.041,0.109,0.04,0.041,0.113
Undirected,N/A,sub-0027022_ses-1_connectome.csv,89,2666,0.681,3.631,130,130,130,91,91,91,0.042,0.041,0.107,0.041,0.042,0.11
Undirected,N/A,sub-0027028_ses-2_connectome.csv,91,2695,0.658,3.467,146,146,146,98,98,98,0.039,0.041,0.113,0.04,0.043,0.13
Undirected,N/A,sub-0027022_ses-2_connectome.csv,96,2850,0.625,3.305,136,136,136,100,100,100,0.046,0.048,0.135,0.046,0.048,0.141
Undirected,N/A,sub-0027014_ses-1_connectome.csv,87,2667,0.713,3.286,136,136,136,90,90,90,0.038,0.04,0.115,0.039,0.04,0.115
Undirected,N/A,sub-0027040_ses-1_connectome.csv,96,3096,0.679,3.624,133,133,133,101,101,101,0.051,0.049,0.139,0.05,0.05,0.141
Undirected,N/A,sub-0027018_ses-1_connectome.csv,98,3114,0.655,3.516,139,139,139,107,107,107,0.055,0.053,0.144,0.052,0.053,0.144
Undirected,N/A,sub-0027032_ses-1_connectome.csv,96,3032,0.665,3.075,148,148,148,104,104,104,0.052,0.05,0.141,0.048,0.05,0.136
Undirected,N/A,sub-0027021_ses-2_connectome.csv,95,3015,0.675,3.4,139,139,139,94,94,94,0.061,0.048,0.136,0.048,0.049,0.136
