type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-2_connectome.csv,31,458,0.985,15.1,58,58,58,30,30,30,0.004,0.004,0.008,0.003,0.004,0.008
Undirected,N/A,sub-0027015_ses-2_connectome.csv,31,444,0.955,5.758,49,49,49,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0027017_ses-1_connectome.csv,30,435,1.0,20.833,57,57,57,29,29,29,0.003,0.004,0.008,0.004,0.003,0.008
Undirected,N/A,sub-0027015_ses-1_connectome.csv,29,406,1.0,14.213,47,47,47,28,28,28,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027019_ses-1_connectome.csv,31,459,0.987,8.689,58,58,58,30,30,30,0.004,0.004,0.008,0.003,0.004,0.008
Undirected,N/A,sub-0027012_ses-1_connectome.csv,30,435,1.0,20.833,54,54,54,29,29,29,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0027022_ses-1_connectome.csv,31,460,0.989,15.133,61,61,61,30,30,30,0.004,0.004,0.008,0.004,0.004,0.009
Undirected,N/A,sub-0027021_ses-2_connectome.csv,31,461,0.991,15.149,52,52,52,30,30,30,0.004,0.004,0.009,0.003,0.003,0.008
Undirected,N/A,sub-0027014_ses-2_connectome.csv,31,457,0.983,12.302,56,56,56,30,30,30,0.003,0.004,0.008,0.003,0.004,0.008
Undirected,N/A,sub-0027014_ses-1_connectome.csv,30,432,0.993,14.663,57,57,57,29,29,29,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0027032_ses-1_connectome.csv,31,452,0.972,9.455,52,52,52,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0027019_ses-2_connectome.csv,31,451,0.97,9.445,53,53,53,30,30,30,0.003,0.004,0.008,0.003,0.004,0.009
Undirected,N/A,sub-0027028_ses-2_connectome.csv,31,460,0.989,10.677,53,53,53,30,30,30,0.004,0.004,0.008,0.003,0.004,0.008
Undirected,N/A,sub-0027010_ses-1_connectome.csv,29,406,1.0,20.125,56,56,56,28,28,28,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0027040_ses-1_connectome.csv,30,426,0.979,11.874,66,66,66,29,29,29,0.003,0.004,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0027022_ses-2_connectome.csv,31,458,0.985,8.679,55,55,55,30,30,30,0.003,0.004,0.008,0.003,0.004,0.008
Undirected,N/A,sub-0027021_ses-1_connectome.csv,30,427,0.982,7.746,45,45,45,29,29,29,0.003,0.003,0.008,0.004,0.003,0.008
Undirected,N/A,sub-0027018_ses-1_connectome.csv,31,459,0.987,15.116,52,52,52,30,30,30,0.005,0.004,0.009,0.004,0.004,0.009
Undirected,N/A,sub-0027024_ses-1_connectome.csv,31,447,0.961,8.573,50,50,50,30,30,30,0.004,0.004,0.009,0.004,0.004,0.009
