type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-2_connectome.csv,70,2300,0.952,6.85,129,129,129,70,70,70,0.027,0.028,0.072,0.029,0.029,0.075
Undirected,N/A,sub-0027010_ses-1_connectome.csv,70,2322,0.961,9.22,132,132,132,69,69,69,0.028,0.028,0.074,0.029,0.03,0.076
Undirected,N/A,sub-0027012_ses-1_connectome.csv,70,2317,0.959,7.744,131,131,131,69,69,69,0.027,0.028,0.08,0.032,0.029,0.074
Undirected,N/A,sub-0027017_ses-1_connectome.csv,70,2383,0.987,10.359,114,114,114,69,69,69,0.028,0.029,0.077,0.03,0.03,0.075
Undirected,N/A,sub-0027014_ses-2_connectome.csv,70,2328,0.964,6.892,136,136,136,69,69,69,0.042,0.03,0.075,0.03,0.029,0.073
Undirected,N/A,sub-0027018_ses-1_connectome.csv,70,2322,0.961,9.998,160,160,160,69,69,69,0.028,0.03,0.07,0.027,0.028,0.1
Undirected,N/A,sub-0027015_ses-1_connectome.csv,70,2362,0.978,9.13,134,134,134,69,69,69,0.417,0.029,0.07,0.027,0.028,0.073
Undirected,N/A,sub-0027014_ses-1_connectome.csv,70,2313,0.958,9.567,130,130,130,69,69,69,0.027,0.027,0.069,0.028,0.028,0.082
Undirected,N/A,sub-0027019_ses-2_connectome.csv,70,2252,0.933,6.206,125,125,125,69,69,69,0.029,0.028,0.069,0.027,0.028,0.074
Undirected,N/A,sub-0027019_ses-1_connectome.csv,70,2337,0.968,8.487,118,118,118,69,69,69,0.028,0.028,0.071,0.028,0.029,0.075
Undirected,N/A,sub-0027015_ses-2_connectome.csv,70,2112,0.875,4.686,142,142,142,70,70,70,0.025,0.026,0.064,0.025,0.026,0.068
Undirected,N/A,sub-0027022_ses-2_connectome.csv,70,2306,0.955,7.17,121,121,121,69,69,69,0.026,0.031,0.076,0.028,0.029,0.076
Undirected,N/A,sub-0027032_ses-1_connectome.csv,70,2347,0.972,11.069,124,124,124,69,69,69,0.03,0.029,0.072,0.029,0.029,0.08
Undirected,N/A,sub-0027021_ses-1_connectome.csv,70,2286,0.947,8.139,131,131,131,69,69,69,0.027,0.027,0.069,0.028,0.031,0.073
Undirected,N/A,sub-0027028_ses-2_connectome.csv,70,2373,0.983,8.692,133,133,133,69,69,69,0.027,0.028,0.077,0.032,0.03,0.075
Undirected,N/A,sub-0027021_ses-2_connectome.csv,70,2346,0.971,9.099,168,168,168,69,69,69,0.028,0.029,0.074,0.028,0.029,0.073
Undirected,N/A,sub-0027022_ses-1_connectome.csv,70,2338,0.968,8.923,128,128,128,69,69,69,0.027,0.029,0.071,0.027,0.028,0.076
Undirected,N/A,sub-0027024_ses-1_connectome.csv,70,2285,0.946,6.196,147,147,147,70,70,70,0.027,0.028,0.086,0.028,0.028,0.076
Undirected,N/A,sub-0027040_ses-1_connectome.csv,70,2332,0.966,9.806,127,127,127,69,69,69,0.027,0.028,0.071,0.029,0.03,0.076
