type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-2_connectome.csv,74,2568,0.951,6.255,144,144,144,73,73,73,0.033,0.037,0.096,0.033,0.033,0.09
Undirected,N/A,sub-0027014_ses-1_connectome.csv,74,2628,0.973,6.657,169,169,169,73,73,73,0.034,0.035,0.087,0.033,0.035,0.098
Undirected,N/A,sub-0027010_ses-1_connectome.csv,74,2589,0.959,6.665,171,171,171,73,73,73,0.035,0.035,0.089,0.034,0.034,0.091
Undirected,N/A,sub-0027018_ses-1_connectome.csv,74,2461,0.911,5.255,158,158,158,73,73,73,0.034,0.036,0.084,0.031,0.034,0.091
Undirected,N/A,sub-0027015_ses-2_connectome.csv,74,1987,0.736,3.675,142,142,142,73,73,73,0.026,0.027,0.069,0.039,0.03,0.072
Undirected,N/A,sub-0027017_ses-1_connectome.csv,74,2668,0.988,10.496,169,169,169,73,73,73,0.035,0.038,0.093,0.034,0.035,0.092
Undirected,N/A,sub-0027012_ses-1_connectome.csv,74,2498,0.925,5.57,161,161,161,73,73,73,0.033,0.034,0.106,0.032,0.034,0.089
Undirected,N/A,sub-0027028_ses-2_connectome.csv,74,2589,0.959,5.913,149,149,149,73,73,73,0.031,0.033,0.089,0.033,0.033,0.09
Undirected,N/A,sub-0027021_ses-1_connectome.csv,74,2471,0.915,4.547,165,165,165,74,74,74,0.031,0.033,0.086,0.032,0.032,0.087
Undirected,N/A,sub-0027021_ses-2_connectome.csv,74,2622,0.971,5.674,177,177,177,73,73,73,0.034,0.035,0.094,0.034,0.038,0.093
Undirected,N/A,sub-0027019_ses-2_connectome.csv,74,2365,0.876,4.08,154,154,154,73,73,73,0.03,0.031,0.084,0.03,0.031,0.083
Undirected,N/A,sub-0027024_ses-1_connectome.csv,74,2423,0.897,4.5,154,154,154,73,73,73,0.03,0.032,0.088,0.031,0.031,0.085
Undirected,N/A,sub-0027019_ses-1_connectome.csv,74,2425,0.898,5.036,153,153,153,73,73,73,0.033,0.032,0.099,0.034,0.033,0.087
Undirected,N/A,sub-0027015_ses-1_connectome.csv,74,2522,0.934,4.661,152,152,152,73,73,73,0.033,0.032,0.087,0.032,0.032,0.088
Undirected,N/A,sub-0027032_ses-1_connectome.csv,74,2552,0.945,5.747,159,159,159,73,73,73,0.032,0.033,0.088,0.032,0.033,0.09
Undirected,N/A,sub-0027040_ses-1_connectome.csv,74,2641,0.978,6.794,164,164,164,73,73,73,0.034,0.036,0.088,0.053,0.04,0.094
Undirected,N/A,sub-0027014_ses-2_connectome.csv,74,2575,0.953,6.264,156,156,156,73,73,73,0.031,0.032,0.088,0.033,0.034,0.09
Undirected,N/A,sub-0027022_ses-1_connectome.csv,74,2477,0.917,5.273,151,151,151,73,73,73,0.035,0.035,0.084,0.032,0.034,0.095
Undirected,N/A,sub-0027022_ses-2_connectome.csv,74,2512,0.93,5.28,152,152,152,73,73,73,0.031,0.032,0.084,0.033,0.034,0.088
