type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-2_connectome.csv,180,12635,0.784,3.041,432,432,432,180,180,180,0.357,0.358,1.062,0.39,0.373,1.255
Undirected,N/A,sub-0027015_ses-2_connectome.csv,180,8461,0.525,2.627,443,443,443,187,187,187,0.338,0.304,0.78,0.284,0.301,0.808
Undirected,N/A,sub-0027015_ses-1_connectome.csv,180,12172,0.756,3.032,392,392,392,179,179,179,0.332,0.354,1.155,0.382,0.365,1.247
Undirected,N/A,sub-0027014_ses-1_connectome.csv,180,13332,0.828,3.41,431,431,431,179,179,179,0.411,0.391,1.314,0.415,0.426,1.43
Undirected,N/A,sub-0027012_ses-1_connectome.csv,180,12659,0.786,3.134,399,399,399,179,179,179,0.361,0.364,1.225,0.403,0.391,1.376
Undirected,N/A,sub-0027018_ses-1_connectome.csv,180,11856,0.736,3.13,434,434,434,180,180,180,0.359,0.365,1.132,0.369,0.399,1.224
Undirected,N/A,sub-0027014_ses-2_connectome.csv,180,12965,0.805,3.153,439,439,439,179,179,179,0.392,0.375,1.239,0.38,0.418,1.344
Undirected,N/A,sub-0027019_ses-2_connectome.csv,180,10828,0.672,2.855,448,448,448,180,180,180,0.336,0.344,1.007,0.324,0.339,1.09
Undirected,N/A,sub-0027021_ses-1_connectome.csv,180,12048,0.748,3.059,459,459,459,179,179,179,0.352,0.367,1.154,0.406,0.378,1.252
Undirected,N/A,sub-0027021_ses-2_connectome.csv,180,12971,0.805,3.344,473,473,473,179,179,179,0.396,0.382,1.297,0.422,0.415,1.396
Undirected,N/A,sub-0027017_ses-1_connectome.csv,180,14223,0.883,3.974,467,467,467,179,179,179,0.419,0.433,1.408,0.423,0.466,1.558
Undirected,N/A,sub-0027024_ses-1_connectome.csv,180,10818,0.672,2.795,429,429,429,179,179,179,0.331,0.331,1.031,0.33,0.357,1.098
Undirected,N/A,sub-0027022_ses-2_connectome.csv,180,12406,0.77,3.147,435,435,435,179,179,179,0.383,0.361,1.204,0.393,0.383,1.299
Undirected,N/A,sub-0027019_ses-1_connectome.csv,180,12128,0.753,3.052,458,458,458,179,179,179,0.375,0.367,1.18,0.393,0.368,1.259
Undirected,N/A,sub-0027010_ses-1_connectome.csv,180,12863,0.798,3.241,451,451,451,179,179,179,0.373,0.4,1.25,0.4,0.395,1.375
Undirected,N/A,sub-0027022_ses-1_connectome.csv,180,12331,0.765,3.123,423,423,423,179,179,179,0.371,0.385,1.225,0.401,0.39,1.298
Undirected,N/A,sub-0027040_ses-1_connectome.csv,180,13307,0.826,3.37,479,479,479,179,179,179,0.387,0.386,1.316,0.421,0.422,1.433
Undirected,N/A,sub-0027032_ses-1_connectome.csv,180,13051,0.81,3.191,431,431,431,179,179,179,0.386,0.399,1.311,0.415,0.406,1.432
Undirected,N/A,sub-0027028_ses-2_connectome.csv,180,12516,0.777,3.078,407,407,407,179,179,179,0.359,0.366,1.237,0.402,0.382,1.342
