type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027012_ses-1_connectome.csv,83,3309,0.972,9.04,213,213,213,82,82,82,0.047,0.064,0.128,0.048,0.048,0.127
Undirected,N/A,sub-0027014_ses-1_connectome.csv,83,3312,0.973,9.968,194,194,194,82,82,82,0.048,0.047,0.131,0.049,0.048,0.128
Undirected,N/A,sub-0027015_ses-1_connectome.csv,83,3316,0.974,8.623,197,197,197,82,82,82,0.062,0.048,0.122,0.049,0.048,0.126
Undirected,N/A,sub-0027017_ses-1_connectome.csv,83,3380,0.993,13.3,184,184,184,82,82,82,0.048,0.047,0.13,0.058,0.048,0.453
Undirected,N/A,sub-0027014_ses-2_connectome.csv,83,3324,0.977,8.092,204,204,204,82,82,82,0.044,0.046,0.124,0.047,0.047,0.128
Undirected,N/A,sub-0027019_ses-1_connectome.csv,83,3299,0.969,6.945,164,164,164,82,82,82,0.046,0.046,0.121,0.047,0.047,0.125
Undirected,N/A,sub-0027010_ses-2_connectome.csv,83,3269,0.961,7.79,183,183,183,82,82,82,0.052,0.049,0.124,0.047,0.047,0.125
Undirected,N/A,sub-0027021_ses-2_connectome.csv,83,3357,0.986,9.605,204,204,204,82,82,82,0.048,0.064,0.129,0.047,0.048,0.13
Undirected,N/A,sub-0027018_ses-1_connectome.csv,83,3225,0.948,7.263,189,189,189,82,82,82,0.046,0.046,0.122,0.052,0.046,0.125
Undirected,N/A,sub-0027010_ses-1_connectome.csv,83,3330,0.979,9.566,172,172,172,82,82,82,0.053,0.049,0.125,0.049,0.047,0.13
Undirected,N/A,sub-0027019_ses-2_connectome.csv,83,3179,0.934,5.997,205,205,205,82,82,82,0.05,0.048,0.118,0.044,0.044,0.121
Undirected,N/A,sub-0027015_ses-2_connectome.csv,83,2924,0.859,4.693,187,187,187,82,82,82,0.04,0.042,0.108,0.041,0.041,0.113
Undirected,N/A,sub-0027022_ses-2_connectome.csv,83,3311,0.973,7.624,168,168,168,82,82,82,0.046,0.063,0.122,0.049,0.048,0.125
Undirected,N/A,sub-0027024_ses-1_connectome.csv,83,3274,0.962,7.258,159,159,159,82,82,82,0.044,0.05,0.122,0.064,0.054,0.128
Undirected,N/A,sub-0027028_ses-2_connectome.csv,83,3347,0.984,9.728,180,180,180,82,82,82,0.046,0.051,0.12,0.048,0.05,0.126
Undirected,N/A,sub-0027021_ses-1_connectome.csv,83,3244,0.953,6.834,174,174,174,82,82,82,0.045,0.049,0.129,0.045,0.048,0.125
Undirected,N/A,sub-0027040_ses-1_connectome.csv,83,3365,0.989,9.616,196,196,196,82,82,82,0.045,0.052,0.13,0.048,0.049,0.128
Undirected,N/A,sub-0027032_ses-1_connectome.csv,83,3316,0.974,7.367,184,184,184,82,82,82,0.045,0.059,0.128,0.046,0.049,0.128
Undirected,N/A,sub-0027022_ses-1_connectome.csv,83,3341,0.982,10.169,191,191,191,82,82,82,0.046,0.052,0.124,0.047,0.052,0.133
