type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027014_ses-1_connectome.csv,48,1111,0.985,10.0,82,82,82,47,47,47,0.01,0.011,0.026,0.011,0.011,0.027
Undirected,N/A,sub-0027010_ses-1_connectome.csv,48,1103,0.978,8.517,93,93,93,47,47,47,0.01,0.011,0.027,0.011,0.012,0.029
Undirected,N/A,sub-0027014_ses-2_connectome.csv,48,1111,0.985,8.022,81,81,81,47,47,47,0.011,0.011,0.027,0.011,0.011,0.027
Undirected,N/A,sub-0027017_ses-1_connectome.csv,48,1117,0.99,13.608,86,86,86,47,47,47,0.011,0.011,0.026,0.01,0.011,0.026
Undirected,N/A,sub-0027015_ses-2_connectome.csv,48,941,0.834,4.014,82,82,82,47,47,47,0.009,0.009,0.022,0.009,0.009,0.024
Undirected,N/A,sub-0027010_ses-2_connectome.csv,48,1103,0.978,7.993,77,77,77,47,47,47,0.011,0.011,0.026,0.01,0.011,0.027
Undirected,N/A,sub-0027022_ses-1_connectome.csv,48,1090,0.966,6.397,79,79,79,47,47,47,0.012,0.012,0.03,0.012,0.011,0.028
Undirected,N/A,sub-0027021_ses-2_connectome.csv,48,1109,0.983,8.265,80,80,80,47,47,47,0.011,0.011,0.026,0.01,0.011,0.027
Undirected,N/A,sub-0027021_ses-1_connectome.csv,48,1071,0.949,5.792,81,81,81,47,47,47,0.01,0.01,0.025,0.01,0.011,0.027
Undirected,N/A,sub-0027019_ses-2_connectome.csv,48,1051,0.932,5.094,89,89,89,47,47,47,0.011,0.01,0.025,0.01,0.011,0.026
Undirected,N/A,sub-0027024_ses-1_connectome.csv,48,1075,0.953,4.899,78,78,78,47,47,47,0.011,0.011,0.032,0.011,0.011,0.029
Undirected,N/A,sub-0027015_ses-1_connectome.csv,48,1097,0.973,5.964,80,80,80,47,47,47,0.011,0.011,0.026,0.01,0.011,0.027
Undirected,N/A,sub-0027022_ses-2_connectome.csv,48,1106,0.98,7.775,88,88,88,47,47,47,0.011,0.011,0.026,0.011,0.011,0.031
Undirected,N/A,sub-0027018_ses-1_connectome.csv,48,1102,0.977,5.978,88,88,88,47,47,47,0.012,0.011,0.026,0.011,0.011,0.027
Undirected,N/A,sub-0027028_ses-2_connectome.csv,48,1113,0.987,8.029,89,89,89,47,47,47,0.01,0.011,0.026,0.011,0.011,0.028
Undirected,N/A,sub-0027032_ses-1_connectome.csv,48,1101,0.976,7.003,85,85,85,47,47,47,0.01,0.011,0.026,0.01,0.011,0.026
Undirected,N/A,sub-0027012_ses-1_connectome.csv,48,1107,0.981,8.258,88,88,88,47,47,47,0.01,0.011,0.025,0.011,0.011,0.03
Undirected,N/A,sub-0027019_ses-1_connectome.csv,48,1060,0.94,5.668,84,84,84,47,47,47,0.01,0.011,0.025,0.01,0.01,0.026
Undirected,N/A,sub-0027040_ses-1_connectome.csv,48,1104,0.979,8.824,92,92,92,47,47,47,0.01,0.011,0.025,0.016,0.019,0.033
