type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027014_ses-2_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027015_ses-1_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027014_ses-1_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027012_ses-1_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027019_ses-2_connectome.csv,21,210,1.0,14.457,27,27,27,20,20,20,0.002,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027021_ses-1_connectome.csv,21,210,1.0,10.198,30,30,30,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027022_ses-2_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027015_ses-2_connectome.csv,21,210,1.0,14.457,29,29,29,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027010_ses-2_connectome.csv,21,210,1.0,14.457,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027022_ses-1_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027024_ses-1_connectome.csv,21,210,1.0,14.457,24,24,24,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027028_ses-2_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027017_ses-1_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027021_ses-2_connectome.csv,21,210,1.0,14.457,27,27,27,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027010_ses-1_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027018_ses-1_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027032_ses-1_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027040_ses-1_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027019_ses-1_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.001,0.001,0.003,0.002,0.001,0.003
