type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027014_ses-2_connectome.csv,48,1010,0.895,4.089,80,80,80,47,47,47,0.009,0.01,0.025,0.01,0.01,0.025
Undirected,N/A,sub-0027017_ses-1_connectome.csv,48,1060,0.94,4.863,74,74,74,47,47,47,0.01,0.01,0.025,0.01,0.01,0.028
Undirected,N/A,sub-0027010_ses-1_connectome.csv,48,1000,0.887,3.673,80,80,80,47,47,47,0.01,0.011,0.027,0.01,0.01,0.025
Undirected,N/A,sub-0027015_ses-1_connectome.csv,48,1042,0.924,4.82,84,84,84,47,47,47,0.01,0.01,0.026,0.011,0.011,0.026
Undirected,N/A,sub-0027019_ses-1_connectome.csv,48,1019,0.903,3.929,88,88,88,47,47,47,0.01,0.01,0.025,0.01,0.01,0.025
Undirected,N/A,sub-0027014_ses-1_connectome.csv,48,1020,0.904,4.826,76,76,76,47,47,47,0.01,0.01,0.025,0.012,0.01,0.025
Undirected,N/A,sub-0027018_ses-1_connectome.csv,48,1025,0.909,5.663,77,77,77,47,47,47,0.009,0.011,0.03,0.011,0.011,0.027
Undirected,N/A,sub-0027021_ses-1_connectome.csv,48,964,0.855,3.659,74,74,74,47,47,47,0.009,0.01,0.024,0.013,0.009,0.023
Undirected,N/A,sub-0027010_ses-2_connectome.csv,48,939,0.832,3.346,74,74,74,47,47,47,0.011,0.009,0.025,0.009,0.009,0.023
Undirected,N/A,sub-0027022_ses-1_connectome.csv,48,1002,0.888,4.41,82,82,82,47,47,47,0.009,0.01,0.024,0.01,0.01,0.024
Undirected,N/A,sub-0027019_ses-2_connectome.csv,48,962,0.853,3.746,86,86,86,47,47,47,0.009,0.01,0.025,0.012,0.011,0.026
Undirected,N/A,sub-0027024_ses-1_connectome.csv,48,1023,0.907,4.609,79,79,79,47,47,47,0.01,0.01,0.025,0.01,0.01,0.025
Undirected,N/A,sub-0027022_ses-2_connectome.csv,48,1006,0.892,4.043,75,75,75,47,47,47,0.009,0.01,0.025,0.011,0.011,0.025
Undirected,N/A,sub-0027015_ses-2_connectome.csv,48,818,0.725,3.147,92,92,92,47,47,47,0.008,0.009,0.02,0.008,0.008,0.02
Undirected,N/A,sub-0027012_ses-1_connectome.csv,48,1007,0.893,4.33,78,78,78,47,47,47,0.01,0.01,0.023,0.009,0.01,0.026
Undirected,N/A,sub-0027032_ses-1_connectome.csv,48,1066,0.945,4.938,74,74,74,47,47,47,0.01,0.01,0.025,0.01,0.01,0.026
Undirected,N/A,sub-0027021_ses-2_connectome.csv,48,1038,0.92,5.061,92,92,92,47,47,47,0.01,0.01,0.035,0.01,0.011,0.028
Undirected,N/A,sub-0027028_ses-2_connectome.csv,48,1040,0.922,5.524,89,89,89,47,47,47,0.011,0.01,0.025,0.009,0.011,0.028
Undirected,N/A,sub-0027040_ses-1_connectome.csv,48,1051,0.932,5.643,88,88,88,47,47,47,0.011,0.01,0.025,0.01,0.01,0.026
