type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027014_ses-1_connectome.csv,102,4470,0.868,3.79,218,218,218,101,101,101,0.073,0.076,0.211,0.073,0.075,0.217
Undirected,N/A,sub-0027010_ses-2_connectome.csv,103,4527,0.862,3.895,206,206,206,103,103,103,0.073,0.095,0.217,0.076,0.077,0.23
Undirected,N/A,sub-0027015_ses-1_connectome.csv,101,4335,0.858,3.784,233,233,233,100,100,100,0.069,0.072,0.211,0.071,0.073,0.212
Undirected,N/A,sub-0027012_ses-1_connectome.csv,102,3999,0.776,3.754,220,220,220,101,101,101,0.065,0.068,0.193,0.067,0.068,0.207
Undirected,N/A,sub-0027015_ses-2_connectome.csv,103,3243,0.617,2.848,229,229,229,102,102,102,0.063,0.065,0.161,0.064,0.064,0.167
Undirected,N/A,sub-0027018_ses-1_connectome.csv,103,4019,0.765,3.063,216,216,216,104,104,104,0.066,0.067,0.196,0.073,0.07,0.2
Undirected,N/A,sub-0027014_ses-2_connectome.csv,102,4333,0.841,3.762,208,208,208,101,101,101,0.07,0.073,0.206,0.072,0.08,0.218
Undirected,N/A,sub-0027017_ses-1_connectome.csv,99,3672,0.757,3.282,200,200,200,99,99,99,0.058,0.061,0.168,0.062,0.061,0.176
Undirected,N/A,sub-0027019_ses-2_connectome.csv,102,3798,0.737,3.274,205,205,205,102,102,102,0.065,0.091,0.187,0.067,0.068,0.189
Undirected,N/A,sub-0027022_ses-2_connectome.csv,100,3080,0.622,2.806,210,210,210,101,101,101,0.056,0.059,0.159,0.058,0.059,0.146
Undirected,N/A,sub-0027019_ses-1_connectome.csv,101,4384,0.868,3.881,223,223,223,100,100,100,0.074,0.074,0.229,0.073,0.075,0.218
Undirected,N/A,sub-0027022_ses-1_connectome.csv,103,3978,0.757,3.165,227,227,227,106,106,106,0.069,0.071,0.203,0.072,0.072,0.202
Undirected,N/A,sub-0027021_ses-1_connectome.csv,99,2812,0.58,2.831,214,214,214,107,107,107,0.053,0.055,0.132,0.056,0.056,0.136
Undirected,N/A,sub-0027024_ses-1_connectome.csv,102,3589,0.697,3.0,213,213,213,102,102,102,0.065,0.074,0.174,0.066,0.066,0.178
Undirected,N/A,sub-0027032_ses-1_connectome.csv,102,4169,0.809,3.877,211,211,211,103,103,103,0.07,0.072,0.207,0.072,0.073,0.216
Undirected,N/A,sub-0027040_ses-1_connectome.csv,102,4164,0.808,3.397,226,226,226,101,101,101,0.069,0.072,0.2,0.077,0.074,0.208
Undirected,N/A,sub-0027010_ses-1_connectome.csv,103,4280,0.815,3.163,202,202,202,102,102,102,0.07,0.073,0.203,0.073,0.074,0.214
Undirected,N/A,sub-0027021_ses-2_connectome.csv,102,4475,0.869,4.408,244,244,244,101,101,101,0.081,0.077,0.209,0.074,0.076,0.22
Undirected,N/A,sub-0027028_ses-2_connectome.csv,102,4398,0.854,4.082,223,223,223,101,101,101,0.069,0.077,0.208,0.071,0.085,0.222
