type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027014_ses-2_connectome.csv,66,1970,0.918,5.547,96,96,96,65,65,65,0.021,0.022,0.057,0.022,0.022,0.059
Undirected,N/A,sub-0027010_ses-1_connectome.csv,66,2039,0.951,6.243,102,102,102,65,65,65,0.022,0.024,0.058,0.022,0.023,0.06
Undirected,N/A,sub-0027015_ses-2_connectome.csv,66,1686,0.786,4.451,119,119,119,67,67,67,0.019,0.021,0.049,0.02,0.02,0.068
Undirected,N/A,sub-0027015_ses-1_connectome.csv,66,2035,0.949,6.115,97,97,97,65,65,65,0.024,0.024,0.058,0.022,0.023,0.06
Undirected,N/A,sub-0027019_ses-1_connectome.csv,66,1973,0.92,6.952,95,95,95,65,65,65,0.021,0.024,0.056,0.021,0.022,0.058
Undirected,N/A,sub-0027019_ses-2_connectome.csv,66,1949,0.909,5.341,99,99,99,65,65,65,0.021,0.024,0.056,0.021,0.022,0.062
Undirected,N/A,sub-0027022_ses-1_connectome.csv,66,2026,0.945,6.223,92,92,92,65,65,65,0.024,0.027,0.059,0.022,0.024,0.062
Undirected,N/A,sub-0027024_ses-1_connectome.csv,66,1840,0.858,4.955,102,102,102,65,65,65,0.021,0.023,0.055,0.02,0.021,0.056
Undirected,N/A,sub-0027017_ses-1_connectome.csv,66,2119,0.988,11.12,80,80,80,65,65,65,0.03,0.026,0.061,0.024,0.025,0.063
Undirected,N/A,sub-0027018_ses-1_connectome.csv,66,2024,0.944,6.22,96,96,96,65,65,65,0.022,0.023,0.058,0.023,0.023,0.061
Undirected,N/A,sub-0027014_ses-1_connectome.csv,66,2022,0.943,6.037,92,92,92,65,65,65,0.022,0.023,0.058,0.023,0.037,0.064
Undirected,N/A,sub-0027021_ses-1_connectome.csv,66,1977,0.922,6.273,101,101,101,65,65,65,0.021,0.023,0.057,0.022,0.022,0.059
Undirected,N/A,sub-0027012_ses-1_connectome.csv,66,2033,0.948,6.885,94,94,94,65,65,65,0.022,0.024,0.065,0.024,0.024,0.061
Undirected,N/A,sub-0027032_ses-1_connectome.csv,66,2068,0.964,6.289,95,95,95,65,65,65,0.022,0.024,0.059,0.023,0.024,0.062
Undirected,N/A,sub-0027021_ses-2_connectome.csv,66,2038,0.95,7.068,97,97,97,65,65,65,0.022,0.024,0.059,0.023,0.023,0.061
Undirected,N/A,sub-0027028_ses-2_connectome.csv,66,2021,0.942,5.87,102,102,102,65,65,65,0.023,0.026,0.059,0.022,0.023,0.059
Undirected,N/A,sub-0027040_ses-1_connectome.csv,66,2061,0.961,6.618,88,88,88,65,65,65,0.025,0.024,0.059,0.023,0.024,0.067
Undirected,N/A,sub-0027022_ses-2_connectome.csv,66,2033,0.948,6.363,93,93,93,65,65,65,0.022,0.024,0.057,0.022,0.023,0.06
Undirected,N/A,sub-0027010_ses-2_connectome.csv,66,2036,0.949,6.436,97,97,97,65,65,65,0.022,0.023,0.058,0.022,0.023,0.061
